r,coarse,medium,fine
-16,0.0907,0.094869,0.10209
-15.68,0.098988,0.099885,0.10368
-15.36,0.10663,0.12159,0.1109
-15.04,0.12515,0.14903,0.12368
-14.72,0.14622,0.17557,0.14133
-14.4,0.16461,0.19711,0.16277
-14.08,0.18267,0.21195,0.18474
-13.76,0.19992,0.22283,0.20321
-13.44,0.21579,0.23014,0.21647
-13.12,0.22851,0.23559,0.22431
-12.8,0.23926,0.24057,0.22756
-12.48,0.24954,0.24514,0.22944
-12.16,0.25681,0.24894,0.23374
-11.84,0.26199,0.25189,0.24019
-11.52,0.26706,0.25404,0.24725
-11.2,0.27027,0.25507,0.25479
-10.88,0.27197,0.25537,0.26169
-10.56,0.27367,0.25581,0.26699
-10.24,0.27508,0.25663,0.27023
-9.92,0.27624,0.25848,0.27243
-9.6,0.2774,0.26119,0.2755
-9.28,0.27641,0.26452,0.27942
-8.96,0.27319,0.26771,0.28291
-8.64,0.26993,0.27213,0.28596
-8.32,0.26624,0.27644,0.28746
-8,0.26204,0.27932,0.28702
-7.68,0.25777,0.28015,0.28605
-7.36,0.25474,0.28183,0.28632
-7.04,0.25148,0.28694,0.28627
-6.72,0.24626,0.28878,0.28367
-6.4,0.24166,0.28617,0.27842
-6.08,0.23684,0.27954,0.27274
-5.76,0.23119,0.26888,0.26674
-5.44,0.22385,0.256,0.2592
-5.12,0.21652,0.24253,0.2498
-4.8,0.20695,0.2292,0.2399
-4.48,0.19902,0.21755,0.23251
-4.16,0.18891,0.2085,0.22457
-3.84,0.18044,0.20199,0.21648
-3.52,0.17072,0.19698,0.21265
-3.2,0.16255,0.19171,0.2142
-2.88,0.15514,0.18601,0.21433
-2.56,0.1493,0.18051,0.2089
-2.24,0.14531,0.17556,0.20272
-1.92,0.14158,0.17184,0.19983
-1.6,0.13884,0.16965,0.20002
-1.28,0.13602,0.16921,0.20249
-0.96,0.1345,0.17034,0.20684
-0.64,0.13361,0.17231,0.20946
-0.32,0.13432,0.1737,0.20784
0,0.1354,0.17344,0.20273
0.32,0.13545,0.17136,0.19978
0.64,0.13543,0.16933,0.19908
0.96,0.1357,0.16921,0.20125
1.28,0.13609,0.17044,0.20216
1.6,0.13842,0.17306,0.20251
1.92,0.14128,0.1768,0.20534
2.24,0.14588,0.17933,0.20903
2.56,0.15065,0.18041,0.21279
2.88,0.15673,0.18086,0.21587
3.2,0.16443,0.18184,0.21593
3.52,0.17301,0.18487,0.21453
3.84,0.18391,0.18989,0.21664
4.16,0.19442,0.19631,0.22413
4.48,0.20647,0.20486,0.23278
4.8,0.21762,0.21625,0.24187
5.12,0.2274,0.22987,0.25106
5.44,0.23683,0.24493,0.2609
5.76,0.24253,0.25915,0.27118
6.08,0.24842,0.2699,0.28024
6.4,0.25115,0.27627,0.28728
6.72,0.25423,0.27857,0.29239
7.04,0.25724,0.27654,0.29398
7.36,0.25843,0.27145,0.29185
7.68,0.26057,0.26986,0.28931
8,0.26434,0.26954,0.28887
8.32,0.26807,0.26735,0.29024
8.64,0.27157,0.2637,0.29114
8.96,0.27489,0.26002,0.28923
9.28,0.27817,0.25782,0.28492
9.6,0.27923,0.2563,0.27954
9.92,0.27816,0.25548,0.27469
10.24,0.27708,0.25543,0.27096
10.56,0.27554,0.25552,0.26702
10.88,0.27347,0.25541,0.26118
11.2,0.27138,0.25504,0.25477
11.52,0.26805,0.25412,0.24811
11.84,0.26317,0.25212,0.24071
12.16,0.25819,0.24916,0.23392
12.48,0.25149,0.24491,0.22708
12.8,0.24234,0.24027,0.21992
13.12,0.23284,0.23547,0.2127
13.44,0.2211,0.23045,0.20249
13.76,0.20576,0.22334,0.1876
14.08,0.18917,0.2124,0.17042
14.4,0.17132,0.19728,0.15367
14.72,0.15202,0.17536,0.13912
15.04,0.12988,0.14878,0.12451
15.36,0.11038,0.12147,0.1108
15.68,0.10232,0.099925,0.10273
16,0.09356,0.094838,0.10197
