r,coarse,medium,fine 
-16,0.13674,0.1629,0.18159
-15.68,0.14399,0.17382,0.19315
-15.36,0.1509,0.18459,0.20332
-15.04,0.15843,0.1949,0.21255
-14.72,0.16609,0.20478,0.22177
-14.4,0.17341,0.21426,0.23105
-14.08,0.18186,0.22217,0.23977
-13.76,0.19075,0.22952,0.24757
-13.44,0.19924,0.2366,0.25483
-13.12,0.2078,0.24389,0.26216
-12.8,0.21631,0.25192,0.27085
-12.48,0.22449,0.26062,0.28155
-12.16,0.23202,0.27004,0.29339
-11.84,0.23905,0.28057,0.30483
-11.52,0.24588,0.29218,0.31563
-11.2,0.25225,0.30565,0.32819
-10.88,0.25824,0.32088,0.34195
-10.56,0.2641,0.33603,0.35218
-10.24,0.27014,0.3508,0.35765
-9.92,0.27632,0.36369,0.35888
-9.6,0.28238,0.37444,0.35682
-9.28,0.28588,0.38268,0.35387
-8.96,0.28686,0.38516,0.3509
-8.64,0.28784,0.38252,0.34723
-8.32,0.28544,0.37425,0.33876
-8,0.27903,0.35678,0.32492
-7.68,0.27248,0.33594,0.30641
-7.36,0.26765,0.31993,0.29135
-7.04,0.26124,0.30668,0.28545
-6.72,0.25401,0.3019,0.28266
-6.4,0.25522,0.29566,0.2807
-6.08,0.25519,0.29039,0.2791
-5.76,0.25454,0.28417,0.27626
-5.44,0.25373,0.27755,0.27293
-5.12,0.25119,0.2715,0.27018
-4.8,0.24797,0.26659,0.26696
-4.48,0.24328,0.26201,0.26289
-4.16,0.23788,0.25675,0.25697
-3.84,0.23307,0.25033,0.25098
-3.52,0.22816,0.24289,0.24597
-3.2,0.22368,0.23479,0.24245
-2.88,0.21923,0.2265,0.24037
-2.56,0.2149,0.21857,0.23953
-2.24,0.21072,0.21159,0.2387
-1.92,0.20714,0.206,0.23783
-1.6,0.20512,0.2019,0.23719
-1.28,0.20384,0.19877,0.23595
-0.96,0.20428,0.19625,0.234
-0.64,0.20468,0.19488,0.23063
-0.32,0.20473,0.19449,0.2262
0,0.20457,0.19469,0.22409
0.32,0.20364,0.19567,0.22405
0.64,0.2028,0.19788,0.22318
0.96,0.20297,0.20143,0.22179
1.28,0.20336,0.20606,0.22269
1.6,0.20479,0.21109,0.22579
1.92,0.20645,0.21542,0.22981
2.24,0.20937,0.21869,0.23481
2.56,0.21305,0.2222,0.24116
2.88,0.21738,0.22748,0.24844
3.2,0.222,0.23432,0.25576
3.52,0.22662,0.24159,0.2624
3.84,0.23182,0.24857,0.26756
4.16,0.23666,0.25526,0.27044
4.48,0.24196,0.26158,0.27172
4.8,0.24671,0.26756,0.27474
5.12,0.25043,0.27372,0.27954
5.44,0.25407,0.27997,0.28381
5.76,0.25615,0.28586,0.28787
6.08,0.25865,0.29152,0.29251
6.4,0.25923,0.2965,0.29612
6.72,0.25868,0.30232,0.29855
7.04,0.26553,0.30654,0.30082
7.36,0.2716,0.31957,0.30467
7.68,0.27584,0.3357,0.31645
8,0.28123,0.35661,0.33348
8.32,0.28652,0.37352,0.34572
8.64,0.28811,0.38116,0.35344
8.96,0.28654,0.3835,0.3564
9.28,0.28496,0.38148,0.3577
9.6,0.28132,0.37457,0.3569
9.92,0.27558,0.36524,0.35166
10.24,0.26972,0.35368,0.34514
10.56,0.26405,0.33946,0.34012
10.88,0.25862,0.32504,0.33616
11.2,0.25307,0.31056,0.33132
11.52,0.24733,0.29713,0.32423
11.84,0.24137,0.2842,0.31669
12.16,0.23526,0.27181,0.30789
12.48,0.22855,0.26049,0.2981
12.8,0.22104,0.25085,0.28864
13.12,0.21327,0.24221,0.2819
13.44,0.20525,0.2346,0.27646
13.76,0.19695,0.22788,0.26957
14.08,0.18829,0.22072,0.26133
14.4,0.17979,0.21291,0.25279
14.72,0.17191,0.20366,0.24353
15.04,0.16364,0.19413,0.23285
15.36,0.1555,0.18407,0.22047
15.68,0.14804,0.17326,0.2071
16,0.14017,0.16246,0.19415
