r,coarse,medium,fine 
-16,0.15482,0.21215,0.21763
-15.68,0.16742,0.23223,0.23687
-15.36,0.17913,0.25261,0.25888
-15.04,0.19697,0.2724,0.2802
-14.72,0.21656,0.29082,0.30161
-14.4,0.23452,0.30663,0.32258
-14.08,0.25891,0.32151,0.34524
-13.76,0.28529,0.33628,0.37023
-13.44,0.30942,0.35132,0.39289
-13.12,0.33352,0.36875,0.4085
-12.8,0.35706,0.3879,0.42111
-12.48,0.37914,0.40855,0.43545
-12.16,0.39899,0.4316,0.44946
-11.84,0.41721,0.45426,0.45561
-11.52,0.43465,0.47488,0.45501
-11.2,0.45014,0.491,0.45913
-10.88,0.46407,0.49963,0.46879
-10.56,0.4776,0.50452,0.47902
-10.24,0.49196,0.5062,0.48532
-9.92,0.50701,0.50752,0.49311
-9.6,0.52162,0.51097,0.50516
-9.28,0.53629,0.51686,0.52128
-8.96,0.55102,0.52775,0.54104
-8.64,0.56537,0.5442,0.56106
-8.32,0.57678,0.56361,0.58211
-8,0.58505,0.58517,0.60507
-7.68,0.59319,0.60054,0.62649
-7.36,0.60299,0.61707,0.64245
-7.04,0.62057,0.64543,0.66523
-6.72,0.64288,0.67517,0.68856
-6.4,0.66363,0.7037,0.71318
-6.08,0.68542,0.72992,0.73859
-5.76,0.70285,0.754,0.76365
-5.44,0.72096,0.77657,0.78404
-5.12,0.73182,0.79693,0.80345
-4.8,0.74166,0.81392,0.81938
-4.48,0.74544,0.82753,0.83079
-4.16,0.74727,0.83693,0.84045
-3.84,0.74425,0.84068,0.84256
-3.52,0.73705,0.83897,0.83754
-3.2,0.72339,0.83222,0.82436
-2.88,0.70401,0.82009,0.80254
-2.56,0.68148,0.80076,0.78058
-2.24,0.65648,0.77374,0.75832
-1.92,0.63075,0.74108,0.72873
-1.6,0.60667,0.70472,0.69454
-1.28,0.58276,0.67006,0.66146
-0.96,0.56654,0.64267,0.63743
-0.64,0.55139,0.62407,0.62739
-0.32,0.54676,0.61331,0.62424
0,0.54213,0.60745,0.62223
0.32,0.54867,0.60361,0.62729
0.64,0.55528,0.60952,0.63797
0.96,0.57113,0.6293,0.64963
1.28,0.58739,0.66061,0.66676
1.6,0.6087,0.69613,0.69472
1.92,0.62922,0.73186,0.73251
2.24,0.65171,0.76458,0.77198
2.56,0.67318,0.79154,0.80074
2.88,0.69286,0.81245,0.8177
3.2,0.71053,0.82721,0.83268
3.52,0.72437,0.8357,0.84303
3.84,0.73601,0.83813,0.84913
4.16,0.74409,0.83557,0.84476
4.48,0.74791,0.82844,0.83422
4.8,0.74907,0.81673,0.82226
5.12,0.73985,0.80082,0.80554
5.44,0.73026,0.78126,0.78243
5.76,0.7126,0.75915,0.75563
6.08,0.69482,0.73432,0.73141
6.4,0.67263,0.707,0.70887
6.72,0.65062,0.6777,0.68448
7.04,0.62688,0.64835,0.65855
7.36,0.6078,0.62184,0.63348
7.68,0.59702,0.60678,0.61614
8,0.58849,0.59213,0.5962
8.32,0.57984,0.57097,0.57752
8.64,0.56801,0.55106,0.56033
8.96,0.5532,0.53319,0.54434
9.28,0.53799,0.51957,0.53049
9.6,0.52255,0.51148,0.51778
9.92,0.50689,0.50625,0.50431
10.24,0.49072,0.50358,0.49104
10.56,0.47609,0.50016,0.47997
10.88,0.46334,0.49334,0.47024
11.2,0.45023,0.48319,0.46113
11.52,0.43625,0.46847,0.45138
11.84,0.42122,0.45214,0.44025
12.16,0.40562,0.43442,0.42899
12.48,0.38757,0.41512,0.41554
12.8,0.36605,0.39521,0.40202
13.12,0.34319,0.37521,0.38916
13.44,0.31939,0.35535,0.37646
13.76,0.29477,0.33735,0.36142
14.08,0.2679,0.32012,0.34448
14.4,0.243,0.30329,0.32641
14.72,0.22449,0.2864,0.30776
15.04,0.2043,0.26792,0.28866
15.36,0.18594,0.24849,0.26854
15.68,0.17395,0.22864,0.24763
16,0.16107,0.20893,0.22618
