time,HRR_fine(kW) 
-0.23978,19.055
-0.23685,18.832
-0.23296,18.726
-0.22894,18.759
-0.22456,18.801
-0.22002,18.713
-0.21548,18.341
-0.21115,17.906
-0.20702,17.688
-0.20293,17.544
-0.19921,17.469
-0.19541,17.395
-0.19155,17.244
-0.18786,17.027
-0.18403,16.845
-0.18009,16.786
-0.17628,16.654
-0.17236,16.25
-0.16865,16.057
-0.16511,16.063
-0.16184,16.161
-0.15867,16.22
-0.15539,16.445
-0.1519,16.741
-0.14836,17.036
-0.14478,17.388
-0.14131,17.523
-0.1379,17.324
-0.13448,17.315
-0.13094,17.007
-0.12732,16.785
-0.12344,16.259
-0.1198,15.823
-0.1162,15.407
-0.1124,15.1
-0.1087,14.935
-0.105,14.841
-0.1013,14.811
-0.0977,14.778
-0.0937,14.767
-0.0898,14.761
-0.0858,14.9
-0.0819,15.062
-0.0782,15.239
-0.0741,15.473
-0.0699,15.662
-0.066,15.885
-0.0619,16.057
-0.0577,16.183
-0.0536,16.298
-0.0496,16.388
-0.0454,16.528
-0.0412,16.604
-0.0377,16.7
-0.0333,16.835
-0.0285,17.03
-0.0235,17.233
-0.0185,17.482
-0.0135,17.849
-0.0088,18.165
-0.0041,18.634
0.0004,19.009
0.005,19.456
0.0095,19.982
0.014189,20.57
0.018775,21.071
0.023128,21.602
0.027534,22.23
0.03174,22.815
0.036051,23.444
0.040205,24.011
0.044334,24.547
0.048423,25.02
0.052404,25.411
0.056374,25.757
0.060205,26.088
0.064058,26.253
0.068279,26.387
0.072525,26.5
0.076807,26.653
0.081103,26.868
0.085594,27.073
0.09004,27.596
0.094254,28.068
0.098438,28.72
0.10239,29.315
0.10621,29.671
0.11005,29.986
0.114,30.019
0.11813,30.322
0.12196,30.632
0.12561,30.82
0.12914,30.774
0.13239,30.646
0.13573,30.312
0.13918,29.809
0.14273,29.213
0.14642,28.273
0.15006,26.95
0.1537,25.564
0.15742,24.335
0.16119,23.476
0.16506,22.836
0.1688,22.491
0.17205,22.274
0.17529,22.027
0.1786,21.741
0.18191,21.448
0.18526,21.256
0.18848,21.374
0.19163,21.731
0.19474,22.063
0.19785,21.913
0.20083,21.988
0.20388,22.393
0.2073,22.442
0.21075,21.971
0.21427,21.055
0.21772,20.123
0.2211,18.942
0.22448,17.989
0.22766,17.363
0.23066,16.933
0.23369,16.626
0.23672,16.441
0.23977,16.321
0.24282,16.275
0.24596,16.293
0.24939,16.451
0.25284,16.65
0.25624,16.98
0.25969,17.332
0.26332,17.738
0.26677,18.2
0.27009,18.597
0.27361,19.074
0.27739,19.509
0.28073,19.909
0.28427,20.231
0.28858,20.701
0.29299,21.293
0.29768,21.73
0.30216,22.174
0.3069,22.707
0.31177,23.348
0.31674,23.984
0.32134,24.626
0.32618,25.211
0.33093,25.981
0.33572,26.88
0.34003,27.774
0.34421,28.46
0.34846,28.963
0.35258,29.54
0.35696,29.797
0.36133,29.676
0.36562,29.591
0.3698,29.488
