r,coarse,medium,fine 
-16,30.69,173.82,228.74
-15.68,43.025,201.32,266.46
-15.36,52.538,229.36,297.73
-15.04,75.313,258.24,325.21
-14.72,98.145,286.05,352.46
-14.4,116.59,311.43,383.12
-14.08,144.5,336.32,415.42
-13.76,173.59,360.66,447.69
-13.44,198.45,384.74,476.73
-13.12,225.21,406.84,497.97
-12.8,251.87,426.19,513.75
-12.48,275.96,442.81,525.88
-12.16,296.94,454.19,534.41
-11.84,315.72,462.13,539.63
-11.52,333.44,467.66,541.2
-11.2,347.98,470.77,539.28
-10.88,360.12,472.34,534.73
-10.56,371.85,472.69,530.96
-10.24,381.93,471.72,527.58
-9.92,390.6,466.36,521.37
-9.6,399.06,459.66,513.84
-9.28,406.17,452.28,509.45
-8.96,411.97,447.22,508.31
-8.64,417.67,446.79,510.73
-8.32,422.85,450.29,514.1
-8,427.47,458.74,515.88
-7.68,432.03,466.61,516.55
-7.36,435.82,474.37,518.03
-7.04,442.07,486.76,521.07
-6.72,448.54,498.95,525.31
-6.4,447.37,510.1,531.61
-6.08,446.11,519.98,536.73
-5.76,440.13,528,537.14
-5.44,433.68,532.31,533.86
-5.12,423.33,532.91,534.83
-4.8,411.55,530.93,537.23
-4.48,396.98,525.02,533.93
-4.16,380.42,516.12,522.76
-3.84,362.55,504.41,506.91
-3.52,342.51,489.05,487.81
-3.2,322.16,470.68,469.55
-2.88,300.8,450.95,444.58
-2.56,280.98,428.78,418.56
-2.24,263.32,403.42,400.32
-1.92,247.25,379.81,389.27
-1.6,235.34,362.78,384.1
-1.28,224.86,352.26,376.59
-0.96,219.43,345.99,370.05
-0.64,215.26,340.96,368.5
-0.32,215.01,336.45,363.01
0,214.99,333.77,359.96
0.32,215.91,332.45,359.77
0.64,217.12,331.72,360.28
0.96,221.02,336.55,364.09
1.28,225.47,347.59,370.15
1.6,234.35,362.8,382.47
1.92,244.56,379.82,396.23
2.24,259.13,398.25,409.3
2.56,275.13,419.47,427.34
2.88,293.56,443.44,448.63
3.2,313.91,468.1,460.76
3.52,333.65,489.24,477.88
3.84,353.41,504.96,498.73
4.16,370.44,517.07,512.94
4.48,386.8,527.19,525.85
4.8,400.47,534.07,535.49
5.12,413.42,536.69,542.18
5.44,424.25,536.65,545.5
5.76,432.58,535.28,541.81
6.08,439.97,531.14,535.88
6.4,442.98,523.59,529.13
6.72,445.49,512.84,523.49
7.04,440.65,500.51,518.74
7.36,435.49,487.8,513.56
7.68,432.03,480.02,508.86
8,427.81,472.07,503.76
8.32,423.56,463.45,502.04
8.64,418.4,458.07,500.2
8.96,412.44,455.08,498.22
9.28,406.4,454.77,500.72
9.6,399.11,457.44,508.01
9.92,390.54,460.73,516.28
10.24,381.78,464.16,522.76
10.56,372.08,463.45,528.43
10.88,361.28,461.47,532.75
11.2,350.16,458.72,534.59
11.52,336.96,456.49,536.14
11.84,321.08,452.39,534.79
12.16,304.38,446.02,528.17
12.48,285.13,436.1,519.6
12.8,262.2,421.49,509.37
13.12,237.06,403.28,491.94
13.44,211.31,381.04,470.19
13.76,186.08,354.87,443.64
14.08,156.83,328.48,412.11
14.4,128.58,301.73,382.82
14.72,108.65,275.53,360.07
15.04,84.093,249.81,337.44
15.36,59.667,224.14,313.21
15.68,49.135,199.32,282.87
16,35.609,172.92,250.39
