r,coarse,medium,fine 
-16,0.15118,0.37029,0.44941
-15.68,0.19285,0.40127,0.48415
-15.36,0.23453,0.43253,0.51824
-15.04,0.27568,0.46637,0.55114
-14.72,0.31656,0.5018,0.58347
-14.4,0.35743,0.53802,0.61523
-14.08,0.39865,0.57507,0.64824
-13.76,0.44009,0.61275,0.68349
-13.44,0.48152,0.65113,0.72142
-13.12,0.52546,0.69077,0.76055
-12.8,0.57107,0.73047,0.79852
-12.48,0.61668,0.76988,0.83486
-12.16,0.6644,0.80717,0.87025
-11.84,0.71367,0.84445,0.90403
-11.52,0.76295,0.8818,0.9379
-11.2,0.81278,0.91945,0.97229
-10.88,0.86308,0.95622,1.0045
-10.56,0.91338,0.99204,1.0343
-10.24,0.96358,1.0268,1.0648
-9.92,1.0137,1.0609,1.0948
-9.6,1.0638,1.0948,1.125
-9.28,1.1178,1.1288,1.1526
-8.96,1.1755,1.1639,1.1767
-8.64,1.2333,1.2,1.1995
-8.32,1.2872,1.2365,1.2204
-8,1.3365,1.2732,1.2418
-7.68,1.3858,1.3013,1.265
-7.36,1.4366,1.3287,1.2889
-7.04,1.5059,1.3649,1.3186
-6.72,1.586,1.3963,1.3481
-6.4,1.6511,1.4264,1.3824
-6.08,1.7208,1.4554,1.4215
-5.76,1.7891,1.4846,1.4636
-5.44,1.863,1.515,1.5098
-5.12,1.9299,1.5468,1.5559
-4.8,2.0031,1.5817,1.6039
-4.48,2.0737,1.6219,1.6596
-4.16,2.1491,1.6673,1.7226
-3.84,2.2207,1.7182,1.791
-3.52,2.2949,1.7758,1.8544
-3.2,2.3664,1.8411,1.9209
-2.88,2.4383,1.9119,1.993
-2.56,2.5061,1.9846,2.0642
-2.24,2.5695,2.0576,2.1368
-1.92,2.6298,2.1281,2.2078
-1.6,2.6833,2.1961,2.2702
-1.28,2.7331,2.2578,2.329
-0.96,2.7683,2.3088,2.376
-0.64,2.8003,2.347,2.4041
-0.32,2.8115,2.3733,2.4135
0,2.8231,2.3902,2.4096
0.32,2.8069,2.3908,2.394
0.64,2.7913,2.371,2.365
0.96,2.7595,2.3359,2.3231
1.28,2.7279,2.2869,2.2729
1.6,2.6842,2.2275,2.2081
1.92,2.637,2.1604,2.1332
2.24,2.5802,2.0873,2.0613
2.56,2.5183,2.0099,1.9936
2.88,2.4514,1.9337,1.9264
3.2,2.3792,1.8632,1.8548
3.52,2.3053,1.7991,1.786
3.84,2.2257,1.7422,1.7208
4.16,2.1479,1.6939,1.6581
4.48,2.0683,1.6528,1.6003
4.8,1.9941,1.6155,1.5515
5.12,1.9204,1.5817,1.5036
5.44,1.8525,1.5512,1.4527
5.76,1.7829,1.5208,1.4069
6.08,1.7176,1.4906,1.3609
6.4,1.6499,1.46,1.3184
6.72,1.5869,1.4272,1.2813
7.04,1.5096,1.3937,1.2519
7.36,1.4433,1.3545,1.2245
7.68,1.395,1.3241,1.2029
8,1.3482,1.2933,1.1831
8.32,1.3014,1.2564,1.1667
8.64,1.2507,1.2204,1.1509
8.96,1.1968,1.1837,1.1352
9.28,1.1427,1.145,1.1169
9.6,1.0909,1.106,1.0953
9.92,1.0412,1.0679,1.0733
10.24,0.99141,1.031,1.0517
10.56,0.94185,0.99514,1.027
10.88,0.8925,0.95861,0.99886
11.2,0.84316,0.92137,0.96698
11.52,0.79529,0.88319,0.93173
11.84,0.74918,0.84411,0.89409
12.16,0.70307,0.80473,0.85562
12.48,0.65733,0.76536,0.81888
12.8,0.61207,0.72646,0.78364
13.12,0.56681,0.68777,0.74867
13.44,0.52262,0.64928,0.71371
13.76,0.48003,0.61134,0.67792
14.08,0.43744,0.57414,0.64211
14.4,0.39528,0.53761,0.60652
14.72,0.35387,0.50189,0.57198
15.04,0.31246,0.46613,0.54042
15.36,0.27048,0.43152,0.51056
15.68,0.22745,0.39919,0.47904
16,0.18442,0.36715,0.44752
