r,coarse,medium,fine
-16,346.22,435.63,497.56
-15.68,357.81,446.76,510.48
-15.36,369.41,457.08,522.93
-15.04,380.83,467.13,534.17
-14.72,392.16,476.9,544.46
-14.4,403.49,486.22,554.27
-14.08,415.21,495.61,564.23
-13.76,427.15,504.92,574.47
-13.44,439.09,514.06,584.57
-13.12,451.4,522.86,594.1
-12.8,463.97,531.35,603.03
-12.48,476.53,539.6,610.04
-12.16,489.06,547.76,614.84
-11.84,501.55,556.54,618.31
-11.52,514.05,565.64,621.39
-11.2,526.13,574.91,623.64
-10.88,537.88,583.63,625.07
-10.56,549.62,592.27,626.6
-10.24,561.41,600.93,628.87
-9.92,573.25,609.83,631.08
-9.6,585.1,618.58,633.75
-9.28,597.86,627.22,636.98
-8.96,611.58,635.88,639.63
-8.64,625.29,644.98,641.25
-8.32,638.31,654.25,642.5
-8,650.51,663.53,645.01
-7.68,662.72,670.32,649.45
-7.36,676.21,677.06,655.19
-7.04,697.59,686.09,663.43
-6.72,723.73,692.72,671.88
-6.4,746.22,698.64,682.64
-6.08,771.49,704.5,696.4
-5.76,797.34,710.45,710.45
-5.44,826.22,717.42,728.81
-5.12,854.72,726.38,748.8
-4.8,886.53,738.6,768.67
-4.48,917.99,754.55,792.24
-4.16,952.47,774.75,821.81
-3.84,987,799.59,854.8
-3.52,1024.2,829.61,887.62
-3.2,1060.8,865.52,924.16
-2.88,1098.2,906.71,965.62
-2.56,1134,951.01,1009.7
-2.24,1168.3,996.61,1055.9
-1.92,1201.2,1041.9,1099.2
-1.6,1230.5,1087,1134.9
-1.28,1258.2,1129.5,1170
-0.96,1277.7,1164.1,1198.8
-0.64,1295.3,1187.8,1219.8
-0.32,1300.8,1202.3,1227.8
0,1306.3,1211.7,1227.2
0.32,1297.2,1212.8,1215.3
0.64,1288.3,1200.8,1197.3
0.96,1270.1,1179.7,1171.2
1.28,1251.7,1149.7,1138.9
1.6,1227.3,1110.5,1099.3
1.92,1201.3,1065.8,1053.3
2.24,1170.8,1019,1008.9
2.56,1137.6,970.44,965.69
2.88,1102,922.36,927.07
3.2,1064.1,878.93,886.79
3.52,1025.7,841.38,848.09
3.84,985.71,810.19,813.77
4.16,947.49,785.38,783.65
4.48,910.24,766.03,760.34
4.8,876.16,750.87,743.1
5.12,844.87,739.31,728.44
5.44,816.76,731,712.56
5.76,790.61,723.97,695.95
6.08,767.05,717.27,679.08
6.4,743.75,709.98,663.39
6.72,722.85,702.19,650.95
7.04,698.25,694.46,641.94
7.36,678.13,685.17,634.51
7.68,665.39,678.5,629.78
8,653.84,672.04,625.89
8.32,642.27,663.81,623.45
8.64,629.85,655.2,622.03
8.96,616.67,646.19,621
9.28,603.5,636.51,619.63
9.6,590.91,627.19,616.4
9.92,578.9,618.46,612.63
10.24,566.9,610.44,609.22
10.56,555.05,602.64,605.97
10.88,543.37,594.63,602.74
11.2,531.68,586.43,599.94
11.52,520,578.14,597.22
11.84,508.33,569.33,592.67
12.16,496.65,560.09,586.25
12.48,484.9,550.37,580.05
12.8,473.06,540.74,574.99
13.12,461.22,531.04,569.76
13.44,449.46,521.23,563.44
13.76,437.85,511.07,555.68
14.08,426.24,500.88,546.75
14.4,414.64,490.63,536.93
14.72,403.07,480.1,527.52
15.04,391.5,468.94,518.77
15.36,379.62,457.79,509.88
15.68,367.13,447.01,499.66
16,354.65,436.02,487.81
