r,coarse,medium,fine 
-16,0.22713,0.30756,0.34296
-15.68,0.23809,0.30375,0.3254
-15.36,0.24905,0.27862,0.29584
-15.04,0.25476,0.26543,0.27297
-14.72,0.25772,0.25782,0.26
-14.4,0.2607,0.24798,0.25124
-14.08,0.26775,0.24561,0.24499
-13.76,0.27721,0.24322,0.24005
-13.44,0.28668,0.2379,0.23527
-13.12,0.29604,0.2342,0.22948
-12.8,0.30534,0.22932,0.2222
-12.48,0.31463,0.22324,0.21317
-12.16,0.3221,0.21644,0.20273
-11.84,0.32824,0.20888,0.19106
-11.52,0.33437,0.20107,0.17914
-11.2,0.33947,0.19355,0.16888
-10.88,0.34373,0.18715,0.16171
-10.56,0.34798,0.18233,0.15824
-10.24,0.35074,0.17946,0.15852
-9.92,0.35211,0.18065,0.16151
-9.6,0.35348,0.18472,0.16614
-9.28,0.35559,0.19207,0.1715
-8.96,0.35848,0.20602,0.17896
-8.64,0.36137,0.22236,0.18865
-8.32,0.3653,0.24127,0.20065
-8,0.37046,0.26416,0.21431
-7.68,0.37561,0.28097,0.2276
-7.36,0.38021,0.29341,0.23389
-7.04,0.38266,0.29852,0.23362
-6.72,0.38306,0.30097,0.23178
-6.4,0.38134,0.2996,0.22893
-6.08,0.37801,0.29376,0.22485
-5.76,0.37401,0.28423,0.21871
-5.44,0.36746,0.27124,0.21025
-5.12,0.35974,0.25517,0.19944
-4.8,0.34849,0.23666,0.18679
-4.48,0.33652,0.21562,0.17245
-4.16,0.32051,0.19233,0.1568
-3.84,0.30308,0.16801,0.14129
-3.52,0.28193,0.14431,0.12662
-3.2,0.25926,0.12252,0.11164
-2.88,0.23441,0.1031,0.096917
-2.56,0.20917,0.086621,0.084266
-2.24,0.18413,0.073381,0.073889
-1.92,0.15886,0.062475,0.063849
-1.6,0.13485,0.05286,0.053453
-1.28,0.10945,0.044267,0.042311
-0.96,0.084234,0.036386,0.031551
-0.64,0.057653,0.028554,0.02031
-0.32,0.030796,0.020102,0.0082862
0,0.0034976,0.01117,-0.0039072
0.32,-0.024189,0.0022422,-0.01515
0.64,-0.05147,-0.0066577,-0.026248
0.96,-0.078883,-0.015726,-0.036012
1.28,-0.105,-0.025111,-0.044171
1.6,-0.13179,-0.035001,-0.051953
1.92,-0.1574,-0.045987,-0.061388
2.24,-0.18398,-0.058889,-0.073545
2.56,-0.20986,-0.073838,-0.087235
2.88,-0.23528,-0.090886,-0.10259
3.2,-0.26004,-0.11059,-0.11972
3.52,-0.28258,-0.13306,-0.13871
3.84,-0.30357,-0.15748,-0.15864
4.16,-0.32107,-0.18273,-0.17721
4.48,-0.33606,-0.20764,-0.19264
4.8,-0.34746,-0.23071,-0.20494
5.12,-0.35695,-0.25082,-0.21493
5.44,-0.36325,-0.26734,-0.22292
5.76,-0.36863,-0.28026,-0.22842
6.08,-0.37131,-0.28984,-0.23105
6.4,-0.37385,-0.296,-0.2306
6.72,-0.37483,-0.29808,-0.22787
7.04,-0.37394,-0.29649,-0.22382
7.36,-0.37116,-0.29241,-0.22024
7.68,-0.36651,-0.28131,-0.21036
8,-0.36152,-0.26611,-0.19406
8.32,-0.35652,-0.24576,-0.17884
8.64,-0.353,-0.22911,-0.16459
8.96,-0.35074,-0.21449,-0.15225
9.28,-0.34849,-0.20125,-0.14247
9.6,-0.34699,-0.19324,-0.13628
9.92,-0.34621,-0.18804,-0.13256
10.24,-0.34543,-0.18543,-0.13167
10.56,-0.34271,-0.18704,-0.13382
10.88,-0.3379,-0.19083,-0.13879
11.2,-0.33308,-0.19643,-0.14581
11.52,-0.32788,-0.20353,-0.15431
11.84,-0.32219,-0.21129,-0.16365
12.16,-0.3165,-0.21903,-0.17383
12.48,-0.30982,-0.22625,-0.1845
12.8,-0.30179,-0.23291,-0.19516
13.12,-0.29376,-0.2384,-0.2061
13.44,-0.28527,-0.24269,-0.21705
13.76,-0.27607,-0.24786,-0.22753
14.08,-0.26687,-0.25004,-0.23775
14.4,-0.25975,-0.25216,-0.24809
14.72,-0.25612,-0.26167,-0.26055
15.04,-0.25249,-0.26833,-0.27843
15.36,-0.2463,-0.28041,-0.30577
15.68,-0.23521,-0.30456,-0.33682
16,-0.22412,-0.30757,-0.35271
