r,coarse,medium,fine
-16,0.11002,0.14176,0.15012
-15.68,0.11827,0.1588,0.1737
-15.36,0.12598,0.15883,0.18772
-15.04,0.13028,0.16263,0.18998
-14.72,0.13292,0.17094,0.18902
-14.4,0.13551,0.1872,0.1956
-14.08,0.14024,0.20532,0.21048
-13.76,0.14607,0.22489,0.2307
-13.44,0.15167,0.24623,0.25457
-13.12,0.16161,0.26647,0.28001
-12.8,0.17376,0.28539,0.30474
-12.48,0.18512,0.30308,0.32791
-12.16,0.1975,0.31869,0.34977
-11.84,0.2103,0.33312,0.37012
-11.52,0.22238,0.34657,0.38875
-11.2,0.2335,0.35899,0.40439
-10.88,0.24386,0.37022,0.41639
-10.56,0.25379,0.38037,0.42466
-10.24,0.26243,0.38938,0.42928
-9.92,0.26995,0.39641,0.43102
-9.6,0.27727,0.40199,0.43057
-9.28,0.28087,0.40574,0.429
-8.96,0.28077,0.4046,0.42511
-8.64,0.28068,0.40085,0.41857
-8.32,0.2778,0.39396,0.40895
-8,0.27161,0.38171,0.39584
-7.68,0.26528,0.36638,0.37914
-7.36,0.25948,0.35301,0.36412
-7.04,0.25191,0.33604,0.34777
-6.72,0.24322,0.32131,0.33126
-6.4,0.2388,0.30331,0.31388
-6.08,0.23371,0.28227,0.29696
-5.76,0.22878,0.25931,0.28145
-5.44,0.22293,0.23666,0.26683
-5.12,0.21788,0.21633,0.25287
-4.8,0.21065,0.19956,0.24049
-4.48,0.20437,0.18704,0.22976
-4.16,0.19597,0.17927,0.22138
-3.84,0.18855,0.17508,0.21369
-3.52,0.18011,0.17236,0.20734
-3.2,0.1731,0.1697,0.20321
-2.88,0.16667,0.16677,0.20066
-2.56,0.16147,0.16324,0.19876
-2.24,0.1577,0.15884,0.19675
-1.92,0.15456,0.15359,0.19415
-1.6,0.15293,0.14796,0.18981
-1.28,0.15137,0.14287,0.1848
-0.96,0.15102,0.13884,0.18074
-0.64,0.15043,0.13577,0.17738
-0.32,0.15038,0.13338,0.17391
0,0.1497,0.13191,0.17207
0.32,0.14939,0.1321,0.17205
0.64,0.14868,0.13413,0.17293
0.96,0.14894,0.13782,0.17471
1.28,0.14914,0.14305,0.17792
1.6,0.15107,0.14967,0.18127
1.92,0.1533,0.15697,0.18504
2.24,0.15738,0.16368,0.18932
2.56,0.16215,0.16864,0.19364
2.88,0.16774,0.17169,0.19703
3.2,0.17395,0.17365,0.20009
3.52,0.18028,0.17554,0.20406
3.84,0.18751,0.17824,0.20979
4.16,0.19402,0.18258,0.21795
4.48,0.20189,0.18951,0.22838
4.8,0.20808,0.20049,0.24072
5.12,0.21562,0.21611,0.25513
5.44,0.22125,0.23608,0.27109
5.76,0.22764,0.25872,0.28814
6.08,0.23301,0.28167,0.30673
6.4,0.23847,0.30276,0.32609
6.72,0.24306,0.32093,0.34426
7.04,0.25157,0.33629,0.36002
7.36,0.25864,0.35437,0.37447
7.68,0.26405,0.36835,0.39022
8,0.27021,0.38413,0.40917
8.32,0.27624,0.39614,0.42433
8.64,0.27941,0.40228,0.43632
8.96,0.28018,0.40533,0.44498
9.28,0.28094,0.40646,0.45079
9.6,0.27801,0.40325,0.4533
9.92,0.27137,0.39826,0.4531
10.24,0.26456,0.39172,0.44932
10.56,0.25666,0.38273,0.4419
10.88,0.24748,0.37241,0.43132
11.2,0.23794,0.36087,0.41836
11.52,0.22747,0.34803,0.40363
11.84,0.21582,0.33389,0.38746
12.16,0.2035,0.31847,0.36929
12.48,0.19111,0.3015,0.34883
12.8,0.17888,0.28237,0.32584
13.12,0.16575,0.2621,0.30015
13.44,0.15493,0.24071,0.27292
13.76,0.14875,0.2195,0.24649
14.08,0.14229,0.20065,0.22337
14.4,0.13699,0.18378,0.20689
14.72,0.13401,0.16883,0.19949
15.04,0.13096,0.16177,0.19754
15.36,0.12639,0.15884,0.19097
15.68,0.1187,0.15893,0.17452
16,0.11048,0.14165,0.15131
