cm,kw/m^2
r,qrad
0.625,17.1425
0.875,17.201
1.125,17.2606
1.375,17.3167
1.625,17.3569
1.875,17.317
2.125,17.3445
2.375,17.3671
2.625,17.3795
2.875,17.3808
3.125,17.3706
3.375,17.3478
3.625,17.3138
3.875,17.2698
4.125,17.2159
4.375,17.1525
4.625,17.0802
4.875,17.0009
5.125,16.916
5.375,16.8269
5.625,16.7356
5.875,16.6584
6.125,16.6409
6.375,16.5298
6.625,16.3983
6.875,16.2535
7.125,16.0986
7.375,15.9351
7.625,15.7649
7.875,15.5891
8.125,15.4092
8.375,15.2265
8.625,15.0397
8.875,14.8474
9.125,14.6486
9.375,14.443
9.625,14.2297
9.875,14.011
10.125,13.787
10.375,13.5588
10.625,13.3262
10.875,13.0879
11.125,12.8429
11.375,12.5906
11.625,12.3296
11.875,12.0572
12.125,11.7692
12.375,11.4593
12.625,11.1172
12.875,10.7204
13.125,10.2413
13.375,9.61112
14.625,1.06201
14.875,2.02346
