cm,kW/m^2,kW/m^2
r,qrad,qtot
-0.125,17.0491,20.68893
0.125,17.0571,20.8121
0.375,17.091,21.06816
0.625,17.1425,21.39967
0.875,17.201,21.73257
1.125,17.2606,22.07698
1.375,17.3167,22.47255
1.625,17.3569,22.91297
1.875,17.317,23.31612
2.125,17.3445,23.75993
2.375,17.3671,24.17298
2.625,17.3795,24.55127
2.875,17.3808,24.86285
3.125,17.3706,25.08523
3.375,17.3478,25.21415
3.625,17.3138,25.22597
3.875,17.2698,25.13229
4.125,17.2159,24.95655
4.375,17.1525,24.71585
4.625,17.0802,24.41813
4.875,17.0009,24.07578
5.125,16.916,23.70936
5.375,16.8269,23.32434
5.625,16.7356,22.93198
5.875,16.6584,22.551
6.125,16.6409,22.20787
6.375,16.5298,21.74334
6.625,16.3983,21.24056
6.875,16.2535,20.7218
7.125,16.0986,20.19542
7.375,15.9351,19.6773
7.625,15.7649,19.17946
7.875,15.5891,18.7247
8.125,15.4092,18.3218
8.375,15.2265,17.97146
8.625,15.0397,17.66995
8.875,14.8474,17.41587
9.125,14.6486,17.19395
9.375,14.443,17.00665
9.625,14.2297,16.84666
9.875,14.011,16.70064
10.125,13.787,16.55873
10.375,13.5588,16.42668
10.625,13.3262,16.30719
10.875,13.0879,16.2077
11.125,12.8429,16.12781
11.375,12.5906,16.07006
11.625,12.3296,16.02749
11.875,12.0572,15.98291
12.125,11.7692,15.91204
12.375,11.4593,15.76889
12.625,11.1172,15.53834
12.875,10.7204,15.10129
13.125,10.2413,14.68025
13.375,9.61112,14.07561
14.625,1.06201,0.358192

