cm,kW/m^2
r,qrad
16.625,4.75363e+00
17.887,4.53951e+00
19.2128,4.06104e+00
20.581,3.57688e+00
21.7267,3.21833e+00
23.1036,2.84165e+00
24.7582,2.46040e+00
25.7068,2.27352e+00
26.7468,2.09159e+00
29.1365,1.74575e+00
30.5065,1.58179e+00
32.0083,1.42340e+00
33.6548,1.27063e+00
35.4597,1.12420e+00
37.4383,9.85436e-01
39.6073,8.56043e-01
41.9851,7.37672e-01
44.5918,6.31509e-01
47.4494,5.37965e-01
50.582,4.56609e-01
54.0162,3.86351e-01
57.7808,3.25763e-01
61.9078,2.73373e-01
66.4321,2.27846e-01
71.3918,1.88064e-01
76.8288,1.53152e-01
82.7892,1.22480e-01
89.3233,9.56261e-02
96.4863,7.23523e-02
104.339,5.25752e-02
112.947,3.63210e-02
122.384,2.36112e-02
132.729,1.43093e-02
144.069,8.02405e-03
