cm,K,K,K,K,K,K,K,K,K,K,K,K,,,,,,,,,,,
r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,,,,,,,,,,,
0,1374.013684,1406.67562,1319.43601,1153.489778,968.4948706,810.751253,64.85375007,158.5119227,256.2434758,291.6376146,268.8654576,219.3072484,,,,,,,,,,,
2,1308.700732,1271.442971,1180.149975,1043.54578,889.4033079,763.8967252,194.5617333,262.9193444,293.441522,297.1433764,261.3740266,210.6736901,,,,,,,,,,,
4,894.8346747,903.3370443,888.8428724,805.0912219,722.3944534,654.4884543,239.1874875,279.2109682,282.6681791,261.7553629,227.3793555,186.1893051,,,,,,,,,,,
6,507.7534182,570.4929343,614.3362347,589.2928606,569.5629746,545.6956271,155.10245,185.5118812,203.1861059,189.5875836,175.698437,152.2769626,,,,,,,,,,,
8,355.0606136,395.6012134,437.3666623,443.4429137,452.0899309,452.7327962,65.24874256,90.11579956,118.1406258,117.2650428,119.9547232,112.8981507,,,,,,,,,,,
10,314.6136897,327.0095314,349.6342985,362.7831581,376.2470136,386.4633237,22.8984826,34.75714583,57.715237,68.71770132,76.92268603,81.06468118,,,,,,,,,,,
12,305.2613663,306.5868393,313.9049926,321.5970755,332.3629741,345.2977072,6.298055564,9.703764102,23.14393299,35.68202959,47.61732283,57.75954791,,,,,,,,,,,
14,303.0383026,302.4962794,303.0415005,304.9979053,310.4136171,319.3876599,1.200636196,1.543931188,5.834482554,14.04916989,25.56642816,37.40992363,,,,,,,,,,,
16,302.0701376,301.5382266,300.891314,300.5995351,301.8131844,306.1281655,0.261439092,0.293778448,0.772911962,3.89825053,10.28065072,21.50464009,,,,,,,,,,,
18,301.4674463,301.0316099,300.3883409,299.7433412,299.5055885,300.6913589,0.192992234,0.205870457,0.198219114,0.595609256,2.67622516,8.969522645,,,,,,,,,,,
20,300.9413452,300.6325466,300.1079767,299.515928,299.0682558,299.0327486,0.158509188,0.170906323,0.158111999,0.140081221,0.387036595,2.22097314,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
