m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.922E-01,-3.429E-02, 5.430E-03, 6.410E-02, 2.182E-01, 1.627E-01, 1.476E-01, 4.085E-06, 5.197E-04, 7.910E-04, 5.774E-06, 7.346E-04, 1.118E-03, 1.106E-01, 1.296E-01, 1.459E-01, 1.220E-01, 1.478E-01, 1.580E-01, 2.327E-05, 3.109E-03, 5.028E-03, 3.289E-05, 4.395E-03, 7.107E-03,-1.822E-06,-1.153E-05, 3.934E-04
-4.766E-01,-3.848E-02, 2.006E-02, 5.690E-02, 2.221E-01, 1.621E-01, 1.452E-01, 9.640E-05, 1.705E-03, 1.261E-03, 1.363E-04, 2.410E-03, 1.783E-03, 1.298E-01, 1.470E-01, 1.748E-01, 1.446E-01, 1.697E-01, 1.779E-01, 4.868E-04, 8.347E-03, 6.460E-03, 6.880E-04, 1.180E-02, 9.132E-03,-3.496E-05, 3.237E-04, 7.095E-04
-4.609E-01,-3.738E-02, 2.907E-02, 7.824E-02, 2.288E-01, 1.560E-01, 1.428E-01, 9.774E-04, 3.077E-03, 1.886E-03, 1.382E-03, 4.349E-03, 2.666E-03, 1.453E-01, 1.941E-01, 1.925E-01, 1.708E-01, 1.957E-01, 1.974E-01, 4.329E-03, 1.352E-02, 7.868E-03, 6.118E-03, 1.911E-02, 1.112E-02,-2.767E-04, 1.697E-03, 9.144E-04
-4.453E-01,-4.393E-02, 6.640E-02, 8.537E-02, 2.403E-01, 1.600E-01, 1.423E-01, 3.695E-03, 4.609E-03, 2.746E-03, 5.223E-03, 6.514E-03, 3.881E-03, 1.562E-01, 2.425E-01, 1.972E-01, 1.959E-01, 2.193E-01, 2.203E-01, 1.317E-02, 1.722E-02, 9.852E-03, 1.861E-02, 2.433E-02, 1.393E-02,-6.975E-05, 2.864E-03, 1.175E-03
-4.297E-01, 6.914E-03, 6.013E-02, 1.040E-01, 2.478E-01, 1.659E-01, 1.395E-01, 7.158E-03, 6.837E-03, 3.957E-03, 1.012E-02, 9.664E-03, 5.592E-03, 2.074E-01, 2.639E-01, 2.053E-01, 2.236E-01, 2.415E-01, 2.481E-01, 2.049E-02, 2.005E-02, 1.115E-02, 2.895E-02, 2.834E-02, 1.576E-02, 1.350E-03, 3.269E-03, 1.304E-03
-4.141E-01, 3.135E-02, 9.338E-02, 1.210E-01, 2.565E-01, 1.654E-01, 1.388E-01, 1.241E-02, 9.765E-03, 5.696E-03, 1.754E-02, 1.380E-02, 8.050E-03, 2.369E-01, 2.643E-01, 2.179E-01, 2.516E-01, 2.675E-01, 2.736E-01, 2.669E-02, 2.186E-02, 1.345E-02, 3.772E-02, 3.090E-02, 1.900E-02, 2.663E-03, 3.629E-03, 1.695E-03
-3.984E-01, 7.593E-02, 1.559E-01, 1.916E-01, 2.703E-01, 1.655E-01, 1.360E-01, 1.905E-02, 1.402E-02, 7.751E-03, 2.693E-02, 1.982E-02, 1.096E-02, 2.737E-01, 2.634E-01, 2.368E-01, 2.749E-01, 2.979E-01, 2.986E-01, 3.400E-02, 2.546E-02, 1.541E-02, 4.805E-02, 3.598E-02, 2.178E-02, 4.944E-03, 4.696E-03, 2.765E-03
-3.828E-01, 1.637E-01, 2.059E-01, 2.175E-01, 2.900E-01, 1.577E-01, 1.374E-01, 3.031E-02, 1.810E-02, 1.030E-02, 4.284E-02, 2.558E-02, 1.455E-02, 3.120E-01, 2.887E-01, 2.669E-01, 2.943E-01, 3.259E-01, 3.246E-01, 4.672E-02, 3.209E-02, 1.730E-02, 6.604E-02, 4.535E-02, 2.445E-02, 1.024E-02, 7.273E-03, 4.251E-03
-3.672E-01, 2.602E-01, 2.508E-01, 3.026E-01, 3.188E-01, 1.517E-01, 1.410E-01, 4.274E-02, 2.101E-02, 1.357E-02, 6.041E-02, 2.969E-02, 1.918E-02, 3.699E-01, 3.240E-01, 2.966E-01, 3.093E-01, 3.485E-01, 3.440E-01, 5.843E-02, 3.439E-02, 2.036E-02, 8.258E-02, 4.861E-02, 2.877E-02, 1.844E-02, 8.896E-03, 6.409E-03
