m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.844E-01,-1.973E-02,-5.914E-03, 9.158E-02, 2.124E-01, 1.547E-01, 1.377E-01, 9.054E-05, 7.658E-04, 1.540E-03, 1.280E-04, 1.082E-03, 2.177E-03, 1.199E-01, 1.241E-01, 1.808E-01, 1.166E-01, 1.497E-01, 1.732E-01, 2.499E-04, 3.741E-03, 6.532E-03, 3.532E-04, 5.288E-03, 9.232E-03,-2.111E-05, 4.637E-05, 8.911E-04
-4.531E-01,-4.794E-02, 4.630E-02, 8.731E-02, 2.344E-01, 1.519E-01, 1.390E-01, 2.134E-03, 3.202E-03, 3.660E-03, 3.016E-03, 4.526E-03, 5.174E-03, 1.501E-01, 1.869E-01, 2.228E-01, 1.548E-01, 1.972E-01, 2.011E-01, 6.096E-03, 1.107E-02, 9.606E-03, 8.617E-03, 1.564E-02, 1.358E-02,-2.939E-04, 1.456E-03, 1.842E-03
-4.219E-01, 2.397E-02, 7.480E-02, 2.138E-01, 2.485E-01, 1.528E-01, 1.411E-01, 9.521E-03, 8.241E-03, 7.312E-03, 1.346E-02, 1.165E-02, 1.034E-02, 1.905E-01, 2.784E-01, 2.904E-01, 2.034E-01, 2.449E-01, 2.272E-01, 2.072E-02, 1.962E-02, 1.534E-02, 2.929E-02, 2.773E-02, 2.168E-02, 1.561E-03, 4.541E-03, 5.292E-03
-3.906E-01, 1.358E-01, 2.451E-01, 2.896E-01, 2.773E-01, 1.596E-01, 1.445E-01, 2.100E-02, 1.594E-02, 1.125E-02, 2.969E-02, 2.253E-02, 1.590E-02, 2.965E-01, 3.534E-01, 3.794E-01, 2.414E-01, 2.845E-01, 2.559E-01, 3.584E-02, 2.731E-02, 1.880E-02, 5.065E-02, 3.861E-02, 2.657E-02, 8.096E-03, 1.054E-02, 8.966E-03
-3.594E-01, 3.380E-01, 3.594E-01, 4.631E-01, 3.068E-01, 1.731E-01, 1.487E-01, 3.759E-02, 2.386E-02, 1.677E-02, 5.313E-02, 3.372E-02, 2.371E-02, 4.222E-01, 3.952E-01, 4.325E-01, 2.757E-01, 3.205E-01, 2.809E-01, 5.096E-02, 3.339E-02, 2.438E-02, 7.204E-02, 4.719E-02, 3.447E-02, 2.345E-02, 1.674E-02, 1.578E-02
-3.281E-01, 4.792E-01, 5.393E-01, 5.925E-01, 3.265E-01, 1.783E-01, 1.510E-01, 5.175E-02, 3.340E-02, 2.312E-02, 7.315E-02, 4.721E-02, 3.267E-02, 4.335E-01, 4.388E-01, 4.958E-01, 3.165E-01, 3.486E-01, 3.032E-01, 6.062E-02, 4.235E-02, 3.238E-02, 8.569E-02, 5.986E-02, 4.577E-02, 3.382E-02, 2.734E-02, 2.406E-02
-2.969E-01, 5.493E-01, 6.827E-01, 7.385E-01, 3.708E-01, 1.754E-01, 1.538E-01, 6.362E-02, 4.091E-02, 3.032E-02, 8.993E-02, 5.782E-02, 4.286E-02, 4.372E-01, 4.939E-01, 5.798E-01, 3.395E-01, 3.562E-01, 3.330E-01, 6.869E-02, 5.030E-02, 4.035E-02, 9.710E-02, 7.110E-02, 5.704E-02, 4.059E-02, 3.729E-02, 3.446E-02
-2.656E-01, 6.963E-01, 8.110E-01, 9.397E-01, 4.286E-01, 1.829E-01, 1.414E-01, 7.733E-02, 4.607E-02, 3.662E-02, 1.093E-01, 6.512E-02, 5.177E-02, 5.008E-01, 5.545E-01, 6.165E-01, 3.509E-01, 3.469E-01, 3.536E-01, 7.941E-02, 5.602E-02, 4.683E-02, 1.122E-01, 7.918E-02, 6.620E-02, 5.510E-02, 4.697E-02, 4.536E-02
-2.344E-01, 8.665E-01, 9.663E-01, 1.170E+00, 4.808E-01, 1.934E-01, 1.366E-01, 9.630E-02, 5.496E-02, 4.579E-02, 1.361E-01, 7.768E-02, 6.473E-02, 6.038E-01, 6.218E-01, 6.444E-01, 3.474E-01, 3.350E-01, 3.467E-01, 8.821E-02, 6.386E-02, 5.393E-02, 1.247E-01, 9.027E-02, 7.623E-02, 7.804E-02, 6.038E-02, 6.407E-02
-2.031E-01, 1.061E+00, 1.321E+00, 1.496E+00, 5.271E-01, 2.038E-01, 1.432E-01, 1.286E-01, 7.187E-02, 5.770E-02, 1.817E-01, 1.016E-01, 8.155E-02, 6.652E-01, 7.043E-01, 7.187E-01, 3.189E-01, 3.363E-01, 3.344E-01, 1.021E-01, 7.404E-02, 6.332E-02, 1.443E-01, 1.047E-01, 8.950E-02, 1.130E-01, 9.419E-02, 9.437E-02
