x,TC_125,TC_250
-0.3,35.71,42.09
-0.29,36.62,43.34
-0.28,37.55,44.55
-0.27,38.48,45.71
-0.26,39.41,46.80
-0.25,40.36,47.82
-0.24,41.32,48.77
-0.23,42.30,49.65
-0.22,43.30,50.45
-0.21,44.34,51.20
-0.2,45.61,52.11
-0.195,46.28,52.48
-0.19,46.92,52.86
-0.185,47.60,53.26
-0.18,48.30,53.72
-0.175,49.05,54.25
-0.17,49.85,54.89
-0.165,50.72,55.66
-0.16,51.65,56.58
-0.155,52.69,57.71
-0.15,53.83,59.06
-0.145,55.11,60.67
-0.14,56.56,62.60
-0.135,58.20,64.97
-0.13,60.06,67.94
-0.125,62.16,71.64
-0.12,64.53,76.77
-0.115,67.18,84.70
-0.11,70.12,96.78
-0.105,73.34,113.45
-0.1,76.88,135.52
-0.095,80.97,163.53
-0.09,86.02,196.60
-0.085,91.98,234.10
-0.08,98.44,278.16
-0.075,105.99,329.87
-0.07,117.59,384.62
-0.065,138.52,437.19
-0.06,174.00,483.84
-0.055,225.14,524.15
-0.05,290.78,560.75
-0.045,360.63,595.08
-0.04,421.80,625.83
-0.035,474.57,652.11
-0.03,525.96,676.95
-0.025,575.17,701.81
-0.02,617.92,724.37
-0.015,652.13,740.13
-0.01,676.57,749.14
-0.005,690.74,753.88
0,696.38,753.85
0.005,697.60,751.78
0.01,692.33,747.98
0.015,672.22,737.70
0.02,635.84,721.63
0.025,591.17,703.26
0.03,543.85,681.01
0.035,491.99,653.95
0.04,428.72,622.88
0.045,358.28,587.82
0.05,288.45,546.96
0.055,223.85,500.41
0.06,171.50,450.92
0.065,134.72,400.61
0.07,112.15,353.11
0.075,99.61,309.06
0.08,92.67,268.08
0.085,88.04,230.00
0.09,83.98,193.84
0.095,80.11,161.24
0.1,76.45,133.64
0.105,73.01,111.37
0.11,69.82,94.84
0.115,66.91,83.76
0.12,64.28,76.89
0.125,61.92,72.37
0.13,59.83,68.75
0.135,57.98,65.63
0.14,56.35,62.92
0.145,54.91,60.68
0.15,53.63,58.94
0.155,52.49,57.58
0.16,51.47,56.48
0.165,50.54,55.58
0.17,49.70,54.84
0.175,48.91,54.23
0.18,48.18,53.72
0.185,47.49,53.29
0.19,46.84,52.92
0.195,46.22,52.59
0.2,45.57,52.23
0.21,44.35,51.37
0.22,43.35,50.65
0.23,42.38,49.85
0.24,41.42,48.98
0.25,40.48,48.02
0.26,39.55,46.98
0.27,38.62,45.86
0.28,37.69,44.68
0.29,36.76,43.44
