x,XO2_125,XO2_250
-0.3,0.210,0.210
-0.29,0.210,0.210
-0.28,0.210,0.210
-0.27,0.210,0.210
-0.26,0.209,0.210
-0.25,0.206,0.210
-0.24,0.200,0.209
-0.23,0.192,0.207
-0.22,0.187,0.205
-0.21,0.184,0.202
-0.2,0.182,0.200
-0.195,0.181,0.199
-0.19,0.181,0.197
-0.185,0.180,0.196
-0.18,0.180,0.195
-0.175,0.180,0.193
-0.17,0.180,0.192
-0.165,0.180,0.190
-0.16,0.180,0.189
-0.155,0.180,0.188
-0.15,0.180,0.187
-0.145,0.180,0.186
-0.14,0.180,0.185
-0.135,0.180,0.184
-0.13,0.180,0.183
-0.125,0.180,0.182
-0.12,0.180,0.182
-0.115,0.180,0.181
-0.11,0.180,0.180
-0.105,0.180,0.179
-0.1,0.180,0.178
-0.095,0.180,0.176
-0.09,0.180,0.174
-0.085,0.180,0.172
-0.08,0.180,0.169
-0.075,0.180,0.165
-0.07,0.179,0.161
-0.065,0.178,0.156
-0.06,0.176,0.151
-0.055,0.173,0.145
-0.05,0.169,0.140
-0.045,0.164,0.133
-0.04,0.158,0.127
-0.035,0.150,0.120
-0.03,0.140,0.113
-0.025,0.128,0.105
-0.02,0.115,0.099
-0.015,0.102,0.093
-0.01,0.089,0.089
-0.005,0.079,0.087
0,0.075,0.086
0.005,0.078,0.087
0.01,0.086,0.090
0.015,0.098,0.094
0.02,0.111,0.100
0.025,0.125,0.106
0.03,0.137,0.113
0.035,0.147,0.120
0.04,0.156,0.127
0.045,0.163,0.134
0.05,0.169,0.140
0.055,0.173,0.146
0.06,0.176,0.152
0.065,0.178,0.157
0.07,0.179,0.161
0.075,0.180,0.165
0.08,0.180,0.168
0.085,0.180,0.171
0.09,0.180,0.174
0.095,0.180,0.176
0.1,0.180,0.178
0.105,0.180,0.179
0.11,0.180,0.180
0.115,0.180,0.181
0.12,0.180,0.182
0.125,0.180,0.182
0.13,0.180,0.183
0.135,0.180,0.184
0.14,0.180,0.185
0.145,0.180,0.186
0.15,0.180,0.187
0.155,0.180,0.188
0.16,0.180,0.189
0.165,0.180,0.190
0.17,0.180,0.192
0.175,0.180,0.193
0.18,0.180,0.195
0.185,0.180,0.196
0.19,0.181,0.197
0.195,0.181,0.199
0.2,0.182,0.200
0.21,0.184,0.203
0.22,0.187,0.205
0.23,0.192,0.208
0.24,0.200,0.209
0.25,0.206,0.210
0.26,0.209,0.210
0.27,0.210,0.210
0.28,0.210,0.210
0.29,0.210,0.210
