s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003556E+000, 2.8340970E+000,-7.0915634E-001,-1.5257196E-001,-1.0239235E-001, 2.5841048E-004, 0.0000000E+000,-5.8421401E-002, 1.9808933E+000, 1.8118134E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3210531E-005, 9.5397351E-006
 2.0001948E+000, 7.0375300E+000,-2.0262363E+000,-3.3122749E+000,-7.0079935E-002, 8.2952387E-004, 0.0000000E+000,-1.1637678E-001, 1.5469515E+000, 1.5133915E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7066705E-004, 1.9566255E-005
 3.0001092E+000, 8.8989692E+000,-2.5019398E+000,-5.1333157E+000,-6.2432006E-002, 1.2696708E-003, 0.0000000E+000,-1.2321797E-001, 1.1309903E+000, 1.0793333E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8847657E-004, 2.1608041E-005
 4.0003357E+000, 8.9813124E+000,-2.5196871E+000,-6.1462325E+000,-6.1518765E-002, 1.6627707E-003, 0.0000000E+000,-1.2452091E-001, 1.8755074E-001, 1.3101591E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9106615E-004, 2.1904925E-005
 5.0000653E+000, 9.2096457E+000,-2.5512305E+000,-6.2918461E+000,-6.4854256E-002, 2.0026519E-003, 0.0000000E+000,-1.2572519E-001, 2.2597275E-001, 1.7799230E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0544012E-008, 1.9142016E-004, 2.1945511E-005
 6.0002751E+000, 9.0293271E+000,-2.5204968E+000,-6.6383280E+000,-6.4241708E-002, 2.3208033E-003, 0.0000000E+000,-1.2495474E-001,-2.6686625E-001,-3.1637336E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3231679E-003, 1.9146813E-004, 2.1951010E-005
 7.0000076E+000, 9.0766170E+000,-2.5426714E+000,-6.3056041E+000,-6.2832148E-002, 2.6095298E-003, 0.0000000E+000,-1.2486885E-001, 9.0097766E-002, 4.3250062E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2963150E-002, 1.9147462E-004, 2.1951755E-005
 8.0000458E+000, 9.0707803E+000,-2.5042572E+000,-6.2776106E+000,-6.1642479E-002, 2.8456140E-003, 0.0000000E+000,-1.2336986E-001, 1.4726640E-001, 1.0674569E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1602055E-002, 1.9147550E-004, 2.1951856E-005
