cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.4696970E+000, 7.9896951E+000, 4.4626136E+000, 4.3000000E+000, 8.1933520E+002, 7.9682302E+002, 6.3153379E+002, 5.4023509E+002, 5.4549777E+002, 5.2108942E+002, 5.1300646E+002, 5.2337302E+002, 4.5317011E+002, 3.4603540E+002, 3.8006976E+002, 3.3434829E+002,-1.5560241E+001, 7.3404642E-019, 8.7001261E-007, 1.9254228E-003, 8.9881463E-003, 6.6678624E-003, 6.5771555E-019, 1.8407441E-006, 4.2302789E-003, 3.2465484E-002, 2.2357293E-002
 5.9666667E+000, 7.7578279E+000, 4.6996249E+000, 4.7800000E+000, 8.2140893E+002, 7.3345781E+002, 6.1473667E+002, 5.4087538E+002, 5.4796515E+002, 5.1567998E+002, 5.1205293E+002, 5.0538004E+002, 4.3329021E+002, 3.4449242E+002, 3.8382385E+002, 3.2962150E+002,-1.5066265E+001, 7.3404642E-019, 8.7001261E-007, 1.9254228E-003, 8.9881463E-003, 6.6678624E-003, 6.5771555E-019, 1.8407441E-006, 4.2302789E-003, 3.2465484E-002, 2.2357293E-002
 6.4636364E+000, 7.6094444E+000, 5.0135063E+000, 5.2600000E+000, 7.8712006E+002, 6.6966980E+002, 6.0483631E+002, 5.4646988E+002, 5.4578657E+002, 5.0803043E+002, 5.0216344E+002, 4.9057986E+002, 4.1767832E+002, 3.5329264E+002, 3.7859761E+002, 3.1947630E+002,-1.4572289E+001, 2.2980094E-017, 3.6828768E-005, 1.8272876E-002, 1.9780943E-002, 1.1355240E-002, 2.8435674E-017, 7.7952749E-005, 3.7411092E-002, 4.6736317E-002, 3.1811191E-002
 6.9606061E+000, 7.5778716E+000, 5.4622796E+000, 5.7400000E+000, 7.4342025E+002, 6.5008016E+002, 6.0562469E+002, 5.5350382E+002, 5.4049322E+002, 4.9819266E+002, 5.2166865E+002, 4.9050803E+002, 4.0665088E+002, 3.6705892E+002, 3.6821931E+002, 3.0446351E+002,-1.4078313E+001, 2.2980094E-017, 3.6828768E-005, 1.8272876E-002, 1.9780943E-002, 1.1355240E-002, 2.8435674E-017, 7.7952749E-005, 3.7411092E-002, 4.6736317E-002, 3.1811191E-002
 7.4575758E+000, 7.6709476E+000, 6.0494594E+000, 6.2200000E+000, 7.2879894E+002, 6.6686637E+002, 6.1382501E+002, 5.6011498E+002, 5.3460189E+002, 4.8737736E+002, 5.4855629E+002, 4.9234709E+002, 4.0353151E+002, 3.7758327E+002, 3.5704233E+002, 2.9021480E+002,-1.3584337E+001, 8.5190412E-016, 1.1029486E-003, 6.3787579E-002, 3.4665024E-002, 1.5666878E-002, 1.3580567E-015, 2.3477784E-003, 1.1294501E-001, 5.7549444E-002, 3.4569258E-002
 7.9545455E+000, 7.9026690E+000, 6.7670431E+000, 6.7000000E+000, 7.2651948E+002, 6.8473387E+002, 6.1478627E+002, 5.6412873E+002, 5.2690766E+002, 4.7756204E+002, 5.5432067E+002, 4.9553345E+002, 4.0089817E+002, 3.8142149E+002, 3.4124518E+002, 2.7849904E+002,-1.3090361E+001, 8.5190412E-016, 1.1029486E-003, 6.3787579E-002, 3.4665024E-002, 1.5666878E-002, 1.3580567E-015, 2.3477784E-003, 1.1294501E-001, 5.7549444E-002, 3.4569258E-002
 8.4515152E+000, 8.3080649E+000, 7.5985899E+000, 7.1800000E+000, 7.1192704E+002, 6.9913945E+002, 6.1708223E+002, 5.6477774E+002, 5.1844372E+002, 4.6599707E+002, 5.3678582E+002, 5.0023855E+002, 3.9815781E+002, 3.7858689E+002, 3.2747635E+002, 2.6809301E+002,-1.2596386E+001, 4.0648742E-014, 1.4882732E-002, 1.1161556E-001, 5.3958339E-002, 2.4113438E-002, 7.6282817E-014, 2.8235837E-002, 1.8831012E-001, 6.9248922E-002, 3.8659763E-002
 8.9484848E+000, 8.9321839E+000, 8.5215530E+000, 7.6600000E+000, 6.9045030E+002, 6.9832207E+002, 6.1857337E+002, 5.6255012E+002, 5.1177148E+002, 4.5118651E+002, 5.1436055E+002, 4.9604184E+002, 3.9909195E+002, 3.7298950E+002, 3.1682457E+002, 2.5460544E+002,-1.2102410E+001, 4.0648742E-014, 1.4882732E-002, 1.1161556E-001, 5.3958339E-002, 2.4113438E-002, 7.6282817E-014, 2.8235837E-002, 1.8831012E-001, 6.9248922E-002, 3.8659763E-002
 9.4454545E+000, 9.8277359E+000, 9.5498283E+000, 8.1400000E+000, 6.6611567E+002, 6.8889881E+002, 6.2280316E+002, 5.5861628E+002, 5.0080700E+002, 4.3653477E+002, 4.9210179E+002, 4.8633953E+002, 4.0226361E+002, 3.6440820E+002, 3.0062715E+002, 2.3911807E+002,-1.1608434E+001, 1.1033075E-012, 2.9477493E-002, 1.6246464E-001, 6.3377909E-002, 3.0484159E-002, 2.6565913E-012, 5.1896380E-002, 2.9121843E-001, 7.4615346E-002, 3.9691129E-002
 9.9424242E+000, 1.0883467E+001, 1.0700556E+001, 8.6200000E+000, 6.4169109E+002, 6.7476142E+002, 6.2618887E+002, 5.5341185E+002, 4.8489618E+002, 4.2465505E+002, 4.7103535E+002, 4.7570061E+002, 4.0579356E+002, 3.5253997E+002, 2.7920601E+002, 2.2393272E+002,-1.1114458E+001, 6.7753211E-011, 5.7116920E-002, 1.9199523E-001, 7.1353331E-002, 3.7923701E-002, 1.6969174E-010, 9.5840461E-002, 3.4627877E-001, 8.1734265E-002, 4.5628667E-002
