m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01,-7.039E-02,-2.049E-02, 1.904E-02, 2.175E-01, 1.370E-01, 1.374E-01, 1.840E-03, 8.741E-04, 1.251E-03, 2.600E-03, 1.235E-03, 1.768E-03, 1.012E-01, 6.590E-02, 1.001E-01, 6.082E-02, 9.114E-02, 8.216E-02, 1.782E-03, 1.290E-03, 1.633E-03, 2.519E-03, 1.824E-03, 2.308E-03, 1.729E-04,-6.869E-05, 6.314E-05
-4.062E-01,-7.039E-02,-2.049E-02, 1.904E-02, 2.175E-01, 1.370E-01, 1.374E-01, 1.840E-03, 8.741E-04, 1.251E-03, 2.600E-03, 1.235E-03, 1.768E-03, 1.012E-01, 6.590E-02, 1.001E-01, 6.082E-02, 9.114E-02, 8.216E-02, 1.782E-03, 1.290E-03, 1.633E-03, 2.519E-03, 1.824E-03, 2.308E-03, 1.729E-04,-6.869E-05, 6.314E-05
-3.438E-01, 1.762E-01, 1.703E-01, 2.335E-01, 2.770E-01, 1.458E-01, 1.354E-01, 1.364E-02, 6.836E-03, 6.787E-03, 1.928E-02, 9.663E-03, 9.593E-03, 2.433E-01, 2.038E-01, 2.553E-01, 1.076E-01, 1.355E-01, 1.526E-01, 9.991E-03, 5.628E-03, 6.454E-03, 1.412E-02, 7.955E-03, 9.123E-03, 9.098E-03, 2.843E-03, 2.581E-03
-2.812E-01, 5.362E-01, 6.335E-01, 7.915E-01, 3.744E-01, 1.709E-01, 1.268E-01, 5.152E-02, 3.057E-02, 2.761E-02, 7.283E-02, 4.321E-02, 3.902E-02, 4.282E-01, 3.844E-01, 4.898E-01, 1.452E-01, 1.673E-01, 2.101E-01, 2.702E-02, 1.457E-02, 1.515E-02, 3.819E-02, 2.060E-02, 2.141E-02, 4.618E-02, 2.664E-02, 2.849E-02
-2.188E-01, 5.362E-01, 6.335E-01, 7.915E-01, 3.744E-01, 1.709E-01, 1.268E-01, 5.152E-02, 3.057E-02, 2.761E-02, 7.283E-02, 4.321E-02, 3.902E-02, 4.282E-01, 3.844E-01, 4.898E-01, 1.452E-01, 1.673E-01, 2.101E-01, 2.702E-02, 1.457E-02, 1.515E-02, 3.819E-02, 2.060E-02, 2.141E-02, 4.618E-02, 2.664E-02, 2.849E-02
-1.562E-01, 1.728E+00, 2.169E+00, 2.394E+00, 3.813E-01, 1.873E-01, 1.165E-01, 1.888E-01, 1.254E-01, 1.003E-01, 2.669E-01, 1.773E-01, 1.417E-01, 4.033E-01, 5.858E-01, 7.579E-01, 1.922E-01, 2.076E-01, 2.511E-01, 6.423E-02, 4.786E-02, 4.206E-02, 9.078E-02, 6.765E-02, 5.945E-02, 2.153E-01, 2.229E-01, 2.184E-01
-9.375E-02, 2.472E+00, 3.418E+00, 3.887E+00, 1.574E-01, 7.599E-02, 4.530E-02, 3.676E-01, 2.662E-01, 2.112E-01, 5.195E-01, 3.762E-01, 2.985E-01, 2.389E-01, 3.984E-01, 5.410E-01, 2.438E-01, 2.765E-01, 3.026E-01, 5.906E-02, 5.735E-02, 5.178E-02, 8.348E-02, 8.106E-02, 7.319E-02, 3.529E-01, 4.758E-01, 5.042E-01
-3.125E-02, 2.472E+00, 3.418E+00, 3.887E+00, 1.574E-01, 7.599E-02, 4.530E-02, 3.676E-01, 2.662E-01, 2.112E-01, 5.195E-01, 3.762E-01, 2.985E-01, 2.389E-01, 3.984E-01, 5.410E-01, 2.438E-01, 2.765E-01, 3.026E-01, 5.906E-02, 5.735E-02, 5.178E-02, 8.348E-02, 8.106E-02, 7.319E-02, 3.529E-01, 4.758E-01, 5.042E-01
 3.125E-02, 2.416E+00, 3.326E+00, 3.776E+00,-3.572E-01,-2.006E-01,-1.294E-01, 3.551E-01, 2.568E-01, 2.033E-01, 5.019E-01, 3.630E-01, 2.874E-01, 3.189E-01, 5.165E-01, 6.515E-01, 2.352E-01, 2.736E-01, 3.232E-01, 8.127E-02, 7.267E-02, 5.924E-02, 1.149E-01, 1.027E-01, 8.373E-02, 3.423E-01, 4.570E-01, 4.825E-01
