m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-2.344E-02, 1.497E+00, 3.111E+00, 3.746E+00, 1.919E-01, 1.138E-01, 5.644E-02, 4.168E-01, 3.303E-01, 2.493E-01, 5.892E-01, 4.669E-01, 3.524E-01, 6.029E-01, 1.197E+00, 1.437E+00, 3.622E-01, 3.929E-01, 4.372E-01, 1.144E-01, 1.158E-01, 1.207E-01, 1.617E-01, 1.636E-01, 1.706E-01, 2.601E-01, 4.838E-01, 5.157E-01
-7.812E-03, 1.492E+00, 3.118E+00, 3.843E+00, 8.643E-02, 6.732E-02, 5.167E-02, 4.232E-01, 3.343E-01, 2.604E-01, 5.982E-01, 4.725E-01, 3.680E-01, 6.042E-01, 1.205E+00, 1.480E+00, 3.640E-01, 3.781E-01, 4.450E-01, 1.082E-01, 1.137E-01, 1.196E-01, 1.530E-01, 1.607E-01, 1.690E-01, 2.604E-01, 4.875E-01, 5.396E-01
 7.812E-03, 1.490E+00, 3.123E+00, 3.846E+00,-2.663E-02, 1.654E-02, 1.933E-02, 4.282E-01, 3.401E-01, 2.581E-01, 6.052E-01, 4.807E-01, 3.648E-01, 6.012E-01, 1.236E+00, 1.484E+00, 3.692E-01, 3.767E-01, 4.809E-01, 1.109E-01, 1.193E-01, 1.190E-01, 1.567E-01, 1.686E-01, 1.682E-01, 2.606E-01, 4.913E-01, 5.396E-01
 2.344E-02, 1.529E+00, 3.127E+00, 3.761E+00,-7.098E-02,-1.400E-02, 6.547E-03, 4.394E-01, 3.396E-01, 2.486E-01, 6.210E-01, 4.799E-01, 3.514E-01, 6.170E-01, 1.275E+00, 1.514E+00, 3.423E-01, 3.691E-01, 4.595E-01, 1.216E-01, 1.255E-01, 1.235E-01, 1.719E-01, 1.773E-01, 1.746E-01, 2.692E-01, 4.912E-01, 5.202E-01
 3.906E-02, 1.587E+00, 3.135E+00, 3.688E+00,-1.774E-01,-7.336E-02,-1.408E-02, 4.495E-01, 3.307E-01, 2.362E-01, 6.354E-01, 4.675E-01, 3.339E-01, 6.279E-01, 1.291E+00, 1.535E+00, 3.309E-01, 3.926E-01, 4.601E-01, 1.290E-01, 1.337E-01, 1.275E-01, 1.823E-01, 1.890E-01, 1.802E-01, 2.815E-01, 4.860E-01, 4.977E-01
 5.469E-02, 1.621E+00, 3.048E+00, 3.550E+00,-2.981E-01,-1.347E-01,-3.087E-02, 4.372E-01, 3.049E-01, 2.152E-01, 6.179E-01, 4.310E-01, 3.041E-01, 6.493E-01, 1.281E+00, 1.513E+00, 3.365E-01, 3.948E-01, 4.596E-01, 1.339E-01, 1.398E-01, 1.295E-01, 1.893E-01, 1.975E-01, 1.830E-01, 2.839E-01, 4.563E-01, 4.567E-01
 7.031E-02, 1.591E+00, 2.868E+00, 3.333E+00,-4.188E-01,-1.851E-01,-4.641E-02, 4.053E-01, 2.630E-01, 1.891E-01, 5.729E-01, 3.717E-01, 2.673E-01, 7.036E-01, 1.244E+00, 1.416E+00, 3.471E-01, 3.766E-01, 4.617E-01, 1.421E-01, 1.450E-01, 1.309E-01, 2.009E-01, 2.050E-01, 1.851E-01, 2.720E-01, 4.023E-01, 3.984E-01
 8.594E-02, 1.536E+00, 2.654E+00, 3.116E+00,-5.160E-01,-1.985E-01,-5.885E-02, 3.689E-01, 2.245E-01, 1.644E-01, 5.214E-01, 3.173E-01, 2.323E-01, 7.421E-01, 1.230E+00, 1.307E+00, 3.390E-01, 3.778E-01, 4.592E-01, 1.500E-01, 1.502E-01, 1.316E-01, 2.120E-01, 2.123E-01, 1.861E-01, 2.547E-01, 3.444E-01, 3.410E-01
 1.016E-01, 1.484E+00, 2.472E+00, 2.902E+00,-5.593E-01,-1.901E-01,-6.356E-02, 3.310E-01, 1.943E-01, 1.414E-01, 4.678E-01, 2.746E-01, 1.999E-01, 7.567E-01, 1.196E+00, 1.196E+00, 3.312E-01, 3.927E-01, 4.630E-01, 1.531E-01, 1.471E-01, 1.262E-01, 2.164E-01, 2.079E-01, 1.784E-01, 2.367E-01, 2.988E-01, 2.886E-01
 1.172E-01, 1.448E+00, 2.345E+00, 2.695E+00,-5.740E-01,-1.896E-01,-6.391E-02, 2.964E-01, 1.694E-01, 1.229E-01, 4.190E-01, 2.395E-01, 1.737E-01, 7.534E-01, 1.098E+00, 1.106E+00, 3.348E-01, 4.063E-01, 4.687E-01, 1.507E-01, 1.384E-01, 1.183E-01, 2.130E-01, 1.956E-01, 1.672E-01, 2.202E-01, 2.606E-01, 2.450E-01
