m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01,-6.662E-02,-3.386E-02, 3.027E-02, 1.924E-01, 1.075E-01, 1.027E-01, 2.156E-03, 6.682E-04, 2.366E-04, 3.048E-03, 9.444E-04, 3.345E-04, 1.044E-01, 6.818E-02, 6.585E-02, 8.817E-02, 7.775E-02, 6.397E-02, 4.083E-03, 1.018E-03, 2.579E-04, 5.771E-03, 1.439E-03, 3.646E-04, 3.086E-04,-2.740E-05, 5.375E-06
-4.062E-01, 8.335E-02, 7.979E-02, 5.231E-02, 2.416E-01, 1.256E-01, 9.667E-02, 7.701E-03, 4.069E-03, 2.245E-03, 1.089E-02, 5.751E-03, 3.174E-03, 1.921E-01, 1.737E-01, 1.512E-01, 1.058E-01, 1.008E-01, 1.089E-01, 1.189E-02, 6.201E-03, 1.966E-03, 1.680E-02, 8.765E-03, 2.779E-03, 3.435E-03, 1.920E-03, 1.456E-04
-3.438E-01, 1.388E-01, 2.591E-01, 2.723E-01, 3.030E-01, 1.563E-01, 1.010E-01, 1.795E-02, 1.063E-02, 8.790E-03, 2.538E-02, 1.503E-02, 1.242E-02, 2.701E-01, 2.508E-01, 2.359E-01, 1.374E-01, 1.262E-01, 1.512E-01, 1.930E-02, 1.289E-02, 9.495E-03, 2.728E-02, 1.822E-02, 1.342E-02, 8.171E-03, 6.038E-03, 4.222E-03
-2.812E-01, 4.717E-01, 6.333E-01, 7.603E-01, 3.927E-01, 1.723E-01, 1.094E-01, 4.272E-02, 2.648E-02, 2.283E-02, 6.038E-02, 3.742E-02, 3.227E-02, 3.877E-01, 3.662E-01, 4.245E-01, 1.678E-01, 1.907E-01, 1.996E-01, 3.553E-02, 2.467E-02, 2.156E-02, 5.022E-02, 3.487E-02, 3.048E-02, 3.340E-02, 2.491E-02, 2.681E-02
-2.188E-01, 8.467E-01, 1.134E+00, 1.377E+00, 4.489E-01, 2.031E-01, 1.109E-01, 9.033E-02, 5.636E-02, 4.829E-02, 1.277E-01, 7.966E-02, 6.825E-02, 5.370E-01, 5.910E-01, 6.246E-01, 2.012E-01, 2.432E-01, 2.482E-01, 6.386E-02, 4.387E-02, 3.502E-02, 9.026E-02, 6.200E-02, 4.950E-02, 8.108E-02, 7.604E-02, 8.115E-02
-1.562E-01, 1.403E+00, 1.890E+00, 2.258E+00, 4.617E-01, 2.217E-01, 1.157E-01, 1.821E-01, 1.204E-01, 1.000E-01, 2.574E-01, 1.701E-01, 1.414E-01, 5.924E-01, 7.732E-01, 8.325E-01, 2.245E-01, 2.505E-01, 2.891E-01, 9.775E-02, 7.263E-02, 5.727E-02, 1.382E-01, 1.027E-01, 8.095E-02, 1.739E-01, 1.901E-01, 2.065E-01
-9.375E-02, 2.072E+00, 2.938E+00, 3.428E+00, 3.718E-01, 1.799E-01, 9.292E-02, 3.472E-01, 2.467E-01, 2.008E-01, 4.908E-01, 3.487E-01, 2.838E-01, 5.153E-01, 8.086E-01, 9.897E-01, 2.475E-01, 2.903E-01, 3.380E-01, 1.241E-01, 1.064E-01, 8.779E-02, 1.754E-01, 1.504E-01, 1.241E-01, 3.022E-01, 3.991E-01, 4.407E-01
-3.125E-02, 2.442E+00, 3.737E+00, 4.366E+00, 1.351E-01, 6.328E-02, 2.695E-02, 5.011E-01, 3.820E-01, 3.040E-01, 7.084E-01, 5.399E-01, 4.296E-01, 3.880E-01, 6.655E-01, 8.457E-01, 2.513E-01, 3.226E-01, 3.713E-01, 1.099E-01, 1.037E-01, 9.050E-02, 1.554E-01, 1.465E-01, 1.279E-01, 3.758E-01, 5.833E-01, 6.538E-01
 3.125E-02, 2.467E+00, 3.739E+00, 4.329E+00,-2.905E-01,-1.479E-01,-8.879E-02, 5.036E-01, 3.802E-01, 2.995E-01, 7.118E-01, 5.373E-01, 4.234E-01, 3.068E-01, 5.970E-01, 8.048E-01, 2.447E-01, 3.273E-01, 4.127E-01, 8.840E-02, 9.502E-02, 8.568E-02, 1.249E-01, 1.343E-01, 1.211E-01, 3.814E-01, 5.834E-01, 6.434E-01
