m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.844E-01,-3.205E-02,-2.748E-04, 3.899E-02, 1.947E-01, 1.505E-01, 1.238E-01, 1.474E-04, 1.902E-04, 4.751E-04, 2.084E-04, 2.688E-04, 6.715E-04, 1.101E-01, 1.033E-01, 9.081E-02, 1.214E-01, 1.081E-01, 1.159E-01, 5.188E-04, 1.223E-03, 2.105E-03, 7.333E-04, 1.729E-03, 2.976E-03,-2.159E-05,-4.977E-05, 2.548E-06
-4.531E-01,-4.115E-02, 9.180E-03, 4.840E-02, 2.051E-01, 1.529E-01, 1.249E-01, 1.583E-03, 9.975E-04, 7.095E-04, 2.237E-03, 1.410E-03, 1.003E-03, 1.402E-01, 1.220E-01, 1.293E-01, 1.563E-01, 1.284E-01, 1.440E-01, 4.889E-03, 5.603E-03, 2.784E-03, 6.911E-03, 7.920E-03, 3.936E-03,-1.079E-04, 1.842E-04, 2.462E-04
-4.219E-01, 1.075E-02, 4.495E-02, 5.545E-02, 2.345E-01, 1.511E-01, 1.266E-01, 5.496E-03, 2.312E-03, 1.234E-03, 7.768E-03, 3.268E-03, 1.744E-03, 2.074E-01, 1.687E-01, 1.507E-01, 1.742E-01, 1.602E-01, 1.732E-01, 1.302E-02, 7.255E-03, 3.574E-03, 1.840E-02, 1.026E-02, 5.052E-03, 1.569E-03, 7.675E-04, 4.756E-04
-3.906E-01, 6.839E-02, 1.168E-01, 1.263E-01, 2.719E-01, 1.609E-01, 1.343E-01, 1.296E-02, 5.299E-03, 3.352E-03, 1.831E-02, 7.490E-03, 4.738E-03, 2.653E-01, 2.246E-01, 2.092E-01, 1.921E-01, 1.961E-01, 2.010E-01, 2.079E-02, 1.026E-02, 8.170E-03, 2.938E-02, 1.451E-02, 1.155E-02, 4.892E-03, 1.828E-03, 1.689E-03
-3.594E-01, 1.680E-01, 1.822E-01, 2.324E-01, 3.088E-01, 1.721E-01, 1.299E-01, 2.236E-02, 1.131E-02, 7.855E-03, 3.161E-02, 1.598E-02, 1.110E-02, 3.100E-01, 3.175E-01, 2.941E-01, 2.246E-01, 2.271E-01, 2.236E-01, 2.894E-02, 1.892E-02, 1.582E-02, 4.091E-02, 2.674E-02, 2.237E-02, 9.913E-03, 5.808E-03, 4.903E-03
-3.281E-01, 2.937E-01, 3.673E-01, 3.776E-01, 3.414E-01, 1.694E-01, 1.253E-01, 3.772E-02, 1.909E-02, 1.577E-02, 5.331E-02, 2.698E-02, 2.228E-02, 3.869E-01, 4.019E-01, 3.958E-01, 2.587E-01, 2.555E-01, 2.489E-01, 4.186E-02, 2.925E-02, 2.784E-02, 5.917E-02, 4.134E-02, 3.935E-02, 1.985E-02, 1.348E-02, 1.227E-02
-2.969E-01, 5.086E-01, 5.122E-01, 5.993E-01, 3.898E-01, 1.768E-01, 1.300E-01, 5.858E-02, 2.972E-02, 2.531E-02, 8.281E-02, 4.201E-02, 3.578E-02, 4.203E-01, 4.077E-01, 4.613E-01, 2.677E-01, 2.819E-01, 2.934E-01, 5.821E-02, 3.785E-02, 3.642E-02, 8.228E-02, 5.351E-02, 5.147E-02, 4.158E-02, 2.194E-02, 2.263E-02
-2.656E-01, 7.595E-01, 7.506E-01, 8.180E-01, 4.478E-01, 1.890E-01, 1.294E-01, 7.910E-02, 4.211E-02, 3.424E-02, 1.118E-01, 5.952E-02, 4.840E-02, 4.824E-01, 4.592E-01, 5.520E-01, 2.803E-01, 3.087E-01, 3.371E-01, 7.130E-02, 4.566E-02, 4.273E-02, 1.008E-01, 6.454E-02, 6.039E-02, 6.529E-02, 3.938E-02, 3.761E-02
-2.344E-01, 9.118E-01, 1.028E+00, 1.129E+00, 4.950E-01, 1.832E-01, 1.139E-01, 9.906E-02, 5.600E-02, 4.477E-02, 1.400E-01, 7.916E-02, 6.327E-02, 5.367E-01, 5.567E-01, 6.387E-01, 2.824E-01, 3.195E-01, 3.636E-01, 7.926E-02, 5.421E-02, 4.788E-02, 1.120E-01, 7.662E-02, 6.768E-02, 8.478E-02, 6.405E-02, 6.215E-02
