s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.581E-01, 0.000E+00, 0.000E+00, 4.918E-02, 0.000E+00,-9.589E-03, 0.000E+00, 0.000E+00, 0.000E+00, 3.959E-02, 0.000E+00, 6.662E-03
 3.162E-01, 0.000E+00, 0.000E+00, 1.666E-01,-5.040E-08,-1.908E-02, 0.000E+00, 0.000E+00, 7.477E-02, 1.475E-01, 0.000E+00, 1.302E-02
 4.743E-01, 0.000E+00, 0.000E+00, 3.205E-01,-4.509E-08,-2.991E-02, 0.000E+00, 0.000E+00, 2.012E-01, 2.906E-01, 0.000E+00, 1.879E-02
 6.325E-01, 0.000E+00, 0.000E+00, 4.960E-01,-5.603E-08,-5.132E-02, 0.000E+00, 0.000E+00, 3.541E-01, 4.447E-01, 0.000E+00, 2.382E-02
 7.906E-01, 0.000E+00, 0.000E+00, 7.693E-01, 1.650E-07,-1.643E-01, 0.000E+00, 0.000E+00, 5.153E-01, 6.049E-01, 0.000E+00, 2.803E-02
 9.487E-01, 0.000E+00, 0.000E+00, 6.901E-01, 3.249E-07,-3.352E-02, 0.000E+00, 0.000E+00, 6.362E-01, 6.566E-01, 0.000E+00, 3.146E-02
 1.107E+00, 0.000E+00, 0.000E+00, 7.802E-01, 6.068E-07,-4.460E-02, 0.000E+00, 0.000E+00, 6.996E-01, 7.356E-01, 0.000E+00, 3.417E-02
 1.202E+00, 0.000E+00, 0.000E+00, 8.208E-01, 1.402E-06,-1.002E-01, 0.000E+00, 0.000E+00, 7.258E-01, 7.206E-01, 0.000E+00, 3.551E-02
 1.290E+00, 0.000E+00, 0.000E+00, 8.565E-01, 1.797E-06,-1.486E-01, 0.000E+00, 0.000E+00, 7.264E-01, 7.079E-01, 0.000E+00, 3.657E-02
 1.378E+00, 0.000E+00, 0.000E+00, 8.947E-01, 1.435E-06,-2.069E-01, 0.000E+00, 0.000E+00, 7.078E-01, 6.878E-01, 0.000E+00, 3.748E-02
 1.451E+00, 0.000E+00, 0.000E+00, 9.041E-01, 1.001E-06,-2.638E-01, 0.000E+00, 0.000E+00, 6.838E-01, 6.403E-01, 0.000E+00, 3.813E-02
 1.507E+00, 0.000E+00, 0.000E+00, 9.126E-01, 1.418E-07,-3.188E-01, 0.000E+00, 0.000E+00, 6.359E-01, 5.938E-01, 0.000E+00, 3.858E-02
 1.557E+00, 0.000E+00, 0.000E+00, 9.824E-01,-5.641E-08,-3.723E-01, 0.000E+00, 0.000E+00, 6.033E-01, 6.101E-01, 0.000E+00, 3.894E-02
 1.606E+00, 0.000E+00, 0.000E+00, 1.034E+00,-1.072E-06,-4.093E-01, 0.000E+00, 0.000E+00, 6.115E-01, 6.252E-01, 0.000E+00, 3.927E-02
 1.648E+00, 0.000E+00, 0.000E+00, 1.080E+00,-1.435E-06,-4.313E-01, 0.000E+00, 0.000E+00, 6.293E-01, 6.490E-01, 0.000E+00, 3.952E-02
 1.690E+00, 0.000E+00, 0.000E+00, 1.092E+00,-2.372E-06,-4.380E-01, 0.000E+00, 0.000E+00, 6.484E-01, 6.537E-01, 0.000E+00, 3.976E-02
 1.731E+00, 0.000E+00, 0.000E+00, 1.094E+00,-2.686E-06,-4.379E-01, 0.000E+00, 0.000E+00, 6.543E-01, 6.558E-01, 0.000E+00, 3.998E-02
 1.773E+00, 0.000E+00, 0.000E+00, 1.088E+00,-3.215E-06,-4.307E-01, 0.000E+00, 0.000E+00, 6.478E-01, 6.572E-01, 0.000E+00, 4.018E-02
 1.815E+00, 0.000E+00, 0.000E+00, 1.087E+00,-3.618E-06,-4.136E-01, 0.000E+00, 0.000E+00, 6.504E-01, 6.731E-01, 0.000E+00, 4.036E-02
 1.857E+00, 0.000E+00, 0.000E+00, 1.087E+00,-3.945E-06,-3.887E-01, 0.000E+00, 0.000E+00, 6.699E-01, 6.987E-01, 0.000E+00, 4.054E-02
 1.899E+00, 0.000E+00, 0.000E+00, 1.078E+00,-3.863E-06,-3.580E-01, 0.000E+00, 0.000E+00, 6.963E-01, 7.200E-01, 0.000E+00, 4.070E-02
 1.940E+00, 0.000E+00, 0.000E+00, 1.057E+00,-3.421E-06,-3.251E-01, 0.000E+00, 0.000E+00, 7.163E-01, 7.316E-01, 0.000E+00, 4.084E-02
 1.978E+00, 0.000E+00, 0.000E+00, 1.028E+00,-2.769E-06,-2.969E-01, 0.000E+00, 0.000E+00, 7.222E-01, 7.316E-01, 0.000E+00, 4.096E-02
 2.015E+00, 0.000E+00, 0.000E+00, 1.004E+00,-1.700E-06,-2.719E-01, 0.000E+00, 0.000E+00, 7.238E-01, 7.324E-01, 0.000E+00, 4.108E-02
 2.052E+00, 0.000E+00, 0.000E+00, 9.861E-01,-6.843E-07,-2.502E-01, 0.000E+00, 0.000E+00, 7.268E-01, 7.359E-01, 0.000E+00, 4.118E-02
 2.090E+00, 0.000E+00, 0.000E+00, 9.725E-01, 7.214E-07,-2.317E-01, 0.000E+00, 0.000E+00, 7.318E-01, 7.408E-01, 0.000E+00, 4.128E-02
 2.127E+00, 0.000E+00, 0.000E+00, 9.615E-01, 1.774E-06,-2.162E-01, 0.000E+00, 0.000E+00, 7.371E-01, 7.452E-01, 0.000E+00, 4.137E-02
 2.164E+00, 0.000E+00, 0.000E+00, 9.519E-01, 3.354E-06,-2.035E-01, 0.000E+00, 0.000E+00, 7.413E-01, 7.483E-01, 0.000E+00, 4.146E-02
 2.198E+00, 0.000E+00, 0.000E+00, 9.415E-01, 4.468E-06,-1.951E-01, 0.000E+00, 0.000E+00, 7.393E-01, 7.464E-01, 0.000E+00, 4.153E-02
 2.231E+00, 0.000E+00, 0.000E+00, 9.331E-01, 5.755E-06,-1.878E-01, 0.000E+00, 0.000E+00, 7.376E-01, 7.454E-01, 0.000E+00, 4.159E-02
 2.265E+00, 0.000E+00, 0.000E+00, 9.273E-01, 6.823E-06,-1.821E-01, 0.000E+00, 0.000E+00, 7.369E-01, 7.452E-01, 0.000E+00, 4.166E-02
 2.298E+00, 0.000E+00, 0.000E+00, 9.234E-01, 8.105E-06,-1.783E-01, 0.000E+00, 0.000E+00, 7.365E-01, 7.451E-01, 0.000E+00, 4.171E-02
 2.332E+00, 0.000E+00, 0.000E+00, 9.216E-01, 9.074E-06,-1.768E-01, 0.000E+00, 0.000E+00, 7.358E-01, 7.448E-01, 0.000E+00, 4.177E-02
 2.365E+00, 0.000E+00, 0.000E+00, 9.219E-01, 1.034E-05,-1.777E-01, 0.000E+00, 0.000E+00, 7.347E-01, 7.442E-01, 0.000E+00, 4.182E-02
 2.399E+00, 0.000E+00, 0.000E+00, 9.242E-01, 1.136E-05,-1.812E-01, 0.000E+00, 0.000E+00, 7.330E-01, 7.430E-01, 0.000E+00, 4.187E-02
 2.432E+00, 0.000E+00, 0.000E+00, 9.282E-01, 1.260E-05,-1.870E-01, 0.000E+00, 0.000E+00, 7.306E-01, 7.412E-01, 0.000E+00, 4.191E-02
 2.462E+00, 0.000E+00, 0.000E+00, 9.315E-01, 1.351E-05,-1.936E-01, 0.000E+00, 0.000E+00, 7.260E-01, 7.378E-01, 0.000E+00, 4.195E-02
