s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.471E-02, 0.000E+00, 0.000E+00, 2.326E-02,-1.604E-09,-3.242E-02, 0.000E+00, 0.000E+00, 6.108E-03,-9.160E-03, 0.000E+00, 8.644E-04
 4.941E-02, 0.000E+00, 0.000E+00,-2.384E-02,-7.212E-09,-5.887E-02, 0.000E+00, 0.000E+00, 2.163E-02,-8.271E-02, 0.000E+00, 2.037E-03
 6.176E-02, 0.000E+00, 0.000E+00,-5.586E-02,-4.763E-09,-6.224E-02, 0.000E+00, 0.000E+00, 3.894E-02,-1.181E-01, 0.000E+00, 2.915E-03
 8.647E-02, 0.000E+00, 0.000E+00,-7.994E-02, 1.018E-11,-6.352E-02, 0.000E+00, 0.000E+00, 5.733E-02,-1.435E-01, 0.000E+00, 3.791E-03
 1.112E-01, 0.000E+00, 0.000E+00,-1.073E-01, 1.553E-08,-6.461E-02, 0.000E+00, 0.000E+00, 8.045E-02,-1.719E-01, 0.000E+00, 4.955E-03
 1.235E-01, 0.000E+00, 0.000E+00,-1.232E-01, 3.256E-08,-6.530E-02, 0.000E+00, 0.000E+00, 9.688E-02,-1.885E-01, 0.000E+00, 5.824E-03
 1.482E-01, 0.000E+00, 0.000E+00,-1.354E-01, 6.012E-08,-6.558E-02, 0.000E+00, 0.000E+00, 1.125E-01,-2.010E-01, 0.000E+00, 6.689E-03
 1.606E-01, 0.000E+00, 0.000E+00,-1.450E-01, 9.379E-08,-6.559E-02, 0.000E+00, 0.000E+00, 1.277E-01,-2.106E-01, 0.000E+00, 7.550E-03
 1.853E-01, 0.000E+00, 0.000E+00,-1.515E-01, 1.377E-07,-6.517E-02, 0.000E+00, 0.000E+00, 1.427E-01,-2.167E-01, 0.000E+00, 8.405E-03
 2.100E-01, 0.000E+00, 0.000E+00,-1.553E-01, 2.125E-07,-6.404E-02, 0.000E+00, 0.000E+00, 1.629E-01,-2.194E-01, 0.000E+00, 9.537E-03
 2.223E-01, 0.000E+00, 0.000E+00,-1.560E-01, 2.824E-07,-6.208E-02, 0.000E+00, 0.000E+00, 1.780E-01,-2.181E-01, 0.000E+00, 1.038E-02
 2.471E-01, 0.000E+00, 0.000E+00,-1.543E-01, 3.658E-07,-5.910E-02, 0.000E+00, 0.000E+00, 1.932E-01,-2.134E-01, 0.000E+00, 1.121E-02
 2.718E-01, 0.000E+00, 0.000E+00,-1.483E-01, 4.961E-07,-5.397E-02, 0.000E+00, 0.000E+00, 2.137E-01,-2.022E-01, 0.000E+00, 1.232E-02
 2.841E-01, 0.000E+00, 0.000E+00,-1.414E-01, 6.046E-07,-4.998E-02, 0.000E+00, 0.000E+00, 2.294E-01,-1.914E-01, 0.000E+00, 1.313E-02
 3.088E-01, 0.000E+00, 0.000E+00,-1.308E-01, 7.242E-07,-4.656E-02, 0.000E+00, 0.000E+00, 2.458E-01,-1.774E-01, 0.000E+00, 1.394E-02
 3.212E-01, 0.000E+00, 0.000E+00,-1.172E-01, 8.450E-07,-4.343E-02, 0.000E+00, 0.000E+00, 2.623E-01,-1.606E-01, 0.000E+00, 1.474E-02
 3.459E-01, 0.000E+00, 0.000E+00,-9.953E-02, 9.612E-07,-4.047E-02, 0.000E+00, 0.000E+00, 2.785E-01,-1.400E-01, 0.000E+00, 1.553E-02
 3.706E-01, 0.000E+00, 0.000E+00,-6.328E-02, 1.098E-06,-3.662E-02, 0.000E+00, 0.000E+00, 2.990E-01,-9.989E-02, 0.000E+00, 1.657E-02
 3.829E-01, 0.000E+00, 0.000E+00,-2.246E-02, 1.181E-06,-3.384E-02, 0.000E+00, 0.000E+00, 3.128E-01,-5.629E-02, 0.000E+00, 1.734E-02
 4.076E-01, 0.000E+00, 0.000E+00, 2.938E-02, 1.234E-06,-3.135E-02, 0.000E+00, 0.000E+00, 3.267E-01,-1.971E-03, 0.000E+00, 1.810E-02
 4.323E-01, 0.000E+00, 0.000E+00, 1.137E-01, 1.280E-06,-2.835E-02, 0.000E+00, 0.000E+00, 3.455E-01, 8.535E-02, 0.000E+00, 1.909E-02
 4.447E-01, 0.000E+00, 0.000E+00, 1.820E-01, 1.299E-06,-2.642E-02, 0.000E+00, 0.000E+00, 3.595E-01, 1.555E-01, 0.000E+00, 1.983E-02
 4.694E-01, 0.000E+00, 0.000E+00, 2.536E-01, 1.313E-06,-2.506E-02, 0.000E+00, 0.000E+00, 3.740E-01, 2.285E-01, 0.000E+00, 2.055E-02
 4.818E-01, 0.000E+00, 0.000E+00, 3.271E-01, 1.321E-06,-2.450E-02, 0.000E+00, 0.000E+00, 3.886E-01, 3.026E-01, 0.000E+00, 2.126E-02
 5.065E-01, 0.000E+00, 0.000E+00, 4.029E-01, 1.317E-06,-2.510E-02, 0.000E+00, 0.000E+00, 4.032E-01, 3.778E-01, 0.000E+00, 2.196E-02
 5.312E-01, 0.000E+00, 0.000E+00, 5.058E-01, 1.310E-06,-2.713E-02, 0.000E+00, 0.000E+00, 4.223E-01, 4.786E-01, 0.000E+00, 2.287E-02
 5.415E-01, 0.000E+00, 0.000E+00, 5.779E-01, 1.296E-06,-2.855E-02, 0.000E+00, 0.000E+00, 4.327E-01, 5.494E-01, 0.000E+00, 2.347E-02
 5.620E-01, 0.000E+00, 0.000E+00, 6.397E-01, 1.281E-06,-3.023E-02, 0.000E+00, 0.000E+00, 4.417E-01, 6.094E-01, 0.000E+00, 2.402E-02
 5.810E-01, 0.000E+00, 0.000E+00, 7.100E-01, 1.257E-06,-3.211E-02, 0.000E+00, 0.000E+00, 4.521E-01, 6.779E-01, 0.000E+00, 2.470E-02
 6.071E-01, 0.000E+00, 0.000E+00, 7.657E-01, 1.220E-06,-3.358E-02, 0.000E+00, 0.000E+00, 4.607E-01, 7.321E-01, 0.000E+00, 2.545E-02
 6.245E-01, 0.000E+00, 0.000E+00, 7.919E-01, 1.181E-06,-3.472E-02, 0.000E+00, 0.000E+00, 4.686E-01, 7.572E-01, 0.000E+00, 2.618E-02
 6.418E-01, 0.000E+00, 0.000E+00, 7.873E-01, 1.148E-06,-3.590E-02, 0.000E+00, 0.000E+00, 4.742E-01, 7.514E-01, 0.000E+00, 2.675E-02
 6.652E-01, 0.000E+00, 0.000E+00, 7.606E-01, 1.106E-06,-3.844E-02, 0.000E+00, 0.000E+00, 4.826E-01, 7.222E-01, 0.000E+00, 2.739E-02
 6.807E-01, 0.000E+00, 0.000E+00, 7.185E-01, 1.062E-06,-4.200E-02, 0.000E+00, 0.000E+00, 4.914E-01, 6.765E-01, 0.000E+00, 2.800E-02
 7.016E-01, 0.000E+00, 0.000E+00, 6.675E-01, 1.020E-06,-4.573E-02, 0.000E+00, 0.000E+00, 5.004E-01, 6.218E-01, 0.000E+00, 2.854E-02
 7.209E-01, 0.000E+00, 0.000E+00, 6.016E-01, 9.823E-07,-4.901E-02, 0.000E+00, 0.000E+00, 5.116E-01, 5.525E-01, 0.000E+00, 2.914E-02
 7.440E-01, 0.000E+00, 0.000E+00, 5.306E-01, 9.613E-07,-5.155E-02, 0.000E+00, 0.000E+00, 5.239E-01, 4.790E-01, 0.000E+00, 2.975E-02
