m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01,-1.448E-01, 3.082E-02, 1.005E-01, 2.914E-01, 2.247E-01, 1.746E-01, 2.216E-03, 2.678E-03, 3.170E-03, 3.132E-03, 3.786E-03, 4.481E-03, 7.879E-02, 6.627E-02, 9.795E-02, 1.107E-01, 1.226E-01, 1.315E-01, 1.449E-03, 2.208E-03, 2.088E-03, 2.048E-03, 3.121E-03, 2.952E-03,-1.803E-04, 3.114E-04, 6.197E-04
-4.062E-01,-1.448E-01, 3.082E-02, 1.005E-01, 2.914E-01, 2.247E-01, 1.746E-01, 2.216E-03, 2.678E-03, 3.170E-03, 3.132E-03, 3.786E-03, 4.481E-03, 7.879E-02, 6.627E-02, 9.795E-02, 1.107E-01, 1.226E-01, 1.315E-01, 1.449E-03, 2.208E-03, 2.088E-03, 2.048E-03, 3.121E-03, 2.952E-03,-1.803E-04, 3.114E-04, 6.197E-04
-3.438E-01, 4.810E-01, 6.415E-01, 8.219E-01, 2.714E-01, 1.824E-01, 1.301E-01, 3.138E-02, 2.425E-02, 2.225E-02, 4.435E-02, 3.428E-02, 3.145E-02, 3.323E-01, 4.058E-01, 4.297E-01, 1.132E-01, 1.426E-01, 1.658E-01, 1.621E-02, 1.258E-02, 1.009E-02, 2.291E-02, 1.778E-02, 1.426E-02, 2.206E-02, 2.407E-02, 2.682E-02
-2.812E-01, 4.810E-01, 6.415E-01, 8.219E-01, 2.714E-01, 1.824E-01, 1.301E-01, 3.138E-02, 2.425E-02, 2.225E-02, 4.435E-02, 3.428E-02, 3.145E-02, 3.323E-01, 4.058E-01, 4.297E-01, 1.132E-01, 1.426E-01, 1.658E-01, 1.621E-02, 1.258E-02, 1.009E-02, 2.291E-02, 1.778E-02, 1.426E-02, 2.206E-02, 2.407E-02, 2.682E-02
-2.188E-01, 4.810E-01, 6.415E-01, 8.219E-01, 2.714E-01, 1.824E-01, 1.301E-01, 3.138E-02, 2.425E-02, 2.225E-02, 4.435E-02, 3.428E-02, 3.145E-02, 3.323E-01, 4.058E-01, 4.297E-01, 1.132E-01, 1.426E-01, 1.658E-01, 1.621E-02, 1.258E-02, 1.009E-02, 2.291E-02, 1.778E-02, 1.426E-02, 2.206E-02, 2.407E-02, 2.682E-02
-1.562E-01, 1.718E+00, 2.195E+00, 2.492E+00, 1.599E-01, 9.097E-02, 5.886E-02, 1.393E-01, 1.047E-01, 8.642E-02, 1.969E-01, 1.480E-01, 1.221E-01, 1.002E-01, 1.292E-01, 1.360E-01, 8.382E-02, 1.137E-01, 1.548E-01, 2.420E-02, 2.238E-02, 1.911E-02, 3.421E-02, 3.163E-02, 2.701E-02, 1.961E-01, 2.003E-01, 1.969E-01
-9.375E-02, 1.718E+00, 2.195E+00, 2.492E+00, 1.599E-01, 9.097E-02, 5.886E-02, 1.393E-01, 1.047E-01, 8.642E-02, 1.969E-01, 1.480E-01, 1.221E-01, 1.002E-01, 1.292E-01, 1.360E-01, 8.382E-02, 1.137E-01, 1.548E-01, 2.420E-02, 2.238E-02, 1.911E-02, 3.421E-02, 3.163E-02, 2.701E-02, 1.961E-01, 2.003E-01, 1.969E-01
-3.125E-02, 1.718E+00, 2.195E+00, 2.492E+00, 1.599E-01, 9.097E-02, 5.886E-02, 1.393E-01, 1.047E-01, 8.642E-02, 1.969E-01, 1.480E-01, 1.221E-01, 1.002E-01, 1.292E-01, 1.360E-01, 8.382E-02, 1.137E-01, 1.548E-01, 2.420E-02, 2.238E-02, 1.911E-02, 3.421E-02, 3.163E-02, 2.701E-02, 1.961E-01, 2.003E-01, 1.969E-01
 3.125E-02, 1.704E+00, 2.169E+00, 2.456E+00,-1.560E-01,-1.019E-01,-6.658E-02, 1.383E-01, 1.033E-01, 8.527E-02, 1.955E-01, 1.460E-01, 1.205E-01, 1.297E-01, 1.779E-01, 2.124E-01, 9.855E-02, 1.372E-01, 1.743E-01, 2.759E-02, 2.603E-02, 2.278E-02, 3.899E-02, 3.679E-02, 3.220E-02, 1.931E-01, 1.958E-01, 1.928E-01
 9.375E-02, 1.704E+00, 2.169E+00, 2.456E+00,-1.560E-01,-1.019E-01,-6.658E-02, 1.383E-01, 1.033E-01, 8.527E-02, 1.955E-01, 1.460E-01, 1.205E-01, 1.297E-01, 1.779E-01, 2.124E-01, 9.855E-02, 1.372E-01, 1.743E-01, 2.759E-02, 2.603E-02, 2.278E-02, 3.899E-02, 3.679E-02, 3.220E-02, 1.931E-01, 1.958E-01, 1.928E-01
 1.562E-01, 1.704E+00, 2.169E+00, 2.456E+00,-1.560E-01,-1.019E-01,-6.658E-02, 1.383E-01, 1.033E-01, 8.527E-02, 1.955E-01, 1.460E-01, 1.205E-01, 1.297E-01, 1.779E-01, 2.124E-01, 9.855E-02, 1.372E-01, 1.743E-01, 2.759E-02, 2.603E-02, 2.278E-02, 3.899E-02, 3.679E-02, 3.220E-02, 1.931E-01, 1.958E-01, 1.928E-01
 2.188E-01, 4.953E-01, 6.256E-01, 7.869E-01,-2.566E-01,-1.855E-01,-1.353E-01, 3.233E-02, 2.403E-02, 2.211E-02, 4.569E-02, 3.397E-02, 3.125E-02, 3.290E-01, 4.396E-01, 4.986E-01, 1.251E-01, 1.553E-01, 1.823E-01, 1.641E-02, 1.296E-02, 1.111E-02, 2.319E-02, 1.832E-02, 1.570E-02, 2.265E-02, 2.357E-02, 2.689E-02
 2.812E-01, 4.953E-01, 6.256E-01, 7.869E-01,-2.566E-01,-1.855E-01,-1.353E-01, 3.233E-02, 2.403E-02, 2.211E-02, 4.569E-02, 3.397E-02, 3.125E-02, 3.290E-01, 4.396E-01, 4.986E-01, 1.251E-01, 1.553E-01, 1.823E-01, 1.641E-02, 1.296E-02, 1.111E-02, 2.319E-02, 1.832E-02, 1.570E-02, 2.265E-02, 2.357E-02, 2.689E-02
 3.438E-01, 4.953E-01, 6.256E-01, 7.869E-01,-2.566E-01,-1.855E-01,-1.353E-01, 3.233E-02, 2.403E-02, 2.211E-02, 4.569E-02, 3.397E-02, 3.125E-02, 3.290E-01, 4.396E-01, 4.986E-01, 1.251E-01, 1.553E-01, 1.823E-01, 1.641E-02, 1.296E-02, 1.111E-02, 2.319E-02, 1.832E-02, 1.570E-02, 2.265E-02, 2.357E-02, 2.689E-02
 4.062E-01,-1.220E-01, 4.145E-02, 1.053E-01,-2.798E-01,-2.251E-01,-1.749E-01, 2.575E-03, 2.954E-03, 3.522E-03, 3.640E-03, 4.175E-03, 4.979E-03, 6.950E-02, 6.981E-02, 1.098E-01, 1.263E-01, 1.327E-01, 1.354E-01, 1.818E-03, 2.397E-03, 2.368E-03, 2.569E-03, 3.388E-03, 3.347E-03,-6.958E-05, 3.332E-04, 7.135E-04
 4.688E-01,-1.220E-01, 4.145E-02, 1.053E-01,-2.798E-01,-2.251E-01,-1.749E-01, 2.575E-03, 2.954E-03, 3.522E-03, 3.640E-03, 4.175E-03, 4.979E-03, 6.950E-02, 6.981E-02, 1.098E-01, 1.263E-01, 1.327E-01, 1.354E-01, 1.818E-03, 2.397E-03, 2.368E-03, 2.569E-03, 3.388E-03, 3.347E-03,-6.958E-05, 3.332E-04, 7.135E-04
