s,kW,m/s,kg/m2/s,C,C
Time,rad,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-3.2514196E-007,-6.1122264E-003, 0.0000000E+000, 4.5000000E+001, 4.5000000E+001
 2.0003381E+000, 3.5235419E-001, 1.6677246E+000, 7.4563199E-003, 4.9873615E+001, 5.3038674E+001
 4.0005969E+000, 4.0392926E-001, 2.8494244E+000, 8.7598370E-003, 5.1316533E+001, 5.5993080E+001
 6.0007997E+000, 4.1391444E-001, 2.9617901E+000, 9.5198181E-003, 5.2233814E+001, 5.7500085E+001
 8.0005703E+000, 4.1714736E-001, 2.9936255E+000, 1.0334138E-002, 5.3042189E+001, 5.8730165E+001
 1.0000359E+001, 4.1682350E-001, 3.1709306E+000, 1.1072178E-002, 5.3708644E+001, 5.9765428E+001
 1.2000410E+001, 4.1956848E-001, 3.0602442E+000, 1.1814463E-002, 5.4288236E+001, 6.0480549E+001
 1.4000689E+001, 4.1966667E-001, 3.1593339E+000, 1.2218458E-002, 5.4722968E+001, 6.0830587E+001
 1.6000653E+001, 4.1571067E-001, 3.3624614E+000, 1.2854329E-002, 5.5116339E+001, 6.1506183E+001
 1.8000769E+001, 4.1867336E-001, 3.2268361E+000, 1.3209656E-002, 5.5418095E+001, 6.1821780E+001
 2.0000113E+001, 4.1508335E-001, 3.6158445E+000, 1.3581686E-002, 5.5712910E+001, 6.1919657E+001
 2.2000884E+001, 4.1825361E-001, 3.5746336E+000, 1.4419326E-002, 5.6016325E+001, 6.2501611E+001
 2.4000010E+001, 4.1905328E-001, 3.6422992E+000, 1.4649409E-002, 5.6227540E+001, 6.2579634E+001
 2.6000706E+001, 4.2191601E-001, 3.8932630E+000, 1.4747546E-002, 5.6374538E+001, 6.2663710E+001
 2.8000436E+001, 4.0858433E-001, 3.3542259E+000, 1.4878222E-002, 5.6433517E+001, 6.2508151E+001
 3.0000665E+001, 4.0995692E-001, 3.5913635E+000, 1.5022341E-002, 5.6557738E+001, 6.2804544E+001
 3.2000414E+001, 4.1952489E-001, 3.2856300E+000, 1.5544371E-002, 5.6719773E+001, 6.2803854E+001
 3.4000686E+001, 4.2858062E-001, 3.4241202E+000, 1.5944769E-002, 5.6907664E+001, 6.3066112E+001
 3.6000389E+001, 4.2715238E-001, 3.4013729E+000, 1.5892106E-002, 5.6947481E+001, 6.3031401E+001
 3.8000592E+001, 4.2734606E-001, 3.6038455E+000, 1.6189789E-002, 5.7066768E+001, 6.3048729E+001
 4.0000005E+001, 4.2371216E-001, 3.8118016E+000, 1.6115331E-002, 5.7106544E+001, 6.2934032E+001
 4.2000761E+001, 4.1974812E-001, 3.5686638E+000, 1.6001545E-002, 5.7113834E+001, 6.2948112E+001
 4.4000266E+001, 4.1783798E-001, 3.5661473E+000, 1.6028884E-002, 5.7156324E+001, 6.3037356E+001
 4.6000557E+001, 4.1042940E-001, 3.4313076E+000, 1.6070383E-002, 5.7156346E+001, 6.3026289E+001
 4.8000798E+001, 4.3858794E-001, 3.7101138E+000, 1.6600280E-002, 5.7357023E+001, 6.3242514E+001
 5.0000214E+001, 4.2480635E-001, 3.7144390E+000, 1.6386902E-002, 5.7312349E+001, 6.3086757E+001
 5.2000177E+001, 4.2657979E-001, 3.4567369E+000, 1.5955801E-002, 5.7258423E+001, 6.2861561E+001
 5.4000880E+001, 4.2397664E-001, 3.7195285E+000, 1.6122663E-002, 5.7322397E+001, 6.3055548E+001
 5.6000471E+001, 4.2822657E-001, 3.0565070E+000, 1.6296680E-002, 5.7364927E+001, 6.3143792E+001
 5.8000296E+001, 4.2694239E-001, 4.0224216E+000, 1.6297675E-002, 5.7376264E+001, 6.3230106E+001
 6.0000000E+001, 4.2864654E-001, 3.5745425E+000, 1.6273833E-002, 5.7417236E+001, 6.3152843E+001
