s,kW,m/s,kg/m2/s,C,C
Time,rad,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-8.5986931E-008,-4.4882581E-004, 0.0000000E+000, 4.5000000E+001, 4.5000000E+001
 2.0003771E+000, 4.3118317E-001, 1.7816502E+000, 8.6181396E-003, 5.1226517E+001, 5.6460949E+001
 4.0005021E+000, 4.9490513E-001, 3.0254682E+000, 1.1264817E-002, 5.3935001E+001, 6.0867020E+001
 6.0001642E+000, 4.8786588E-001, 3.2641406E+000, 1.2913583E-002, 5.5483915E+001, 6.2472227E+001
 8.0001716E+000, 4.8183356E-001, 3.0707295E+000, 1.4329288E-002, 5.6505055E+001, 6.3552776E+001
 1.0000449E+001, 4.7943049E-001, 3.2566298E+000, 1.5356636E-002, 5.7189417E+001, 6.3822513E+001
 1.2000399E+001, 4.5523142E-001, 3.2978797E+000, 1.5436598E-002, 5.7371490E+001, 6.4019873E+001
 1.4000040E+001, 4.5791083E-001, 3.0848241E+000, 1.5591058E-002, 5.7623176E+001, 6.4008912E+001
 1.6000013E+001, 4.6619569E-001, 3.3923152E+000, 1.6937095E-002, 5.7914493E+001, 6.4198420E+001
 1.8000420E+001, 4.2946832E-001, 3.2078303E+000, 1.4760091E-002, 5.7558536E+001, 6.3832995E+001
 2.0000458E+001, 4.4989398E-001, 3.2699489E+000, 1.6231001E-002, 5.7988239E+001, 6.4088221E+001
 2.2000049E+001, 4.5074185E-001, 3.3288142E+000, 1.6590875E-002, 5.8101139E+001, 6.4187297E+001
 2.4000207E+001, 4.5029566E-001, 3.4083276E+000, 1.6727349E-002, 5.8131044E+001, 6.4216570E+001
 2.6000285E+001, 4.4246468E-001, 3.2371147E+000, 1.5876746E-002, 5.7996987E+001, 6.3964244E+001
 2.8000389E+001, 4.4699943E-001, 3.6721403E+000, 1.6397556E-002, 5.8162044E+001, 6.4257270E+001
 3.0000424E+001, 4.3749562E-001, 3.6116917E+000, 1.5895221E-002, 5.8082685E+001, 6.3988133E+001
 3.2000023E+001, 4.4699202E-001, 3.3441160E+000, 1.6704049E-002, 5.8277129E+001, 6.4149356E+001
 3.4000168E+001, 4.3521885E-001, 3.3399676E+000, 1.6008676E-002, 5.8207465E+001, 6.4117229E+001
 3.6000180E+001, 4.3536802E-001, 3.4191901E+000, 1.5951200E-002, 5.8108793E+001, 6.4162447E+001
 3.8000124E+001, 4.2402808E-001, 3.4912864E+000, 1.5335487E-002, 5.8053471E+001, 6.3980942E+001
 4.0000150E+001, 4.2416072E-001, 3.4567498E+000, 1.5668608E-002, 5.8080572E+001, 6.4087417E+001
 4.2000311E+001, 4.4776577E-001, 3.3498244E+000, 1.6597618E-002, 5.8382173E+001, 6.4265726E+001
 4.4000001E+001, 4.5234547E-001, 3.5337420E+000, 1.7277153E-002, 5.8469625E+001, 6.4273180E+001
 4.6000062E+001, 4.4962569E-001, 2.8404520E+000, 1.7201526E-002, 5.8420405E+001, 6.4280412E+001
 4.8000409E+001, 4.3440563E-001, 2.9055199E+000, 1.6593345E-002, 5.8272522E+001, 6.4156460E+001
 5.0000079E+001, 4.3321804E-001, 3.3063246E+000, 1.6154032E-002, 5.8253981E+001, 6.4205927E+001
 5.2000268E+001, 4.2945762E-001, 3.1487283E+000, 1.6168795E-002, 5.8223727E+001, 6.4206812E+001
 5.4000065E+001, 4.3952108E-001, 3.6513720E+000, 1.6488746E-002, 5.8305686E+001, 6.4239490E+001
 5.6000198E+001, 4.4440794E-001, 3.5130472E+000, 1.6502210E-002, 5.8369462E+001, 6.4232206E+001
 5.8000332E+001, 4.4477236E-001, 3.3188083E+000, 1.6912504E-002, 5.8474024E+001, 6.4189025E+001
 6.0000000E+001, 4.3373230E-001, 3.3845972E+000, 1.6398157E-002, 5.8338476E+001, 6.4174015E+001
