s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 4.2000763E+001, 2.4082834E+001,-5.3325286E+000,-1.8434023E+001,-7.9002226E-001, 4.9670390E-003, 0.0000000E+000, 0.0000000E+000,-4.2441252E-001,-4.6877287E-001, 0.0000000E+000, 1.1713131E-003, 0.0000000E+000, 0.0000000E+000
 4.4000267E+001, 2.4819869E+001,-5.4562405E+000,-1.7448845E+001,-7.6958228E-001, 4.9556774E-003, 0.0000000E+000, 0.0000000E+000, 1.2178510E+000, 1.1501564E+000, 0.0000000E+000, 1.1733143E-003, 0.0000000E+000, 0.0000000E+000
 4.6000557E+001, 2.4106201E+001,-5.3299164E+000,-1.9189499E+001,-7.7972952E-001, 5.1040498E-003, 0.0000000E+000, 0.0000000E+000,-1.1377829E+000,-1.1878399E+000, 0.0000000E+000, 1.1763521E-003, 0.0000000E+000, 0.0000000E+000
 4.8000797E+001, 2.5719656E+001,-5.6735434E+000,-1.8629020E+001,-7.9802572E-001, 5.1531839E-003, 0.0000000E+000, 0.0000000E+000, 7.0852907E-001, 6.2421944E-001, 0.0000000E+000, 1.2151405E-003, 0.0000000E+000, 0.0000000E+000
 5.0000214E+001, 2.4774773E+001,-5.4844102E+000,-1.9364935E+001,-7.9148416E-001, 5.1332133E-003, 0.0000000E+000, 0.0000000E+000,-7.7879174E-001,-8.6092375E-001, 0.0000000E+000, 1.1995213E-003, 0.0000000E+000, 0.0000000E+000
 5.2000179E+001, 2.4415909E+001,-5.3577066E+000,-1.7602889E+001,-7.7850784E-001, 4.9959226E-003, 0.0000000E+000, 0.0000000E+000, 7.3069272E-001, 6.8180128E-001, 0.0000000E+000, 1.1679646E-003, 0.0000000E+000, 0.0000000E+000
 5.4000881E+001, 2.4447860E+001,-5.3938360E+000,-1.8960012E+001,-7.7755419E-001, 4.9849212E-003, 0.0000000E+000, 0.0000000E+000,-6.1643432E-001,-6.7855765E-001, 0.0000000E+000, 1.1801790E-003, 0.0000000E+000, 0.0000000E+000
 5.6000469E+001, 2.5331997E+001,-5.5998704E+000,-1.8488378E+001,-7.8777931E-001, 5.0315221E-003, 0.0000000E+000, 0.0000000E+000, 5.0950813E-001, 4.6100142E-001, 0.0000000E+000, 1.1929170E-003, 0.0000000E+000, 0.0000000E+000
 5.8000298E+001, 2.4615889E+001,-5.4369705E+000,-1.8900042E+001,-7.8446119E-001, 4.9369204E-003, 0.0000000E+000, 0.0000000E+000,-4.4462511E-001,-5.0064803E-001, 0.0000000E+000, 1.1929898E-003, 0.0000000E+000, 0.0000000E+000
 6.0000000E+001, 2.5168475E+001,-5.5702224E+000,-1.8476807E+001,-7.8227819E-001, 5.0253899E-003, 0.0000000E+000, 0.0000000E+000, 4.0874821E-001, 3.4419290E-001, 0.0000000E+000, 1.1912446E-003, 0.0000000E+000, 0.0000000E+000
