x1,Yp4,x2,Wp4,x3,Yp4_rms,x4,Wp4_rms
-0.494516283,0.00607905,-0.493103656,-0.000527178,-0.499978178,0.00071628,-0.498621026,0.056094047
-0.442064141,0.007587719,-0.460001205,-0.002334644,-0.470751518,0.002725704,-0.47333377,0.076724081
-0.413133188,0.007291902,-0.404821846,0.010253067,-0.446536598,0.009057056,-0.450586155,0.088807388
-0.35521212,0.014879621,-0.363448086,0.000193657,-0.417168097,0.020378123,-0.424065463,0.092098369
-0.306287601,0.028694298,-0.310958409,0.137733222,-0.38522826,0.033835908,-0.396180351,0.155855
-0.257348292,0.044553815,-0.268097793,0.322600427,-0.358365628,0.04731794,-0.372133808,0.189501605
-0.204792613,0.060376354,-0.227969893,0.554418717,-0.323854457,0.062912442,-0.344277803,0.235968302
-0.161277858,0.076291336,-0.197483964,0.810164415,-0.296904538,0.082124716,-0.316392691,0.299724933
-0.12689277,0.08002973,-0.154485636,1.244634085,-0.259702011,0.107735019,-0.280968702,0.341574432
-0.084949545,0.128680617,-0.126676479,1.648731869,-0.234195968,0.11549287,-0.246734487,0.426697885
-0.057397841,0.187703606,-0.097492356,2.044954265,-0.213843505,0.118261005,-0.211208622,0.529062152
-0.046031053,0.259162023,-0.072403005,2.519403364,-0.185853414,0.122425331,-0.174471151,0.601119916
-0.038073562,0.359285157,-0.055671033,2.846102866,-0.161605761,0.130905524,-0.160459464,0.674061825
-0.030397098,0.420556359,-0.037469418,3.336528675,-0.130782473,0.154397294,-0.147630275,0.79460017
-0.011723618,0.502165014,-0.017948784,3.717678095,-0.111448361,0.173645937,-0.127160332,0.953746152
-0.00053432,0.549085369,-0.00672528,4.060278995,-0.094740139,0.187176462,-0.097787092,1.151450652
0.003289121,0.577676132,0.00711905,4.153126809,-0.074224013,0.200688801,-0.079900452,1.276115004
0.017902506,0.597976608,0.020907434,4.144573621,-0.064135069,0.196342626,-0.059554217,1.361778767
0.028810777,0.606045031,0.033303639,4.112695513,-0.04645214,0.190527522,-0.03925892,1.417185146
0.039556348,0.591620229,0.051199706,4.049315853,-0.023397411,0.204027738,-0.016547689,1.407656035
0.055652518,0.56691577,0.063578697,3.986237436,-0.005332601,0.223282443,0.006170818,1.402449407
0.068102737,0.53815861,0.070358847,3.775258801,0.006287506,0.236120933,0.019993305,1.363006746
0.073053983,0.472668311,0.077173424,3.626680782,0.014066977,0.246828768,0.037472439,1.245612024
0.09568772,0.351782485,0.086703505,3.399951371,0.028182042,0.256790014,0.051229434,1.167267012
0.113133558,0.263669542,0.098961998,3.118470798,0.051138572,0.263843707,0.062497726,1.110632654
0.129052238,0.21442702,0.118073801,2.758612899,0.061183873,0.256632412,0.072474367,1.036757482
0.143133151,0.161113309,0.131724473,2.500457246,0.068657838,0.247284399,0.09002627,0.962587596
0.168166708,0.122002537,0.149555987,2.32007643,0.078615852,0.234342861,0.097477824,0.888810662
0.19692017,0.097168657,0.171473666,2.045868756,0.092381768,0.221383138,0.11377446,0.819012378
0.232980324,0.082485015,0.189270752,1.803087324,0.101037748,0.206298821,0.137631803,0.740274412
0.287151906,0.071706164,0.216727023,1.567578792,0.11349072,0.190480039,0.167852803,0.691548235
0.335913725,0.063027618,0.233127626,1.293672362,0.125987335,0.177526378,0.196803982,0.638548693
0.382704659,0.031874337,0.264726008,1.065737973,0.143572066,0.165264751,0.211903566,0.60770188
0.418794396,0.021280372,0.292182279,0.830229441,0.168728961,0.150101633,0.245853982,0.524248477
0.458470919,0.006559753,0.326552108,0.625544661,0.196500834,0.139940354,0.279768012,0.419182658
0.501837766,0.00202635,0.369171729,0.373607552,0.223101605,0.136231659,0.308653699,0.327280765
,,0.411830081,0.191871136,0.243334047,0.131120711,0.343903042,0.265390661
,,0.451764324,0.072685959,0.277463337,0.121645404,0.369066591,0.212538477
,,0.500008607,0.015449532,0.289981775,0.110124303,0.390508001,0.198736001
,,,,0.30247839,0.097170642,0.41192758,0.171966075
,,,,0.323860114,0.08417455,0.453518749,0.127120309
,,,,0.343972537,0.071184519,0.482549974,0.121668086
,,,,0.362772015,0.055335429,0.501480851,0.116608815
,,,,0.379120177,0.045228705,,
,,,,0.39671582,0.033683358,,
,,,,0.419443221,0.025695166,,
,,,,0.442214266,0.020572095,,
,,,,0.458671538,0.017628173,,
