r,qrad
(cm),(kW/m2)
0,23.24
0.8,23.242
1.6,23.247
2.4,23.255
3.2,23.256
3.9,23.23
4.7,23.152
5.5,23.001
6.3,22.768
7.1,22.451
7.9,22.048
8.7,21.538
9.5,20.895
10.3,20.091
11.1,19.123
11.8,18.001
12.6,16.72
13.4,15.2
14.2,13.263
15,10.65
