s,kg/s,m/s
Time,MDOT HE,WVELp6
 0.000E+00, 0.000E+00, 1.353E-03
 3.953E-02, 1.901E-03, 4.616E-03
 7.906E-02, 3.797E-03, 8.570E-03
 1.186E-01, 5.680E-03, 1.304E-02
 1.581E-01, 7.546E-03, 1.795E-02
 1.976E-01, 9.389E-03, 2.320E-02
 2.372E-01, 1.120E-02, 2.865E-02
 2.767E-01, 1.299E-02, 3.413E-02
 3.162E-01, 1.473E-02, 3.949E-02
 3.558E-01, 1.643E-02, 4.462E-02
 3.953E-01, 1.809E-02, 4.948E-02
 4.348E-01, 1.970E-02, 5.460E-02
 4.743E-01, 2.126E-02, 5.988E-02
 5.139E-01, 2.276E-02, 6.524E-02
 5.534E-01, 2.421E-02, 7.060E-02
 5.929E-01, 2.560E-02, 7.604E-02
 6.325E-01, 2.694E-02, 8.166E-02
 6.720E-01, 2.821E-02, 8.727E-02
 7.115E-01, 2.943E-02, 9.344E-02
 7.510E-01, 3.060E-02, 1.000E-01
 7.906E-01, 3.170E-02, 1.069E-01
 8.301E-01, 3.275E-02, 1.142E-01
 8.696E-01, 3.374E-02, 1.220E-01
 9.092E-01, 3.468E-02, 1.306E-01
 9.487E-01, 3.557E-02, 1.398E-01
 9.882E-01, 3.641E-02, 1.500E-01
 1.028E+00, 3.720E-02, 1.612E-01
 1.067E+00, 3.794E-02, 1.735E-01
 1.107E+00, 3.864E-02, 1.873E-01
 1.146E+00, 3.929E-02, 2.027E-01
 1.186E+00, 3.991E-02, 2.202E-01
 1.225E+00, 4.048E-02, 2.400E-01
 1.265E+00, 4.102E-02, 2.630E-01
 1.304E+00, 4.153E-02, 2.901E-01
 1.339E+00, 4.194E-02, 3.174E-01
 1.373E+00, 4.233E-02, 3.500E-01
 1.401E+00, 4.262E-02, 3.826E-01
 1.430E+00, 4.291E-02, 4.223E-01
 1.454E+00, 4.314E-02, 4.648E-01
 1.478E+00, 4.336E-02, 5.189E-01
 1.502E+00, 4.358E-02, 5.913E-01
 1.527E+00, 4.378E-02, 6.935E-01
 1.546E+00, 4.394E-02, 8.085E-01
 1.565E+00, 4.409E-02, 9.677E-01
 1.582E+00, 4.422E-02, 1.163E+00
 1.599E+00, 4.435E-02, 1.423E+00
 1.616E+00, 4.447E-02, 1.763E+00
 1.631E+00, 4.457E-02, 2.134E+00
 1.647E+00, 4.468E-02, 2.554E+00
 1.662E+00, 4.478E-02, 2.983E+00
 1.677E+00, 4.487E-02, 3.365E+00
 1.692E+00, 4.497E-02, 3.641E+00
 1.707E+00, 4.506E-02, 3.785E+00
 1.723E+00, 4.515E-02, 3.798E+00
 1.738E+00, 4.523E-02, 3.727E+00
 1.753E+00, 4.532E-02, 3.634E+00
 1.768E+00, 4.540E-02, 3.575E+00
 1.783E+00, 4.548E-02, 3.569E+00
 1.798E+00, 4.555E-02, 3.604E+00
 1.814E+00, 4.563E-02, 3.648E+00
 1.829E+00, 4.570E-02, 3.659E+00
 1.844E+00, 4.577E-02, 3.605E+00
 1.859E+00, 4.584E-02, 3.471E+00
 1.874E+00, 4.591E-02, 3.271E+00
 1.890E+00, 4.597E-02, 3.038E+00
 1.905E+00, 4.604E-02, 2.820E+00
 1.920E+00, 4.610E-02, 2.656E+00
 1.935E+00, 4.616E-02, 2.570E+00
 1.950E+00, 4.621E-02, 2.571E+00
 1.966E+00, 4.627E-02, 2.656E+00
 1.981E+00, 4.633E-02, 2.813E+00
 1.996E+00, 4.638E-02, 3.026E+00
 2.011E+00, 4.643E-02, 3.269E+00
 2.026E+00, 4.648E-02, 3.506E+00
 2.042E+00, 4.653E-02, 3.697E+00
 2.057E+00, 4.657E-02, 3.809E+00
 2.072E+00, 4.662E-02, 3.832E+00
 2.087E+00, 4.666E-02, 3.779E+00
 2.102E+00, 4.671E-02, 3.687E+00
 2.118E+00, 4.675E-02, 3.596E+00
 2.133E+00, 4.679E-02, 3.536E+00
 2.148E+00, 4.683E-02, 3.517E+00
 2.163E+00, 4.687E-02, 3.532E+00
 2.178E+00, 4.690E-02, 3.559E+00
 2.194E+00, 4.694E-02, 3.574E+00
 2.209E+00, 4.698E-02, 3.561E+00
 2.224E+00, 4.701E-02, 3.516E+00
 2.239E+00, 4.704E-02, 3.446E+00
 2.254E+00, 4.707E-02, 3.363E+00
 2.270E+00, 4.711E-02, 3.280E+00
 2.283E+00, 4.713E-02, 3.214E+00
 2.297E+00, 4.716E-02, 3.159E+00
 2.311E+00, 4.718E-02, 3.117E+00
 2.324E+00, 4.721E-02, 3.089E+00
 2.338E+00, 4.723E-02, 3.075E+00
 2.352E+00, 4.726E-02, 3.076E+00
 2.365E+00, 4.728E-02, 3.091E+00
 2.379E+00, 4.730E-02, 3.121E+00
 2.392E+00, 4.733E-02, 3.166E+00
 2.406E+00, 4.735E-02, 3.222E+00
 2.420E+00, 4.737E-02, 3.286E+00
 2.433E+00, 4.739E-02, 3.351E+00
 2.447E+00, 4.741E-02, 3.410E+00
 2.461E+00, 4.743E-02, 3.458E+00
 2.473E+00, 4.744E-02, 3.488E+00
 2.485E+00, 4.746E-02, 3.505E+00
 2.497E+00, 4.747E-02, 3.513E+00
 2.509E+00, 4.749E-02, 3.512E+00
 2.521E+00, 4.750E-02, 3.506E+00
 2.533E+00, 4.752E-02, 3.498E+00
 2.545E+00, 4.753E-02, 3.491E+00
 2.557E+00, 4.755E-02, 3.485E+00
 2.570E+00, 4.756E-02, 3.483E+00
 2.582E+00, 4.757E-02, 3.482E+00
 2.594E+00, 4.759E-02, 3.484E+00
 2.606E+00, 4.760E-02, 3.485E+00
 2.618E+00, 4.761E-02, 3.485E+00
 2.630E+00, 4.763E-02, 3.482E+00
 2.642E+00, 4.764E-02, 3.474E+00
 2.654E+00, 4.765E-02, 3.461E+00
 2.666E+00, 4.766E-02, 3.443E+00
 2.678E+00, 4.767E-02, 3.421E+00
 2.690E+00, 4.768E-02, 3.397E+00
 2.703E+00, 4.769E-02, 3.373E+00
 2.715E+00, 4.770E-02, 3.352E+00
 2.727E+00, 4.771E-02, 3.335E+00
 2.737E+00, 4.772E-02, 3.326E+00
 2.748E+00, 4.773E-02, 3.322E+00
 2.758E+00, 4.774E-02, 3.322E+00
 2.769E+00, 4.775E-02, 3.326E+00
 2.779E+00, 4.775E-02, 3.333E+00
 2.790E+00, 4.776E-02, 3.341E+00
 2.800E+00, 4.777E-02, 3.351E+00
 2.811E+00, 4.778E-02, 3.360E+00
 2.821E+00, 4.778E-02, 3.370E+00
 2.832E+00, 4.779E-02, 3.381E+00
 2.842E+00, 4.780E-02, 3.392E+00
 2.853E+00, 4.780E-02, 3.405E+00
 2.863E+00, 4.781E-02, 3.420E+00
 2.874E+00, 4.782E-02, 3.436E+00
 2.884E+00, 4.782E-02, 3.454E+00
 2.895E+00, 4.783E-02, 3.472E+00
 2.905E+00, 4.784E-02, 3.489E+00
 2.916E+00, 4.784E-02, 3.505E+00
 2.926E+00, 4.785E-02, 3.519E+00
 2.937E+00, 4.785E-02, 3.529E+00
 2.947E+00, 4.786E-02, 3.536E+00
 2.958E+00, 4.787E-02, 3.540E+00
 2.968E+00, 4.787E-02, 3.541E+00
 2.979E+00, 4.788E-02, 3.541E+00
 2.989E+00, 4.788E-02, 3.541E+00
 2.999E+00, 4.788E-02, 3.542E+00
 3.008E+00, 4.789E-02, 3.544E+00
 3.018E+00, 4.789E-02, 3.548E+00
 3.027E+00, 4.790E-02, 3.555E+00
 3.036E+00, 4.790E-02, 3.565E+00
 3.046E+00, 4.790E-02, 3.577E+00
 3.055E+00, 4.791E-02, 3.590E+00
 3.065E+00, 4.791E-02, 3.606E+00
 3.074E+00, 4.792E-02, 3.622E+00
 3.084E+00, 4.792E-02, 3.639E+00
 3.093E+00, 4.792E-02, 3.655E+00
 3.103E+00, 4.793E-02, 3.671E+00
 3.112E+00, 4.793E-02, 3.686E+00
 3.121E+00, 4.794E-02, 3.699E+00
 3.131E+00, 4.794E-02, 3.710E+00
 3.140E+00, 4.794E-02, 3.720E+00
 3.150E+00, 4.795E-02, 3.728E+00
 3.159E+00, 4.795E-02, 3.735E+00
 3.169E+00, 4.795E-02, 3.740E+00
 3.178E+00, 4.796E-02, 3.744E+00
 3.186E+00, 4.796E-02, 3.746E+00
 3.195E+00, 4.796E-02, 3.748E+00
 3.203E+00, 4.796E-02, 3.749E+00
 3.211E+00, 4.797E-02, 3.750E+00
 3.219E+00, 4.797E-02, 3.751E+00
 3.228E+00, 4.797E-02, 3.752E+00
 3.236E+00, 4.797E-02, 3.752E+00
 3.244E+00, 4.798E-02, 3.753E+00
 3.253E+00, 4.798E-02, 3.753E+00
 3.261E+00, 4.798E-02, 3.754E+00
 3.269E+00, 4.798E-02, 3.753E+00
 3.278E+00, 4.799E-02, 3.753E+00
 3.286E+00, 4.799E-02, 3.751E+00
 3.294E+00, 4.799E-02, 3.749E+00
 3.302E+00, 4.799E-02, 3.745E+00
 3.311E+00, 4.799E-02, 3.741E+00
 3.319E+00, 4.800E-02, 3.735E+00
 3.327E+00, 4.800E-02, 3.728E+00
 3.336E+00, 4.800E-02, 3.720E+00
 3.344E+00, 4.800E-02, 3.712E+00
 3.352E+00, 4.800E-02, 3.703E+00
 3.361E+00, 4.801E-02, 3.694E+00
 3.369E+00, 4.801E-02, 3.685E+00
 3.377E+00, 4.801E-02, 3.677E+00
 3.386E+00, 4.801E-02, 3.670E+00
 3.394E+00, 4.801E-02, 3.664E+00
 3.402E+00, 4.802E-02, 3.659E+00
 3.410E+00, 4.802E-02, 3.655E+00
 3.419E+00, 4.802E-02, 3.651E+00
 3.427E+00, 4.802E-02, 3.649E+00
 3.435E+00, 4.802E-02, 3.647E+00
 3.444E+00, 4.802E-02, 3.645E+00
 3.452E+00, 4.803E-02, 3.643E+00
 3.461E+00, 4.803E-02, 3.641E+00
 3.470E+00, 4.803E-02, 3.638E+00
 3.479E+00, 4.803E-02, 3.634E+00
 3.488E+00, 4.803E-02, 3.630E+00
 3.498E+00, 4.803E-02, 3.625E+00
 3.507E+00, 4.804E-02, 3.619E+00
 3.516E+00, 4.804E-02, 3.613E+00
 3.525E+00, 4.804E-02, 3.607E+00
 3.534E+00, 4.804E-02, 3.602E+00
 3.543E+00, 4.804E-02, 3.596E+00
 3.552E+00, 4.804E-02, 3.590E+00
 3.562E+00, 4.804E-02, 3.584E+00
 3.571E+00, 4.805E-02, 3.578E+00
 3.580E+00, 4.805E-02, 3.571E+00
 3.589E+00, 4.805E-02, 3.564E+00
 3.598E+00, 4.805E-02, 3.555E+00
 3.607E+00, 4.805E-02, 3.545E+00
 3.616E+00, 4.805E-02, 3.534E+00
 3.625E+00, 4.805E-02, 3.521E+00
 3.635E+00, 4.806E-02, 3.506E+00
 3.644E+00, 4.806E-02, 3.489E+00
 3.653E+00, 4.806E-02, 3.470E+00
 3.662E+00, 4.806E-02, 3.451E+00
 3.671E+00, 4.806E-02, 3.430E+00
 3.680E+00, 4.806E-02, 3.409E+00
 3.689E+00, 4.806E-02, 3.387E+00
 3.698E+00, 4.806E-02, 3.366E+00
 3.708E+00, 4.806E-02, 3.345E+00
 3.717E+00, 4.807E-02, 3.326E+00
 3.726E+00, 4.807E-02, 3.307E+00
 3.735E+00, 4.807E-02, 3.289E+00
 3.744E+00, 4.807E-02, 3.273E+00
 3.753E+00, 4.807E-02, 3.257E+00
 3.762E+00, 4.807E-02, 3.242E+00
 3.772E+00, 4.807E-02, 3.227E+00
 3.781E+00, 4.807E-02, 3.213E+00
 3.790E+00, 4.807E-02, 3.198E+00
 3.799E+00, 4.807E-02, 3.184E+00
 3.808E+00, 4.808E-02, 3.170E+00
 3.818E+00, 4.808E-02, 3.156E+00
 3.828E+00, 4.808E-02, 3.142E+00
 3.838E+00, 4.808E-02, 3.129E+00
 3.848E+00, 4.808E-02, 3.117E+00
 3.858E+00, 4.808E-02, 3.106E+00
 3.868E+00, 4.808E-02, 3.096E+00
 3.878E+00, 4.808E-02, 3.086E+00
 3.888E+00, 4.808E-02, 3.076E+00
 3.898E+00, 4.808E-02, 3.064E+00
