m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.875E-01,-1.133E-01, 2.863E-02, 1.622E-01, 2.723E-01, 1.989E-01, 1.701E-01, 9.449E-04, 6.062E-03, 8.469E-03, 1.309E-01, 1.957E-01, 2.759E-01, 1.344E-01, 1.942E-01, 2.243E-01, 4.188E-03, 1.845E-02, 2.011E-02
-4.625E-01,-6.543E-02, 8.905E-02, 2.051E-01, 2.711E-01, 1.857E-01, 1.663E-01, 5.830E-03, 1.067E-02, 1.200E-02, 1.870E-01, 2.707E-01, 3.448E-01, 1.716E-01, 2.367E-01, 2.474E-01, 1.814E-02, 2.631E-02, 2.443E-02
-4.375E-01, 2.481E-03, 1.714E-01, 2.960E-01, 2.723E-01, 1.816E-01, 1.569E-01, 1.461E-02, 1.637E-02, 1.582E-02, 3.120E-01, 3.633E-01, 4.163E-01, 2.084E-01, 2.736E-01, 2.862E-01, 3.544E-02, 3.316E-02, 2.853E-02
-4.125E-01, 1.115E-01, 2.481E-01, 3.703E-01, 2.773E-01, 1.862E-01, 1.556E-01, 2.561E-02, 2.108E-02, 2.011E-02, 4.346E-01, 4.351E-01, 4.695E-01, 2.403E-01, 3.067E-01, 3.194E-01, 5.180E-02, 3.735E-02, 3.252E-02
-3.875E-01, 2.235E-01, 3.298E-01, 4.600E-01, 2.788E-01, 1.889E-01, 1.503E-01, 3.952E-02, 2.689E-02, 2.520E-02, 5.545E-01, 5.114E-01, 4.869E-01, 2.657E-01, 3.371E-01, 3.436E-01, 6.765E-02, 4.163E-02, 3.709E-02
-3.625E-01, 4.044E-01, 4.308E-01, 5.520E-01, 2.919E-01, 1.874E-01, 1.376E-01, 5.574E-02, 3.342E-02, 3.114E-02, 6.067E-01, 5.428E-01, 5.648E-01, 3.035E-01, 3.522E-01, 3.739E-01, 7.458E-02, 4.710E-02, 4.158E-02
-3.375E-01, 4.927E-01, 5.403E-01, 6.775E-01, 2.980E-01, 1.904E-01, 1.324E-01, 6.447E-02, 4.066E-02, 3.630E-02, 6.003E-01, 5.863E-01, 5.926E-01, 3.380E-01, 3.663E-01, 4.003E-01, 7.495E-02, 5.198E-02, 4.256E-02
-3.125E-01, 5.945E-01, 7.116E-01, 8.435E-01, 3.109E-01, 1.920E-01, 1.267E-01, 7.416E-02, 4.998E-02, 4.233E-02, 6.276E-01, 6.372E-01, 5.817E-01, 3.449E-01, 3.779E-01, 4.121E-01, 8.359E-02, 5.703E-02, 4.433E-02
-2.875E-01, 7.134E-01, 8.368E-01, 1.019E+00, 3.261E-01, 1.866E-01, 1.178E-01, 8.342E-02, 5.653E-02, 4.818E-02, 6.608E-01, 6.535E-01, 6.180E-01, 3.498E-01, 3.872E-01, 4.169E-01, 8.488E-02, 5.934E-02, 4.740E-02
-2.625E-01, 8.207E-01, 9.741E-01, 1.164E+00, 3.366E-01, 1.774E-01, 1.161E-01, 9.400E-02, 6.516E-02, 5.368E-02, 7.131E-01, 6.977E-01, 6.886E-01, 3.476E-01, 3.963E-01, 4.290E-01, 8.426E-02, 6.218E-02, 5.199E-02
-2.375E-01, 9.790E-01, 1.192E+00, 1.367E+00, 3.433E-01, 1.676E-01, 1.133E-01, 1.099E-01, 7.620E-02, 6.113E-02, 7.239E-01, 7.497E-01, 7.852E-01, 3.392E-01, 4.038E-01, 4.234E-01, 8.751E-02, 6.823E-02, 5.700E-02
-2.125E-01, 1.064E+00, 1.357E+00, 1.551E+00, 3.234E-01, 1.635E-01, 1.065E-01, 1.258E-01, 8.725E-02, 7.020E-02, 7.357E-01, 8.105E-01, 8.023E-01, 3.343E-01, 4.031E-01, 4.155E-01, 9.085E-02, 7.406E-02, 6.271E-02
-1.875E-01, 1.120E+00, 1.513E+00, 1.735E+00, 2.964E-01, 1.537E-01, 1.061E-01, 1.397E-01, 1.006E-01, 8.289E-02, 7.392E-01, 8.213E-01, 8.567E-01, 3.243E-01, 3.850E-01, 4.203E-01, 9.270E-02, 8.056E-02, 6.998E-02
-1.625E-01, 1.221E+00, 1.697E+00, 1.983E+00, 2.775E-01, 1.402E-01, 9.185E-02, 1.611E-01, 1.204E-01, 1.009E-01, 7.415E-01, 8.697E-01, 8.990E-01, 3.219E-01, 3.767E-01, 4.362E-01, 9.665E-02, 8.700E-02, 7.940E-02
