m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.500E-01, 6.848E-02, 7.880E-02, 2.284E-01, 2.806E-01, 2.465E-01, 1.880E-01, 3.367E-02, 1.093E-02, 8.179E-03, 3.715E-01, 3.463E-01, 3.110E-01, 1.240E-01, 1.386E-01, 1.782E-01, 2.663E-02, 1.255E-02, 1.400E-02
-3.500E-01, 4.835E-01, 5.259E-01, 5.702E-01, 3.596E-01, 2.485E-01, 1.769E-01, 9.099E-02, 4.136E-02, 2.552E-02, 5.694E-01, 6.124E-01, 5.996E-01, 1.644E-01, 1.856E-01, 2.270E-01, 5.646E-02, 3.592E-02, 2.664E-02
-2.500E-01, 9.923E-01, 1.310E+00, 1.526E+00, 3.425E-01, 2.165E-01, 1.382E-01, 1.624E-01, 1.023E-01, 6.894E-02, 4.614E-01, 6.802E-01, 8.538E-01, 2.493E-01, 2.396E-01, 2.421E-01, 6.078E-02, 6.006E-02, 4.630E-02
-1.500E-01, 1.380E+00, 1.882E+00, 2.275E+00, 2.919E-01, 1.723E-01, 8.897E-02, 2.296E-01, 1.671E-01, 1.224E-01, 3.657E-01, 6.200E-01, 8.422E-01, 2.911E-01, 2.718E-01, 2.867E-01, 5.228E-02, 6.794E-02, 5.884E-02
-5.000E-02, 1.620E+00, 2.287E+00, 2.733E+00, 1.875E-01, 1.196E-01, 5.661E-02, 2.786E-01, 2.206E-01, 1.608E-01, 2.916E-01, 4.967E-01, 7.578E-01, 3.423E-01, 3.253E-01, 3.199E-01, 4.167E-02, 5.870E-02, 5.910E-02
 5.000E-02, 1.664E+00, 2.381E+00, 2.895E+00,-1.542E-01,-7.857E-02,-1.050E-02, 2.879E-01, 2.337E-01, 1.720E-01, 2.484E-01, 3.924E-01, 6.078E-01, 4.079E-01, 3.972E-01, 4.300E-01, 3.725E-02, 5.142E-02, 5.071E-02
 1.500E-01, 1.442E+00, 2.055E+00, 2.491E+00,-2.285E-01,-1.218E-01,-3.480E-02, 2.455E-01, 1.893E-01, 1.395E-01, 3.796E-01, 5.751E-01, 8.138E-01, 3.096E-01, 2.832E-01, 3.399E-01, 5.907E-02, 6.871E-02, 6.022E-02
 2.500E-01, 1.005E+00, 1.334E+00, 1.622E+00,-3.303E-01,-2.051E-01,-1.012E-01, 1.699E-01, 1.072E-01, 7.893E-02, 5.036E-01, 6.768E-01, 8.010E-01, 2.044E-01, 1.906E-01, 2.735E-01, 6.396E-02, 5.951E-02, 4.815E-02
 3.500E-01, 4.260E-01, 4.779E-01, 5.820E-01,-3.669E-01,-2.382E-01,-1.521E-01, 8.684E-02, 3.878E-02, 2.824E-02, 5.062E-01, 4.920E-01, 5.041E-01, 1.566E-01, 1.644E-01, 2.104E-01, 5.095E-02, 3.077E-02, 2.098E-02
 4.500E-01, 3.140E-02, 4.272E-02, 1.968E-01,-2.983E-01,-2.239E-01,-1.636E-01, 3.075E-02, 9.730E-03, 7.068E-03, 3.140E-01, 2.872E-01, 2.259E-01, 1.212E-01, 1.359E-01, 1.553E-01, 2.452E-02, 1.169E-02, 7.072E-03
