m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.750E-01,-7.131E-02, 5.003E-04, 7.378E-02, 2.766E-01, 1.843E-01, 1.609E-01, 6.564E-03, 4.740E-03, 4.437E-03, 2.274E-01, 1.658E-01, 2.311E-01, 1.270E-01, 1.371E-01, 1.591E-01, 1.417E-02, 1.216E-02, 1.103E-02
-4.250E-01, 1.320E-01, 1.503E-01, 2.080E-01, 3.043E-01, 1.887E-01, 1.550E-01, 2.403E-02, 1.349E-02, 1.079E-02, 4.349E-01, 3.516E-01, 3.448E-01, 1.617E-01, 1.719E-01, 2.120E-01, 3.759E-02, 2.399E-02, 1.759E-02
-3.750E-01, 2.970E-01, 3.734E-01, 4.629E-01, 3.418E-01, 1.739E-01, 1.478E-01, 4.530E-02, 2.512E-02, 1.961E-02, 5.542E-01, 4.785E-01, 4.321E-01, 2.151E-01, 2.241E-01, 2.626E-01, 5.469E-02, 3.175E-02, 2.459E-02
-3.250E-01, 5.382E-01, 5.419E-01, 6.540E-01, 3.571E-01, 1.879E-01, 1.470E-01, 6.775E-02, 3.794E-02, 2.971E-02, 5.679E-01, 5.672E-01, 5.440E-01, 2.627E-01, 2.662E-01, 3.094E-01, 6.184E-02, 3.774E-02, 3.280E-02
-2.750E-01, 6.542E-01, 9.379E-01, 1.030E+00, 3.301E-01, 2.100E-01, 1.417E-01, 8.863E-02, 6.116E-02, 4.367E-02, 5.876E-01, 5.783E-01, 6.688E-01, 2.985E-01, 3.006E-01, 3.393E-01, 6.657E-02, 4.622E-02, 4.040E-02
-2.250E-01, 9.258E-01, 1.286E+00, 1.489E+00, 2.946E-01, 1.976E-01, 1.304E-01, 1.229E-01, 9.133E-02, 6.932E-02, 5.567E-01, 6.520E-01, 7.737E-01, 2.938E-01, 3.464E-01, 3.564E-01, 7.620E-02, 6.214E-02, 5.211E-02
-1.750E-01, 1.270E+00, 1.631E+00, 1.982E+00, 2.840E-01, 1.857E-01, 1.202E-01, 1.800E-01, 1.268E-01, 1.035E-01, 6.240E-01, 7.493E-01, 8.436E-01, 2.800E-01, 3.518E-01, 3.840E-01, 9.704E-02, 7.998E-02, 6.874E-02
-1.250E-01, 1.665E+00, 2.105E+00, 2.488E+00, 2.692E-01, 1.667E-01, 1.006E-01, 2.589E-01, 1.848E-01, 1.495E-01, 6.499E-01, 8.226E-01, 9.822E-01, 2.830E-01, 3.361E-01, 3.974E-01, 1.112E-01, 1.003E-01, 9.119E-02
-7.500E-02, 2.061E+00, 2.676E+00, 3.079E+00, 2.037E-01, 1.118E-01, 5.583E-02, 3.536E-01, 2.654E-01, 2.048E-01, 5.279E-01, 8.168E-01, 1.042E+00, 2.900E-01, 3.414E-01, 3.961E-01, 1.175E-01, 1.164E-01, 1.051E-01
-2.500E-02, 2.327E+00, 3.087E+00, 3.486E+00, 9.150E-02, 3.887E-02, 9.319E-03, 4.343E-01, 3.356E-01, 2.487E-01, 4.353E-01, 7.681E-01, 9.901E-01, 3.125E-01, 3.578E-01, 4.031E-01, 1.228E-01, 1.176E-01, 1.030E-01
 2.500E-02, 2.452E+00, 3.234E+00, 3.549E+00,-1.175E-01,-7.096E-02,-4.258E-02, 4.617E-01, 3.512E-01, 2.558E-01, 3.536E-01, 6.384E-01, 1.039E+00, 3.064E-01, 3.903E-01, 4.882E-01, 1.020E-01, 1.064E-01, 1.022E-01
 7.500E-02, 2.259E+00, 2.866E+00, 3.199E+00,-1.784E-01,-1.061E-01,-4.753E-02, 4.009E-01, 2.943E-01, 2.186E-01, 4.585E-01, 8.363E-01, 1.077E+00, 2.733E-01, 3.447E-01, 4.361E-01, 1.126E-01, 1.170E-01, 1.039E-01
 1.250E-01, 1.814E+00, 2.291E+00, 2.739E+00,-2.703E-01,-1.612E-01,-7.229E-02, 2.873E-01, 2.081E-01, 1.685E-01, 5.883E-01, 8.322E-01, 9.839E-01, 2.600E-01, 3.235E-01, 4.038E-01, 1.072E-01, 1.034E-01, 9.363E-02
 1.750E-01, 1.406E+00, 1.812E+00, 2.100E+00,-3.254E-01,-1.982E-01,-1.144E-01, 1.987E-01, 1.420E-01, 1.146E-01, 5.823E-01, 6.956E-01, 8.508E-01, 2.656E-01, 3.107E-01, 3.576E-01, 9.133E-02, 7.652E-02, 7.146E-02
 2.250E-01, 1.174E+00, 1.433E+00, 1.567E+00,-3.697E-01,-2.253E-01,-1.453E-01, 1.549E-01, 1.015E-01, 7.401E-02, 6.292E-01, 7.185E-01, 7.230E-01, 2.811E-01, 2.977E-01, 3.273E-01, 8.951E-02, 6.611E-02, 5.096E-02
 2.750E-01, 9.625E-01, 1.044E+00, 1.159E+00,-3.893E-01,-2.384E-01,-1.385E-01, 1.227E-01, 7.008E-02, 5.205E-02, 6.830E-01, 7.136E-01, 6.635E-01, 2.456E-01, 2.893E-01, 3.219E-01, 8.565E-02, 5.648E-02, 4.107E-02
 3.250E-01, 6.986E-01, 6.287E-01, 7.562E-01,-3.811E-01,-2.157E-01,-1.162E-01, 8.535E-02, 4.277E-02, 3.409E-02, 6.446E-01, 6.420E-01, 6.091E-01, 2.182E-01, 2.625E-01, 2.856E-01, 7.093E-02, 4.472E-02, 3.255E-02
 3.750E-01, 3.623E-01, 3.324E-01, 4.527E-01,-3.391E-01,-2.008E-01,-1.203E-01, 4.812E-02, 2.337E-02, 2.029E-02, 4.715E-01, 3.959E-01, 4.564E-01, 1.759E-01, 2.054E-01, 2.293E-01, 4.697E-02, 3.058E-02, 2.519E-02
