Radius (cm),0.5D,1.0D,1.5D,2.0D,2.5D,3.0D
0,97.767446,188.378235,202.874236,265.055804,314.872553,313.059904
5,195.336540,344.190609,327.472056,310.387887,300.678427,274.720137
10,0.621122,54.200140,194.647566,196.336478,178.414430,153.464283
