Radius (cm),0.5D,1.0D,1.5D,2.0D,2.5D,3.0D
0,106.505090,229.684577,277.424578,347.640217,397.788591,389.638517
5,251.532251,441.318354,419.197450,394.973999,378.334262,342.885636
10,0.907996,63.974293,235.836310,237.886808,221.653209,191.615802
