m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2-y,Wp2-z,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01, 0.000E+00, 2.000E-01, 5.674E-02, 3.483E-02, 4.583E-02, 2.477E-01, 1.586E-01, 1.216E-01, 8.357E-03, 2.734E-03, 1.994E-03, 1.181E-02, 3.864E-03, 2.819E-03, 1.111E-01, 1.130E-01, 1.169E-01, 6.472E-02, 8.481E-02, 8.703E-02, 6.577E-03, 4.349E-03, 4.153E-03, 9.297E-03, 6.148E-03, 5.869E-03, 2.135E-03, 7.979E-04, 6.110E-04
-4.062E-01, 0.000E+00, 2.000E-01, 1.644E-01, 1.433E-01, 1.510E-01, 3.001E-01, 1.787E-01, 1.337E-01, 1.928E-02, 6.727E-03, 4.870E-03, 2.725E-02, 9.508E-03, 6.883E-03, 1.494E-01, 1.506E-01, 1.503E-01, 7.192E-02, 9.897E-02, 1.001E-01, 1.293E-02, 7.478E-03, 5.586E-03, 1.827E-02, 1.057E-02, 7.895E-03, 7.097E-03, 3.469E-03, 2.630E-03
-3.438E-01, 0.000E+00, 2.000E-01, 2.809E-01, 2.906E-01, 3.129E-01, 3.661E-01, 2.045E-01, 1.467E-01, 3.387E-02, 1.249E-02, 9.298E-03, 4.787E-02, 1.765E-02, 1.314E-02, 2.380E-01, 2.418E-01, 2.481E-01, 8.627E-02, 1.157E-01, 1.154E-01, 2.135E-02, 1.141E-02, 7.810E-03, 3.018E-02, 1.613E-02, 1.104E-02, 1.459E-02, 7.999E-03, 6.713E-03
-2.812E-01, 0.000E+00, 2.000E-01, 4.676E-01, 4.905E-01, 6.105E-01, 4.356E-01, 2.285E-01, 1.522E-01, 6.275E-02, 2.587E-02, 2.129E-02, 8.869E-02, 3.657E-02, 3.010E-02, 2.636E-01, 3.224E-01, 3.345E-01, 8.235E-02, 1.118E-01, 1.230E-01, 2.709E-02, 1.604E-02, 1.346E-02, 3.829E-02, 2.268E-02, 1.903E-02, 3.224E-02, 2.146E-02, 2.339E-02
-2.188E-01, 0.000E+00, 2.000E-01, 8.270E-01, 1.007E+00, 1.218E+00, 4.711E-01, 2.401E-01, 1.495E-01, 1.209E-01, 6.136E-02, 5.000E-02, 1.709E-01, 8.674E-02, 7.067E-02, 2.888E-01, 3.845E-01, 4.282E-01, 8.331E-02, 1.110E-01, 1.334E-01, 3.717E-02, 2.586E-02, 2.317E-02, 5.254E-02, 3.656E-02, 3.275E-02, 8.945E-02, 8.126E-02, 8.524E-02
-1.562E-01, 0.000E+00, 2.000E-01, 1.359E+00, 1.841E+00, 2.136E+00, 4.725E-01, 2.393E-01, 1.385E-01, 2.084E-01, 1.190E-01, 9.541E-02, 2.946E-01, 1.682E-01, 1.349E-01, 2.893E-01, 4.807E-01, 6.155E-01, 1.033E-01, 1.256E-01, 1.595E-01, 5.488E-02, 4.448E-02, 4.068E-02, 7.757E-02, 6.286E-02, 5.750E-02, 1.862E-01, 1.874E-01, 1.923E-01
-9.375E-02, 0.000E+00, 2.000E-01, 1.777E+00, 2.647E+00, 3.107E+00, 3.271E-01, 1.686E-01, 9.092E-02, 3.270E-01, 2.161E-01, 1.708E-01, 4.621E-01, 3.054E-01, 2.414E-01, 1.859E-01, 3.249E-01, 4.335E-01, 1.231E-01, 1.521E-01, 1.875E-01, 4.720E-02, 4.222E-02, 3.843E-02, 6.671E-02, 5.967E-02, 5.432E-02, 3.046E-01, 3.593E-01, 3.743E-01
-3.125E-02, 0.000E+00, 2.000E-01, 2.056E+00, 3.202E+00, 3.784E+00, 1.357E-01, 7.176E-02, 3.098E-02, 4.107E-01, 2.863E-01, 2.251E-01, 5.806E-01, 4.047E-01, 3.182E-01, 1.443E-01, 2.487E-01, 3.351E-01, 1.431E-01, 1.799E-01, 2.140E-01, 4.337E-02, 4.148E-02, 3.725E-02, 6.130E-02, 5.863E-02, 5.265E-02, 3.879E-01, 4.834E-01, 5.058E-01
 3.125E-02, 0.000E+00, 2.000E-01, 2.041E+00, 3.181E+00, 3.757E+00,-1.250E-01,-6.811E-02,-4.844E-02, 4.054E-01, 2.837E-01, 2.225E-01, 5.730E-01, 4.010E-01, 3.145E-01, 1.730E-01, 2.844E-01, 3.488E-01, 1.490E-01, 1.910E-01, 2.208E-01, 4.765E-02, 4.286E-02, 3.512E-02, 6.735E-02, 6.059E-02, 4.964E-02, 3.837E-01, 4.791E-01, 4.997E-01
 9.375E-02, 0.000E+00, 2.000E-01, 1.761E+00, 2.643E+00, 3.092E+00,-3.232E-01,-1.650E-01,-9.816E-02, 3.214E-01, 2.158E-01, 1.692E-01, 4.543E-01, 3.050E-01, 2.392E-01, 2.132E-01, 3.544E-01, 4.329E-01, 1.352E-01, 1.749E-01, 1.993E-01, 5.376E-02, 4.516E-02, 3.631E-02, 7.599E-02, 6.383E-02, 5.132E-02, 3.013E-01, 3.588E-01, 3.700E-01
 1.562E-01, 0.000E+00, 2.000E-01, 1.357E+00, 1.880E+00, 2.162E+00,-4.776E-01,-2.345E-01,-1.313E-01, 2.071E-01, 1.239E-01, 9.739E-02, 2.928E-01, 1.751E-01, 1.377E-01, 3.097E-01, 4.974E-01, 6.054E-01, 1.208E-01, 1.534E-01, 1.699E-01, 6.570E-02, 4.984E-02, 3.889E-02, 9.287E-02, 7.045E-02, 5.497E-02, 1.877E-01, 1.952E-01, 1.953E-01
 2.188E-01, 0.000E+00, 2.000E-01, 8.486E-01, 1.087E+00, 1.323E+00,-4.805E-01,-2.238E-01,-1.295E-01, 1.227E-01, 6.682E-02, 5.359E-02, 1.734E-01, 9.445E-02, 7.574E-02, 3.003E-01, 3.863E-01, 4.089E-01, 9.783E-02, 1.301E-01, 1.346E-01, 4.640E-02, 3.007E-02, 2.268E-02, 6.558E-02, 4.250E-02, 3.206E-02, 9.428E-02, 8.943E-02, 9.191E-02
 2.812E-01, 0.000E+00, 2.000E-01, 4.974E-01, 5.730E-01, 7.341E-01,-4.476E-01,-2.073E-01,-1.294E-01, 6.562E-02, 3.052E-02, 2.472E-02, 9.275E-02, 4.313E-02, 3.495E-02, 2.778E-01, 3.140E-01, 3.047E-01, 9.000E-02, 1.171E-01, 1.188E-01, 3.351E-02, 1.879E-02, 1.333E-02, 4.736E-02, 2.656E-02, 1.884E-02, 3.737E-02, 2.790E-02, 2.972E-02
 3.438E-01, 0.000E+00, 2.000E-01, 3.029E-01, 3.367E-01, 3.940E-01,-3.790E-01,-1.850E-01,-1.310E-01, 3.592E-02, 1.493E-02, 1.080E-02, 5.077E-02, 2.110E-02, 1.526E-02, 2.778E-01, 2.705E-01, 2.479E-01, 9.311E-02, 1.088E-01, 1.106E-01, 2.444E-02, 1.403E-02, 8.240E-03, 3.454E-02, 1.982E-02, 1.165E-02, 1.697E-02, 1.066E-02, 8.722E-03
