m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2-y,Wp2-z,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01, 0.000E+00, 2.000E-01,-1.346E-01,-9.340E-03, 9.465E-02, 2.989E-01, 2.456E-01, 1.835E-01, 1.014E-02, 6.036E-03, 5.672E-03, 1.433E-02, 8.531E-03, 8.018E-03, 6.363E-02, 5.048E-02, 6.448E-02, 4.468E-02, 6.446E-02, 7.891E-02, 1.870E-03, 2.354E-03, 2.107E-03, 2.643E-03, 3.327E-03, 2.978E-03, 3.120E-03, 3.161E-03, 3.727E-03
-4.062E-01, 0.000E+00, 2.000E-01, 8.049E-02, 1.923E-01, 3.125E-01, 3.343E-01, 2.405E-01, 1.777E-01, 2.632E-02, 1.385E-02, 1.191E-02, 3.720E-02, 1.958E-02, 1.684E-02, 9.331E-02, 1.158E-01, 1.423E-01, 4.706E-02, 6.897E-02, 8.416E-02, 4.844E-03, 5.289E-03, 4.336E-03, 6.847E-03, 7.476E-03, 6.129E-03, 1.052E-02, 9.794E-03, 1.105E-02
-3.438E-01, 0.000E+00, 2.000E-01, 2.956E-01, 3.939E-01, 5.304E-01, 3.697E-01, 2.355E-01, 1.719E-01, 4.250E-02, 2.166E-02, 1.815E-02, 6.007E-02, 3.062E-02, 2.565E-02, 1.783E-01, 2.114E-01, 2.441E-01, 5.390E-02, 7.658E-02, 9.162E-02, 7.853E-03, 8.264E-03, 6.655E-03, 1.110E-02, 1.168E-02, 9.406E-03, 1.792E-02, 1.643E-02, 1.838E-02
-2.812E-01, 0.000E+00, 2.000E-01, 5.513E-01, 6.678E-01, 8.375E-01, 3.786E-01, 2.222E-01, 1.594E-01, 6.595E-02, 3.594E-02, 2.936E-02, 9.321E-02, 5.080E-02, 4.149E-02, 2.220E-01, 2.563E-01, 2.901E-01, 6.021E-02, 8.188E-02, 9.607E-02, 9.766E-03, 9.862E-03, 7.930E-03, 1.380E-02, 1.394E-02, 1.121E-02, 3.816E-02, 3.767E-02, 3.999E-02
-2.188E-01, 0.000E+00, 2.000E-01, 9.017E-01, 1.110E+00, 1.353E+00, 3.252E-01, 1.896E-01, 1.311E-01, 1.063E-01, 6.529E-02, 5.216E-02, 1.503E-01, 9.228E-02, 7.372E-02, 1.560E-01, 1.801E-01, 2.057E-01, 6.159E-02, 7.971E-02, 9.324E-02, 1.068E-02, 1.001E-02, 8.431E-03, 1.509E-02, 1.414E-02, 1.192E-02, 8.835E-02, 9.302E-02, 9.491E-02
-1.562E-01, 0.000E+00, 2.000E-01, 1.252E+00, 1.553E+00, 1.868E+00, 2.719E-01, 1.570E-01, 1.028E-01, 1.467E-01, 9.464E-02, 7.496E-02, 2.074E-01, 1.338E-01, 1.059E-01, 1.023E-01, 1.223E-01, 1.485E-01, 6.673E-02, 8.167E-02, 9.558E-02, 1.345E-02, 1.257E-02, 1.104E-02, 1.902E-02, 1.777E-02, 1.561E-02, 1.385E-01, 1.484E-01, 1.498E-01
-9.375E-02, 0.000E+00, 2.000E-01, 1.568E+00, 1.951E+00, 2.332E+00, 2.102E-01, 1.196E-01, 7.223E-02, 1.831E-01, 1.211E-01, 9.546E-02, 2.588E-01, 1.711E-01, 1.349E-01, 8.334E-02, 1.083E-01, 1.434E-01, 7.216E-02, 8.533E-02, 1.006E-01, 1.653E-02, 1.567E-02, 1.394E-02, 2.336E-02, 2.215E-02, 1.970E-02, 1.837E-01, 1.982E-01, 1.992E-01
-3.125E-02, 0.000E+00, 2.000E-01, 1.570E+00, 1.953E+00, 2.333E+00, 7.266E-02, 3.879E-02, 2.060E-02, 1.835E-01, 1.211E-01, 9.534E-02, 2.593E-01, 1.712E-01, 1.348E-01, 6.334E-02, 7.728E-02, 9.867E-02, 5.867E-02, 7.502E-02, 9.293E-02, 1.452E-02, 1.306E-02, 1.152E-02, 2.052E-02, 1.846E-02, 1.629E-02, 1.841E-01, 1.982E-01, 1.989E-01
 3.125E-02, 0.000E+00, 2.000E-01, 1.573E+00, 1.955E+00, 2.333E+00,-6.483E-02,-4.205E-02,-3.103E-02, 1.838E-01, 1.212E-01, 9.521E-02, 2.598E-01, 1.713E-01, 1.346E-01, 6.977E-02, 8.284E-02, 1.007E-01, 5.622E-02, 7.348E-02, 9.376E-02, 1.448E-02, 1.305E-02, 1.171E-02, 2.047E-02, 1.845E-02, 1.655E-02, 1.844E-01, 1.982E-01, 1.985E-01
