Time,HRR
[s],[kW]
0.189726,0.005190839
0.99,0.8126192999999999
1.79,1.857551
2.59,2.768511
3.39,3.5829720000000003
4.19,4.474606
0.39,0.03261203
0.59,0.1530594
0.79,0.40973970000000004
1.19,1.568269
1.39,2.057749
1.59,1.840545
1.99,2.100676
2.19,2.3961289999999997
2.39,2.715324
2.79,2.7730740000000003
2.99,3.056072
3.19,3.2924290000000003
3.59,3.9532179999999997
3.79,4.330237
3.99,4.272556
4.39,4.901264
4.59,4.8797820000000005
4.79,5.2086559999999995
4.99,5.477087
5.19,5.615805999999999
5.39,5.986605
5.59,6.264125
5.79,6.024033
5.99,6.52567
6.19,6.651503
6.39,6.933782
6.59,7.313424
6.79,7.504408000000001
6.99,7.669897
7.19,7.732819999999999
7.39,8.01137
7.59,8.414468999999999
7.79,8.439775
7.99,8.835031
8.19,8.916416
8.39,9.354175
8.59,9.356098
8.79,9.580639999999999
8.99,10.131219999999999
9.19,9.827739
9.39,10.168280000000001
9.59,10.679860000000001
9.79,10.868979999999999
9.99,11.10465
10.19,10.92562
10.39,11.276399999999999
10.59,12.00432
10.79,11.468639999999999
10.99,12.44234
11.19,11.943790000000002
11.39,12.23283
11.59,12.60531
11.79,13.26033
11.99,13.422
12.19,12.75935
12.39,13.680969999999999
12.59,14.1273
12.79,13.8859
12.99,14.07649
13.19,14.73644
13.39,14.534790000000001
13.59,15.08812
13.79,15.08902
13.99,15.55607
14.19,15.55601
14.39,16.43827
14.59,14.9888
14.79,16.93872
14.99,16.6354
15.19,17.320919999999997
15.39,15.564540000000001
15.59,17.463279999999997
15.79,17.86443
15.99,17.97376
16.19,15.61413
16.39,18.8406
16.59,19.269740000000002
16.79,18.94068
16.99,17.45845
17.19,20.0113
17.39,19.9097
17.59,18.59588
17.79,19.284779999999998
17.99,20.42699
18.19,20.03356
18.39,17.546400000000002
18.59,21.542849999999998
18.79,21.43711
18.99,21.80383
19.19,18.83336
19.39,23.00198
19.59,22.21799
19.79,20.92095
19.99,21.082639999999998
20.19,23.35832
20.39,22.12166
20.59,19.95202
20.79,24.623369999999998
20.99,23.28453
21.19,24.382450000000002
21.39,22.07293
21.59,26.03903
21.79,23.99324
21.99,23.639689999999998
22.19,25.5855
22.39,26.11967
22.59,26.57342
22.79,22.75292
22.99,27.81257
23.19,26.42313
23.39,24.633490000000002
23.59,27.77915
23.79,27.42377
23.99,27.53159
24.19,27.721400000000003
24.39,29.49673
24.59,28.74558
