s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0006520E+000, 3.1108295E+000,-6.8677502E-001,-7.4473757E-002,-2.8483291E-002, 2.2900873E-004, 0.0000000E+000,-1.6026502E-002, 2.3860780E+000, 2.3052999E+000, 3.2112000E-001, 0.0000000E+000, 7.7108210E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5565638E-006
 2.0006959E+000, 7.5444020E+000,-2.2426611E+000,-3.6220128E+000,-1.9246242E-002, 1.1581121E-003, 0.0000000E+000,-3.5070602E-002, 1.6452251E+000, 1.6265693E+000, 3.2112000E-001, 0.0000000E+000, 1.5789595E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9569158E-005
 3.0001302E+000, 8.8281284E+000,-2.7112257E+000,-6.0078857E+000,-1.6461468E-002, 1.8529531E-003, 0.0000000E+000,-3.7045038E-002, 8.1669177E-002, 5.7363457E-002, 3.2112000E-001, 0.0000000E+000, 1.7435005E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608430E-005
 4.0003099E+000, 9.0570100E+000,-2.8285422E+000,-6.0470282E+000,-1.6583469E-002, 2.3859659E-003, 0.0000000E+000,-3.7951475E-002, 1.5614083E-001, 1.2929061E-001, 3.2112000E-001, 0.0000000E+000, 1.7674253E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904947E-005
 5.0001273E+000, 9.1055780E+000,-2.7893357E+000,-5.8344764E+000,-1.5954493E-002, 2.8603721E-003, 0.0000000E+000,-3.9238865E-002, 4.6981117E-001, 4.2943294E-001, 3.2112000E-001, 0.0000000E+000, 1.7706985E-004, 0.0000000E+000, 0.0000000E+000, 7.2324717E-008, 0.0000000E+000, 2.1945514E-005
 6.0007458E+000, 9.1182134E+000,-2.7830519E+000,-6.3731545E+000,-1.8964480E-002, 3.2756896E-003, 0.0000000E+000,-3.8308489E-002,-6.3954574E-002,-9.1990262E-002, 3.2112000E-001, 0.0000000E+000, 1.7711420E-004, 0.0000000E+000, 0.0000000E+000, 4.3272566E-003, 0.0000000E+000, 2.1951011E-005
 7.0000567E+000, 9.0910552E+000,-2.7911002E+000,-6.2194971E+000,-1.7533042E-002, 3.6610313E-003, 0.0000000E+000,-3.8224611E-002, 5.5663392E-002, 2.8361189E-002, 3.2112000E-001, 0.0000000E+000, 1.7712021E-004, 0.0000000E+000, 0.0000000E+000, 1.2967332E-002, 0.0000000E+000, 2.1951755E-005
 8.0001249E+000, 9.0707466E+000,-2.7351676E+000,-6.2539130E+000,-1.6970146E-002, 3.9728422E-003, 0.0000000E+000,-3.7193557E-002, 7.0971874E-002, 3.1475162E-002, 3.2112000E-001, 0.0000000E+000, 1.7712102E-004, 0.0000000E+000, 0.0000000E+000, 2.1604390E-002, 0.0000000E+000, 2.1951856E-005
 9.0006828E+000, 9.0611822E+000,-2.7018946E+000,-6.4002820E+000,-1.5709089E-002, 4.2152057E-003, 0.0000000E+000,-3.7583063E-002,-6.8534252E-002,-9.0071395E-002, 3.2112000E-001, 0.0000000E+000, 1.7712113E-004, 0.0000000E+000, 0.0000000E+000, 3.0247329E-002, 0.0000000E+000, 2.1951869E-005
 1.0000302E+001, 9.0641904E+000,-2.5881444E+000,-6.0429619E+000,-1.6913701E-002, 4.3914057E-003, 0.0000000E+000,-3.7485971E-002, 4.1951035E-001, 3.8307577E-001, 3.2112000E-001, 0.0000000E+000, 1.7712114E-004, 0.0000000E+000, 0.0000000E+000, 3.8887777E-002, 0.0000000E+000, 2.1951871E-005
 1.1000854E+001, 9.0676555E+000,-2.5495573E+000,-6.9576158E+000,-1.6159780E-002, 4.5503174E-003, 0.0000000E+000,-3.6535423E-002,-4.6821336E-001,-4.8766247E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7528938E-002, 0.0000000E+000, 2.1951871E-005
 1.2000020E+001, 9.0545143E+000,-2.4404513E+000,-6.2180160E+000,-1.5273497E-002, 4.6211932E-003, 0.0000000E+000,-3.6126301E-002, 3.7870119E-001, 3.4926840E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.6168169E-002, 0.0000000E+000, 2.1951872E-005
 1.3000550E+001, 9.0619794E+000,-2.3666140E+000,-6.8363550E+000,-1.6793779E-002, 4.6556743E-003, 0.0000000E+000,-3.5090231E-002,-1.5184110E-001,-1.8821800E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 6.4806153E-002, 0.0000000E+000, 2.1951872E-005
 1.4000094E+001, 9.0463880E+000,-2.3142795E+000,-6.9118546E+000,-1.6548834E-002, 4.6825309E-003, 0.0000000E+000,-3.5413204E-002,-1.8664002E-001,-2.2702556E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 7.3446786E-002, 0.0000000E+000, 2.1951872E-005
 1.5000305E+001, 9.0927527E+000,-2.2414715E+000,-6.8242104E+000,-1.3339549E-002, 4.6880952E-003, 0.0000000E+000,-3.4956490E-002, 2.0789447E-002,-1.6537214E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 8.2085724E-002, 0.0000000E+000, 2.1951872E-005
 1.6000841E+001, 9.0283115E+000,-2.1567417E+000,-7.2681750E+000,-1.4011642E-002, 4.6773299E-003, 0.0000000E+000,-3.3755224E-002,-4.0656421E-001,-4.3969475E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.0728875E-002, 0.0000000E+000, 2.1951872E-005
 1.7000423E+001, 9.0404687E+000,-2.0887458E+000,-6.4999054E+000,-1.4475320E-002, 4.6144422E-003, 0.0000000E+000,-3.2382381E-002, 4.4552569E-001, 4.0957428E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.9368933E-002, 0.0000000E+000, 2.1951872E-005
 1.8000618E+001, 9.0627303E+000,-2.0565015E+000,-7.2663057E+000,-1.2393283E-002, 4.6065116E-003, 0.0000000E+000,-3.3347797E-002,-2.6642326E-001,-3.0121147E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.0800811E-001, 0.0000000E+000, 2.1951872E-005
 1.9000368E+001, 9.0569731E+000,-1.9746228E+000,-7.1006036E+000,-1.2180799E-002, 4.5533868E-003, 0.0000000E+000,-3.2639399E-002,-2.5962153E-002,-5.8520164E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.1664787E-001, 0.0000000E+000, 2.1951872E-005
 2.0000830E+001, 9.0733571E+000,-1.9049845E+000,-7.2659497E+000,-1.2608269E-002, 4.4836086E-003, 0.0000000E+000,-3.2233619E-002,-1.0103606E-001,-1.3793541E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.2528864E-001, 0.0000000E+000, 2.1951872E-005
 2.1000074E+001, 9.0239747E+000,-1.8358007E+000,-7.3037954E+000,-1.2101512E-002, 4.4302877E-003, 0.0000000E+000,-3.1857550E-002,-1.1476570E-001,-1.5515013E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.3392751E-001, 0.0000000E+000, 2.1951872E-005
 2.2000183E+001, 9.0358867E+000,-1.7329959E+000,-6.8959360E+000,-1.3254135E-002, 4.3259057E-003, 0.0000000E+000,-3.1871523E-002, 4.0617484E-001, 3.6615506E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.4256457E-001, 0.0000000E+000, 2.1951872E-005
 2.3000065E+001, 9.0046857E+000,-1.6345788E+000,-7.6097534E+000,-1.3188067E-002, 4.1458132E-003, 0.0000000E+000,-3.0516755E-002,-2.4175434E-001,-2.7920543E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5120508E-001, 0.0000000E+000, 2.1951872E-005
 2.4000710E+001, 9.0486704E+000,-1.6029070E+000,-7.3835598E+000,-1.2204456E-002, 4.0523901E-003, 0.0000000E+000,-3.0255838E-002, 7.6467667E-002, 2.3795657E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5984682E-001, 0.0000000E+000, 2.1951872E-005
 2.5000542E+001, 9.0612607E+000,-1.5202059E+000,-7.4217596E+000,-1.1184891E-002, 3.9619854E-003, 0.0000000E+000,-2.8777065E-002, 1.2154276E-001, 8.3295200E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.6848904E-001, 0.0000000E+000, 2.1951872E-005
 2.6000559E+001, 9.0617946E+000,-1.4998978E+000,-8.1177186E+000,-1.1027766E-002, 3.8820184E-003, 0.0000000E+000,-2.8924109E-002,-5.6818362E-001,-5.9189171E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.7712851E-001, 0.0000000E+000, 2.1951872E-005
 2.7000755E+001, 9.0795764E+000,-1.3841922E+000,-6.9070678E+000,-9.4324592E-003, 3.8179586E-003, 0.0000000E+000,-2.8293367E-002, 8.0487218E-001, 7.5440845E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.8576967E-001, 0.0000000E+000, 2.1951872E-005
 2.8000715E+001, 8.9791282E+000,-1.3269881E+000,-8.1145878E+000,-9.0987661E-003, 3.6928443E-003, 0.0000000E+000,-2.8483498E-002,-4.4775816E-001,-4.9633706E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.9441008E-001, 0.0000000E+000, 2.1951872E-005
 2.9000769E+001, 8.8062484E+000,-1.1987699E+000,-7.5389931E+000,-7.8880497E-003, 3.4884466E-003, 0.0000000E+000,-2.7401380E-002, 8.0611852E-002, 3.6684402E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.0305001E-001, 0.0000000E+000, 2.1951872E-005
 3.0000231E+001, 8.9738563E+000,-1.1626238E+000,-7.5965650E+000,-7.3788332E-003, 3.3242938E-003, 0.0000000E+000,-2.6968992E-002, 2.3355428E-001, 1.8364392E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.1168831E-001, 0.0000000E+000, 2.1951872E-005
 3.1000227E+001, 9.0352771E+000,-1.1038165E+000,-7.6715985E+000,-7.1029564E-003, 3.2693343E-003, 0.0000000E+000,-2.6575627E-002, 2.8088973E-001, 2.2945285E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2032576E-001, 0.0000000E+000, 2.1951872E-005
 3.2000061E+001, 8.9635864E+000,-1.0290261E+000,-8.5700601E+000,-6.9808031E-003, 3.1380347E-003, 0.0000000E+000,-2.6532671E-002,-6.2864952E-001,-6.6587521E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2896487E-001, 0.0000000E+000, 2.1951872E-005
 3.3000462E+001, 8.7792992E+000,-9.0959081E-001,-7.7586223E+000,-5.8649976E-003, 2.8995258E-003, 0.0000000E+000,-2.6680473E-002, 1.3669459E-001, 8.1440140E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.3760592E-001, 0.0000000E+000, 2.1951872E-005
 3.4000587E+001, 9.0035781E+000,-8.7166305E-001,-8.1343128E+000,-5.0678602E-003, 2.7681357E-003, 0.0000000E+000,-2.5949092E-002, 2.3016939E-002,-3.0646510E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.4624813E-001, 0.0000000E+000, 2.1951872E-005
 3.5000351E+001, 9.0229271E+000,-7.9726410E-001,-8.0689528E+000,-5.8985320E-003, 2.6818589E-003, 0.0000000E+000,-2.5338798E-002, 1.8021579E-001, 1.2815468E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.5488743E-001, 0.0000000E+000, 2.1951872E-005
 3.6000298E+001, 8.9509781E+000,-7.3296158E-001,-8.4971012E+000,-5.5015912E-003, 2.5790365E-003, 0.0000000E+000,-2.5740848E-002,-2.5625525E-001,-3.0774806E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.6352657E-001, 0.0000000E+000, 2.1951872E-005
 3.7000019E+001, 8.7905160E+000,-6.4488884E-001,-7.5347556E+000,-4.8443262E-003, 2.3876234E-003, 0.0000000E+000,-2.5340850E-002, 6.2839120E-001, 5.8307409E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.7216541E-001, 0.0000000E+000, 2.1951872E-005
 3.8000378E+001, 8.8063798E+000,-5.6392244E-001,-8.5786873E+000,-7.3097414E-003, 2.2484686E-003, 0.0000000E+000,-2.5239218E-002,-3.2048551E-001,-3.6653036E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8080504E-001, 0.0000000E+000, 2.1951872E-005
 3.9000603E+001, 8.8982588E+000,-4.9735335E-001,-8.6062936E+000,-4.5899111E-003, 2.0913340E-003, 0.0000000E+000,-2.4748123E-002,-1.8939475E-001,-2.3263484E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8944793E-001, 0.0000000E+000, 2.1951872E-005
 4.0000237E+001, 8.8429252E+000,-4.3008905E-001,-8.3648259E+000,-4.9630286E-003, 1.9885179E-003, 0.0000000E+000,-2.3234869E-002, 4.8491379E-002, 2.1800844E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.9808743E-001, 0.0000000E+000, 2.1951872E-005
 4.1000233E+001, 8.5915404E+000,-3.5816387E-001,-8.5527894E+000,-4.5344448E-003, 1.8812442E-003, 0.0000000E+000,-1.2241910E-002,-3.1202633E-001,-3.3430797E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.0672550E-001, 0.0000000E+000, 2.1951872E-005
 4.2000420E+001, 8.9487685E+000,-3.0493080E-001,-8.6568679E+000,-5.3766329E-003, 1.9348593E-003, 0.0000000E+000,-2.8065806E-003, 7.2500063E-003,-1.9278563E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.1536699E-001, 0.0000000E+000, 2.1951872E-005
 4.3000874E+001, 8.5459618E+000,-2.1494376E-001,-8.2591991E+000,-5.3325155E-003, 1.8714377E-003, 0.0000000E+000,-2.5350386E-003, 7.8861821E-002, 6.5822814E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.2400987E-001, 0.0000000E+000, 2.1951872E-005
 4.4000435E+001, 7.8141485E+000,-1.4099804E-001,-7.6939442E+000,-4.0621506E-003, 1.7669846E-003, 0.0000000E+000,-1.9855805E-003,-1.7526020E-002,-2.5074478E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.3265026E-001, 0.0000000E+000, 2.1951872E-005
 4.5000355E+001, 6.6867767E+000,-8.0464347E-002,-7.4962930E+000,-2.4557683E-003, 1.3925167E-003, 0.0000000E+000,-1.6798176E-003,-9.0048779E-001,-8.9272374E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4128922E-001, 0.0000000E+000, 2.1951872E-005
 4.6000809E+001, 5.1327479E+000,-4.4435959E-002,-6.1171229E+000,-4.0963213E-004, 1.3484027E-003, 0.0000000E+000,-2.3725069E-003,-1.0445140E+000,-1.0302446E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4993141E-001, 0.0000000E+000, 2.1951872E-005
 4.7000370E+001, 5.5861479E+000,-3.5724065E-002,-5.5421199E+000,-3.9127502E-004, 1.3303712E-003, 0.0000000E+000,-2.1448701E-003,-1.2769361E-002, 7.0981323E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.5857103E-001, 0.0000000E+000, 2.1951872E-005
 4.8000362E+001, 2.9782117E+000,-9.5569682E-003,-4.6434535E+000,-1.8230584E-004, 1.2141147E-003, 0.0000000E+000,-5.7876403E-004,-1.6937093E+000,-1.6743457E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.6720928E-001, 0.0000000E+000, 2.1951872E-005
 4.9001324E+001, 1.3901262E+000,-1.7062145E-003,-1.9640050E+000, 3.4848921E-004, 1.1016489E-003, 0.0000000E+000,-4.4846098E-005,-5.8636067E-001,-5.7417968E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.7585336E-001, 0.0000000E+000, 2.1951872E-005
