s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0024864E+000, 2.0755882E-001
 2.0016827E+000, 2.0755882E-001
 3.0019655E+000, 2.0755882E-001
 4.0011444E+000, 2.0755882E-001
 5.0019276E+000, 2.0755882E-001
 6.0009921E+000, 2.0743730E-001
 7.0015118E+000, 2.0255893E-001
 8.0013777E+000, 1.9703763E-001
 9.0001542E+000, 1.9195568E-001
 1.0001868E+001, 1.8697211E-001
 1.1001377E+001, 1.8235969E-001
 1.2000545E+001, 1.7796312E-001
 1.3000242E+001, 1.7377886E-001
 1.4001962E+001, 1.6975872E-001
 1.5000984E+001, 1.6592013E-001
 1.6001962E+001, 1.6229318E-001
 1.7000449E+001, 1.5879392E-001
 1.8000460E+001, 1.5545901E-001
 1.9000330E+001, 1.5225095E-001
 2.0000469E+001, 1.4917768E-001
 2.1000164E+001, 1.4623500E-001
 2.2000573E+001, 1.4339411E-001
 2.3000871E+001, 1.4067018E-001
 2.4000325E+001, 1.3805473E-001
 2.5001351E+001, 1.3552331E-001
 2.6001382E+001, 1.3309599E-001
 2.7002000E+001, 1.3075029E-001
 2.8000804E+001, 1.2848618E-001
 2.9000824E+001, 1.2630515E-001
 3.0001232E+001, 1.2418966E-001
 3.1001014E+001, 1.2214890E-001
 3.2000893E+001, 1.2017731E-001
 3.3000679E+001, 1.1825759E-001
 3.4001764E+001, 1.1641296E-001
 3.5000539E+001, 1.1461894E-001
 3.6000799E+001, 1.1288354E-001
 3.7000701E+001, 1.1119672E-001
 3.8000718E+001, 1.0956414E-001
 3.9001468E+001, 1.0797391E-001
 4.0001151E+001, 1.0643367E-001
 4.1001390E+001, 1.0493752E-001
 4.2002075E+001, 1.0347387E-001
 4.3002409E+001, 1.0205907E-001
 4.4002511E+001, 1.0068245E-001
 4.5000606E+001, 9.9347169E-002
 4.6001057E+001, 9.8034393E-002
 4.7002897E+001, 9.6769754E-002
 4.8003925E+001, 9.5522952E-002
 4.9007775E+001, 9.4315038E-002
 5.0002898E+001, 9.3141101E-002
 5.1003940E+001, 9.1991773E-002
 5.2004981E+001, 9.0871027E-002
 5.3006023E+001, 8.9776303E-002
 5.4010453E+001, 8.8708155E-002
 5.5004365E+001, 8.7676754E-002
 5.6008740E+001, 8.6657155E-002
 5.7002652E+001, 8.5668825E-002
 5.8007026E+001, 8.4698061E-002
 5.9000938E+001, 8.3750132E-002
 6.0005313E+001, 8.2815492E-002
 6.1009687E+001, 8.1910970E-002
 6.2003599E+001, 8.1028028E-002
 6.3007974E+001, 8.0151974E-002
 6.4001886E+001, 7.9309380E-002
 6.5000000E+001, 7.8480835E-002
