s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0015863E+000, 2.0755882E-001
 2.0017693E+000, 2.0755882E-001
 3.0016537E+000, 2.0755882E-001
 4.0012294E+000, 2.0755882E-001
 5.0020607E+000, 2.0755882E-001
 6.0003829E+000, 2.0745407E-001
 7.0009299E+000, 2.0252496E-001
 8.0001093E+000, 1.9707980E-001
 9.0008361E+000, 1.9195351E-001
 1.0001056E+001, 1.8702075E-001
 1.1001869E+001, 1.8236223E-001
 1.2001257E+001, 1.7797915E-001
 1.3002115E+001, 1.7378531E-001
 1.4002115E+001, 1.6976474E-001
 1.5001919E+001, 1.6594234E-001
 1.6000773E+001, 1.6228308E-001
 1.7001695E+001, 1.5878325E-001
 1.8000903E+001, 1.5545060E-001
 1.9000127E+001, 1.5224978E-001
 2.0001748E+001, 1.4916886E-001
 2.1001433E+001, 1.4622687E-001
 2.2001344E+001, 1.4339710E-001
 2.3001719E+001, 1.4066738E-001
 2.4000495E+001, 1.3805298E-001
 2.5000965E+001, 1.3552242E-001
 2.6000103E+001, 1.3309715E-001
 2.7000796E+001, 1.3075448E-001
 2.8000984E+001, 1.2848334E-001
 2.9000358E+001, 1.2630681E-001
 3.0001094E+001, 1.2419079E-001
 3.1000576E+001, 1.2214842E-001
 3.2000742E+001, 1.2017651E-001
 3.3000409E+001, 1.1826075E-001
 3.4000424E+001, 1.1641889E-001
 3.5000110E+001, 1.1462036E-001
 3.6001177E+001, 1.1288958E-001
 3.7003442E+001, 1.1119007E-001
 3.8006063E+001, 1.0955469E-001
 3.9001131E+001, 1.0796989E-001
 4.0007619E+001, 1.0641457E-001
 4.1005482E+001, 1.0493202E-001
 4.2003346E+001, 1.0347183E-001
 4.3001209E+001, 1.0205844E-001
 4.4012031E+001, 1.0066443E-001
 4.5009895E+001, 9.9343610E-002
 4.6007758E+001, 9.8032488E-002
 4.7005621E+001, 9.6763805E-002
 4.8008136E+001, 9.5516480E-002
 4.9009913E+001, 9.4315118E-002
 5.0000041E+001, 9.3148527E-002
 5.1001818E+001, 9.1998077E-002
 5.2003594E+001, 9.0882130E-002
 5.3005371E+001, 8.9783102E-002
 5.4007148E+001, 8.8716018E-002
 5.5008924E+001, 8.7674888E-002
 5.6010701E+001, 8.6652429E-002
 5.7000829E+001, 8.5673059E-002
 5.8002605E+001, 8.4699106E-002
 5.9004382E+001, 8.3744320E-002
 6.0006159E+001, 8.2821839E-002
 6.1008667E+001, 8.1912292E-002
 6.2003563E+001, 8.1022830E-002
 6.3008933E+001, 8.0154262E-002
 6.4003829E+001, 7.9309854E-002
 6.5000000E+001, 7.8479845E-002
