s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0006423E+000, 3.0025909E+000,-4.6473164E-001,-8.2841037E-002,-2.3906677E-002, 1.1248171E-004, 0.0000000E+000,-1.6010398E-002, 2.5008723E+000, 2.4152137E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7314499E-005, 9.5563725E-006
 2.0001402E+000, 7.3261507E+000,-1.5701013E+000,-3.9752809E+000,-1.6424023E-002, 6.6032715E-004, 0.0000000E+000,-3.5111268E-002, 1.7423645E+000, 1.7298936E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5831347E-004, 1.9568161E-005
 3.0003591E+000, 8.7219983E+000,-1.9142820E+000,-6.8084184E+000,-1.4605344E-002, 9.7006797E-004, 0.0000000E+000,-3.6911308E-002,-1.6118225E-002,-5.1248673E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7481834E-004, 2.1608227E-005
 4.0004883E+000, 9.0249895E+000,-1.9989694E+000,-6.5933957E+000,-1.3588379E-002, 1.2079605E-003, 0.0000000E+000,-3.7669269E-002, 4.2051760E-001, 3.8257468E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7721906E-004, 2.1904964E-005
 5.0007749E+000, 9.1186404E+000,-1.9434122E+000,-6.4165312E+000,-1.5562506E-002, 1.4363329E-003, 0.0000000E+000,-3.8803804E-002, 7.5913751E-001, 7.0576706E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1346187E-007, 1.7754715E-004, 2.1945518E-005
 6.0001903E+000, 9.1124476E+000,-1.9374821E+000,-7.4951186E+000,-1.2991770E-002, 1.6356449E-003, 0.0000000E+000,-3.8699818E-002,-3.3262651E-001,-3.7020903E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3275845E-003, 1.7759160E-004, 2.1951012E-005
 7.0004444E+000, 9.0826053E+000,-1.9513136E+000,-6.9802264E+000,-1.5327645E-002, 1.8081845E-003, 0.0000000E+000,-3.8221466E-002, 1.4445323E-001, 9.9324491E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2966497E-002, 1.7759761E-004, 2.1951755E-005
 8.0001354E+000, 9.0265691E+000,-1.8913700E+000,-7.3440150E+000,-1.3849368E-002, 1.9272013E-003, 0.0000000E+000,-3.7422647E-002,-2.0609019E-001,-2.5816067E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1606064E-002, 1.7759843E-004, 2.1951856E-005
