s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2208179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005411E+000, 3.0728012E+000,-3.0299971E-001,-7.9046809E-002,-2.6690426E-002, 1.2272194E-004, 0.0000000E+000,-1.6094266E-002, 2.7356097E+000, 2.6480927E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0177929E-005, 9.5550398E-006
 2.0001452E+000, 7.4322051E+000,-9.8993387E-001,-4.4585924E+000,-1.5198208E-002, 5.7668496E-004, 0.0000000E+000,-3.5316969E-002, 1.9588925E+000, 1.9337403E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4371719E-004, 1.9567740E-005
 3.0000348E+000, 8.7337655E+000,-1.1944572E+000,-7.6578563E+000,-1.2076450E-002, 8.1880505E-004, 0.0000000E+000,-3.7119473E-002,-1.1036023E-001,-1.6692507E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5870311E-004, 2.1608141E-005
 4.0000162E+000, 9.0010607E+000,-1.2315431E+000,-7.4755213E+000,-1.1362809E-002, 1.0179523E-003, 0.0000000E+000,-3.8005836E-002, 2.9830936E-001, 2.4564572E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088289E-004, 2.1904927E-005
 5.0003643E+000, 9.0638709E+000,-1.2008900E+000,-7.4508583E+000,-1.3915978E-002, 1.1972087E-003, 0.0000000E+000,-3.9012146E-002, 4.2165523E-001, 3.6039163E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0545277E-007, 1.6118097E-004, 2.1945512E-005
 6.0004420E+000, 9.0906213E+000,-1.1799664E+000,-8.1295886E+000,-1.7743104E-002, 1.3618959E-003, 0.0000000E+000,-3.8764349E-002,-2.0720681E-001,-2.7407924E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3275442E-003, 1.6122136E-004, 2.1951011E-005
 7.0001445E+000, 9.0480882E+000,-1.2016408E+000,-8.0106344E+000,-1.6444978E-002, 1.5005607E-003, 0.0000000E+000,-3.8159724E-002,-1.5654326E-001,-2.1729112E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2965538E-002, 1.6122682E-004, 2.1951755E-005
 8.0005236E+000, 8.9921884E+000,-1.1687402E+000,-7.7037926E+000,-1.2910432E-002, 1.6138686E-003, 0.0000000E+000,-3.7838864E-002, 1.2314267E-001, 7.0520129E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1606615E-002, 1.6122756E-004, 2.1951856E-005
 9.0001163E+000, 9.0399863E+000,-1.1310597E+000,-7.8027729E+000,-1.4126152E-002, 1.6856813E-003, 0.0000000E+000,-3.7785335E-002, 1.0210556E-001, 5.5927924E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0246276E-002, 1.6122766E-004, 2.1951869E-005
 1.0000095E+001, 9.0189994E+000,-1.0640974E+000,-7.9071398E+000,-1.1035050E-002, 1.7371117E-003, 0.0000000E+000,-3.6234923E-002, 7.0326619E-002, 2.2293810E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8884105E-002, 1.6122768E-004, 2.1951871E-005
 1.1000815E+001, 8.9544513E+000,-1.0188331E+000,-7.9034885E+000,-1.2711813E-002, 1.7683142E-003, 0.0000000E+000,-3.7116341E-002, 6.0982210E-002,-1.5930149E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7527153E-002, 1.6122768E-004, 2.1951871E-005
 1.2000682E+001, 8.7391928E+000,-9.7564276E-001,-8.3923120E+000,-1.4064332E-002, 1.6993834E-003, 0.0000000E+000,-3.5361672E-002,-6.1527835E-001,-6.7648857E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6169974E-002, 1.6122768E-004, 2.1951872E-005
 1.3000238E+001, 8.9548440E+000,-9.1923989E-001,-7.7189155E+000,-1.1386931E-002, 1.6714101E-003, 0.0000000E+000,-3.4322635E-002, 3.3525061E-001, 2.7265047E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4807967E-002, 1.6122768E-004, 2.1951872E-005
 1.4000029E+001, 8.9482146E+000,-8.8936868E-001,-8.2206329E+000,-9.6785482E-003, 1.6442003E-003, 0.0000000E+000,-3.3624083E-002,-1.4536482E-001,-2.0344534E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3444056E-002, 1.6122768E-004, 2.1951872E-005
 1.5000073E+001, 8.7748014E+000,-8.2841736E-001,-7.7539707E+000,-9.8999862E-003, 1.5472256E-003, 0.0000000E+000,-3.5019586E-002, 2.0202433E-001, 1.4904105E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2083745E-002, 1.6122768E-004, 2.1951872E-005
 1.6000620E+001, 8.9641127E+000,-8.0401016E-001,-8.1882751E+000,-9.1534965E-003, 1.4957451E-003, 0.0000000E+000,-3.3585404E-002,-1.6485768E-002,-6.9415705E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0726313E-002, 1.6122768E-004, 2.1951872E-005
 1.7000238E+001, 9.0661866E+000,-7.3363780E-001,-8.6164704E+000,-1.1048219E-002, 1.4392222E-003, 0.0000000E+000,-3.3746447E-002,-2.5382847E-001,-3.2727703E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9366866E-002, 1.6122768E-004, 2.1951872E-005
 1.8000576E+001, 8.9662243E+000,-6.7140263E-001,-8.2865266E+000,-8.8030370E-003, 1.3850281E-003, 0.0000000E+000,-3.2192707E-002, 2.5906204E-002,-3.1315676E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0800703E-001, 1.6122768E-004, 2.1951872E-005
 1.9000368E+001, 9.0399962E+000,-6.4923259E-001,-8.6122256E+000,-7.6736564E-003, 1.3316497E-003, 0.0000000E+000,-3.2800412E-002,-1.9680178E-001,-2.6060449E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1664728E-001, 1.6122768E-004, 2.1951872E-005
 2.0000193E+001, 9.0106120E+000,-6.0546831E-001,-8.6658151E+000,-8.6873456E-003, 1.2871797E-003, 0.0000000E+000,-3.1658670E-002,-2.4810750E-001,-2.9973020E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2528575E-001, 1.6122768E-004, 2.1951872E-005
 2.1000633E+001, 8.8737399E+000,-5.6300832E-001,-8.1206000E+000,-8.2163566E-003, 1.2362392E-003, 0.0000000E+000,-3.1490254E-002, 2.1525230E-001, 1.5166130E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3392689E-001, 1.6122768E-004, 2.1951872E-005
 2.2000278E+001, 8.8921283E+000,-5.2726665E-001,-8.2395401E+000,-6.5428227E-003, 1.1912707E-003, 0.0000000E+000,-3.0464733E-002, 1.4440112E-001, 8.9505209E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4256732E-001, 1.6122768E-004, 2.1951872E-005
 2.3000807E+001, 9.0586440E+000,-4.7920871E-001,-8.5708327E+000,-7.2695455E-003, 1.1827274E-003, 0.0000000E+000,-3.0042786E-002, 1.8956978E-002,-2.7527063E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5120846E-001, 1.6122768E-004, 2.1951872E-005
 2.4000044E+001, 8.9184121E+000,-4.3674597E-001,-8.2036556E+000,-7.1108664E-003, 1.1426013E-003, 0.0000000E+000,-2.9262009E-002, 2.8934776E-001, 2.4278025E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5984764E-001, 1.6122768E-004, 2.1951872E-005
 2.5000702E+001, 8.8098246E+000,-3.7665665E-001,-8.9044217E+000,-7.0489417E-003, 1.0719260E-003, 0.0000000E+000,-2.9062114E-002,-4.6548281E-001,-5.0629292E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6848716E-001, 1.6122768E-004, 2.1951872E-005
 2.6000198E+001, 8.6041819E+000,-3.0001117E-001,-8.5503696E+000,-6.1335087E-003, 1.0297024E-003, 0.0000000E+000,-2.8956631E-002,-2.4275380E-001,-2.8025933E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7712788E-001, 1.6122768E-004, 2.1951872E-005
 2.7000235E+001, 8.8703400E+000,-2.4567894E-001,-7.9709742E+000,-6.0878261E-003, 9.9083884E-004, 0.0000000E+000,-2.8361149E-002, 6.4973168E-001, 6.2022875E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8576610E-001, 1.6122768E-004, 2.1951872E-005
 2.8000664E+001, 8.7485401E+000,-2.0337813E-001,-9.0307539E+000,-4.8064510E-003, 9.4578383E-004, 0.0000000E+000,-2.7046488E-002,-4.8903441E-001,-5.1649908E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9440782E-001, 1.6122768E-004, 2.1951872E-005
 2.9000448E+001, 8.7331439E+000,-1.5476010E-001,-8.5717089E+000,-5.0409088E-003, 8.9550603E-004, 0.0000000E+000,-2.7736259E-002,-1.1033556E-002,-2.5206827E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0304919E-001, 1.6122768E-004, 2.1951872E-005
 3.0000875E+001, 8.3728923E+000,-1.0904866E-001,-8.0528821E+000,-3.5416434E-003, 8.4129481E-004, 0.0000000E+000,-2.6186643E-002, 2.0012667E-001, 1.8207458E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1169065E-001, 1.6122768E-004, 2.1951872E-005
 3.1001043E+001, 7.9454834E+000,-7.4275597E-002,-8.2530339E+000,-3.9717795E-003, 7.3260219E-004, 0.0000000E+000,-2.5098336E-002,-4.0587041E-001,-4.1016363E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2033347E-001, 1.6122768E-004, 2.1951872E-005
 3.2000187E+001, 7.9221978E+000,-5.2161470E-002,-8.4106603E+000,-1.8328687E-003, 7.0708189E-004, 0.0000000E+000,-2.5606773E-002,-5.6702470E-001,-5.6735657E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2897173E-001, 1.6122768E-004, 2.1951872E-005
 3.3000389E+001, 7.2619743E+000,-3.3894920E-002,-7.8557569E+000,-2.5621839E-003, 6.8985148E-004, 0.0000000E+000,-2.5206633E-002,-6.5962536E-001,-6.5475649E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3760935E-001, 1.6122768E-004, 2.1951872E-005
 3.4001137E+001, 5.4344963E+000,-1.6512193E-002,-6.0807951E+000,-7.9468083E-005, 6.6550483E-004, 0.0000000E+000,-2.3535159E-002,-7.0082640E-001,-6.8576011E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4625448E-001, 1.6122768E-004, 2.1951872E-005
 3.5000065E+001, 3.7190998E+000,-1.0017715E-002,-4.5157021E+000,-1.1306384E-004, 6.4449341E-004, 0.0000000E+000,-2.2845902E-002,-8.4181182E-001,-8.2893455E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5489322E-001, 1.6122768E-004, 2.1951872E-005
 3.6001457E+001, 1.4807369E+000,-6.1741299E-003,-1.8271979E+000, 1.4017137E-004, 6.1952349E-004, 0.0000000E+000,-2.3004787E-002,-3.8960435E-001,-3.7488028E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6353521E-001, 1.6122768E-004, 2.1951872E-005
 3.7001514E+001, 8.4255197E-001,-5.0382828E-003,-8.8856472E-001, 1.6829509E-004, 5.9177479E-004, 0.0000000E+000,-2.2592633E-002,-8.7418488E-002,-7.2883596E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7217948E-001, 1.6122768E-004, 2.1951872E-005
 3.8001644E+001, 7.5483318E-001,-4.4422407E-003,-7.3851650E-001, 1.8156766E-004, 5.7836693E-004, 0.0000000E+000,-2.2323893E-002,-2.4956737E-002,-9.6895223E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8082109E-001, 1.6122768E-004, 2.1951872E-005
 3.9000092E+001, 6.8542049E-001,-4.0617713E-003,-7.2580890E-001, 1.9056060E-004, 5.5507923E-004, 0.0000000E+000,-1.9592278E-002,-7.8222770E-002,-6.3296817E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8945481E-001, 1.6122768E-004, 2.1951872E-005
 4.0000019E+001, 5.6970074E-001,-3.3615702E-003,-6.3409162E-001, 1.9670647E-004, 5.4656922E-004, 0.0000000E+000,-1.5506690E-002,-9.8287516E-002,-8.2515872E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9808792E-001, 1.6122768E-004, 2.1951872E-005
 4.1000256E+001, 3.9521531E-001,-2.4993883E-003,-5.4347794E-001, 2.0444020E-004, 4.8123029E-004, 0.0000000E+000,-3.8089117E-003,-1.7004947E-001,-1.5388526E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0672823E-001, 1.6122768E-004, 2.1951872E-005
 4.2000980E+001, 1.4700564E-001,-1.3521857E-003,-4.3174031E-001, 2.0648383E-004, 4.4307777E-004, 0.0000000E+000,-7.0491661E-005,-2.9774851E-001,-2.8550779E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1537367E-001, 1.6122768E-004, 2.1951872E-005
 4.3001499E+001, 7.6352878E-003,-4.8734852E-004,-2.3319185E-001, 2.0799017E-004, 4.4066753E-004, 0.0000000E+000,-7.8177811E-006,-2.3722333E-001,-2.2540307E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2401770E-001, 1.6122768E-004, 2.1951872E-005
 4.4000420E+001, 0.0000000E+000,-8.6679740E-005,-8.8319047E-002, 2.0942796E-004, 4.0606257E-004, 0.0000000E+000,-5.1923660E-006,-9.9597109E-002,-8.7795428E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3265425E-001, 1.6122768E-004, 2.1951872E-005
