s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.5121238E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5121238E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0024865E+000, 3.4550332E+000,-4.8782553E-001,-8.1988963E-002,-2.0389418E-002, 3.8967174E-004, 0.0000000E+000,-1.0542666E-002, 2.9023597E+000, 2.8546763E+000, 3.2112000E-001, 0.0000000E+000, 7.7644781E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6230648E-006
 2.0016828E+000, 7.8707263E+000,-1.7485239E+000,-4.3810793E+000,-1.7762192E-002, 2.7507795E-003, 0.0000000E+000,-2.0410255E-002, 1.6821671E+000, 1.7057014E+000, 3.2112000E-001, 0.0000000E+000, 1.5797829E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9579363E-005
 3.0019655E+000, 8.9109873E+000,-2.0110181E+000,-6.3316527E+000,-1.2337069E-002, 4.6274447E-003, 0.0000000E+000,-2.2028673E-002, 5.2348984E-001, 5.3857821E-001, 3.2112000E-001, 0.0000000E+000, 1.7436091E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1609777E-005
 4.0011444E+000, 9.0903227E+000,-2.0153605E+000,-6.5599734E+000,-1.5137903E-002, 5.9655359E-003, 0.0000000E+000,-2.2641120E-002, 4.7728774E-001, 4.8317527E-001, 3.2112000E-001, 0.0000000E+000, 1.7674419E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1905153E-005
 5.0019274E+000, 9.0927408E+000,-2.0043873E+000,-6.8380365E+000,-1.3774847E-002, 7.1097050E-003, 0.0000000E+000,-2.2713226E-002, 1.9789163E-001, 2.2093864E-001, 3.2112000E-001, 0.0000000E+000, 1.7707004E-004, 0.0000000E+000, 0.0000000E+000, 2.1076980E-007, 0.0000000E+000, 2.1945538E-005
 6.0009923E+000, 9.1055432E+000,-1.9865886E+000,-7.1666816E+000,-1.4028245E-002, 8.2160968E-003, 0.0000000E+000,-2.2735166E-002,-9.8106985E-002,-7.6274197E-002, 3.2112000E-001, 0.0000000E+000, 1.7711423E-004, 0.0000000E+000, 0.0000000E+000, 4.3427691E-003, 0.0000000E+000, 2.1951015E-005
 7.0015116E+000, 9.1016898E+000,-2.0224955E+000,-7.1467171E+000,-1.8973768E-002, 9.2273478E-003, 0.0000000E+000,-2.2311559E-002,-1.1314646E-001,-9.9580810E-002, 3.2112000E-001, 0.0000000E+000, 1.7712021E-004, 0.0000000E+000, 0.0000000E+000, 1.2981032E-002, 0.0000000E+000, 2.1951755E-005
 8.0013781E+000, 9.0824702E+000,-2.0029072E+000,-6.7049530E+000,-1.5282826E-002, 9.9488131E-003, 0.0000000E+000,-2.2283826E-002, 3.4046454E-001, 3.4699212E-001, 3.2112000E-001, 0.0000000E+000, 1.7712102E-004, 0.0000000E+000, 0.0000000E+000, 2.1622751E-002, 0.0000000E+000, 2.1951856E-005
