cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 8.5506402E+000, 2.2503136E+000,-5.0000000E-001, 1.3134733E+003, 1.1765929E+003, 1.0027603E+003, 7.9460561E+002, 6.7872409E+002, 5.9509411E+002, 2.2059773E+002, 3.0572177E+002, 2.9615981E+002, 2.2402588E+002, 1.7306397E+002, 1.2877376E+002,-2.0500000E+001, 5.4927911E-009, 3.6631836E-008, 2.3011430E-007, 2.6130423E-005, 8.5165733E-005, 3.6983759E-009, 3.8064204E-008, 3.8313331E-007, 4.9749018E-005, 8.5752117E-005
 4.6000000E+000, 1.1542788E+001, 4.8476831E+000, 1.5000000E+000, 1.3579979E+003, 1.2525682E+003, 1.0766588E+003, 8.3483483E+002, 6.8423682E+002, 5.9091074E+002, 1.6775965E+002, 2.7023196E+002, 2.8496042E+002, 2.3203325E+002, 1.7453021E+002, 1.3077358E+002,-1.8450000E+001, 3.7731389E-007, 2.2938446E-006, 1.5227625E-005, 7.3440541E-004, 1.7320667E-003, 1.9768225E-007, 3.3696107E-006, 3.6273036E-005, 1.5095781E-003, 2.0845649E-003
 8.7000000E+000, 1.1063674E+001, 6.6603474E+000, 3.5000000E+000, 1.1329067E+003, 1.0193085E+003, 8.9738481E+002, 7.3225459E+002, 6.2743600E+002, 5.5429737E+002, 3.2957187E+002, 3.3886455E+002, 2.9983325E+002, 2.1990075E+002, 1.6927540E+002, 1.3073867E+002,-1.6400000E+001, 3.7731389E-007, 2.2938446E-006, 1.5227625E-005, 7.3440541E-004, 1.7320667E-003, 1.9768225E-007, 3.3696107E-006, 3.6273036E-005, 1.5095781E-003, 2.0845649E-003
 1.2800000E+001, 9.2401905E+000, 6.9793755E+000, 5.5000000E+000, 6.4296411E+002, 6.6339236E+002, 6.4279343E+002, 5.9458683E+002, 5.5555402E+002, 5.1225259E+002, 2.6755921E+002, 2.8417210E+002, 2.5438966E+002, 1.9522989E+002, 1.5154292E+002, 1.2191421E+002,-1.4350000E+001, 1.7469977E-005, 1.0283579E-004, 5.8601485E-004, 6.2412362E-003, 1.1189484E-002, 1.0524766E-005, 2.0456410E-004, 1.4091448E-003, 8.1817782E-003, 9.1646580E-003
 1.6900000E+001, 7.2330900E+000, 6.3017214E+000, 7.5000000E+000, 4.2088385E+002, 4.5596195E+002, 4.7567748E+002, 4.8240200E+002, 4.6959592E+002, 4.5162265E+002, 1.4111789E+002, 1.7400069E+002, 1.7581838E+002, 1.4924804E+002, 1.2137027E+002, 1.0073455E+002,-1.2300000E+001, 1.7469977E-005, 1.0283579E-004, 5.8601485E-004, 6.2412362E-003, 1.1189484E-002, 1.0524766E-005, 2.0456410E-004, 1.4091448E-003, 8.1817782E-003, 9.1646580E-003
 2.1000000E+001, 5.2077838E+000, 5.0622946E+000, 9.5000000E+000, 3.2868984E+002, 3.5301134E+002, 3.7807596E+002, 3.9069959E+002, 3.9106430E+002, 3.8866448E+002, 6.3901412E+001, 9.5153397E+001, 1.2075615E+002, 1.0166616E+002, 8.7806609E+001, 7.4815230E+001,-1.0250000E+001, 5.0328010E-004, 3.6988750E-003, 1.0117516E-002, 2.3400518E-002, 2.7773902E-002, 7.2999547E-004, 8.2622460E-003, 1.8888175E-002, 2.2156116E-002, 2.2463848E-002
 2.5100000E+001, 2.7573926E+000, 3.1863912E+000, 1.1500000E+001, 3.0030417E+002, 3.0922455E+002, 3.2638190E+002, 3.3609225E+002, 3.3870981E+002, 3.4082187E+002, 2.1106519E+001, 4.1747421E+001, 7.0093325E+001, 6.0343884E+001, 5.0325425E+001, 4.4815155E+001,-8.2000000E+000, 8.5807152E-003, 2.2488772E-002, 3.4621464E-002, 4.7620218E-002, 4.7715389E-002, 9.6283330E-003, 2.8728433E-002, 3.8487791E-002, 3.5204462E-002, 3.2193624E-002
 2.9200000E+001, 1.7019038E+000, 2.0776214E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 4.9713631E-002, 7.4508558E-002, 8.0321697E-002, 7.5201377E-002, 7.0867617E-002, 3.3739612E-002, 6.6468822E-002, 6.5586672E-002, 4.4701881E-002, 3.6635408E-002
 3.3300000E+001, 1.0587738E+000, 1.3119939E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 1.7737269E-001, 2.0035906E-001, 1.6084893E-001, 1.0505017E-001, 9.0664648E-002, 9.4452812E-002, 1.7229114E-001, 1.2677773E-001, 5.0754621E-002, 3.6561197E-002
