s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.4053952E-005, 1.0566365E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4053941E-005, 0.0000000E+000, 0.0000000E+000
 2.0000508E+000, 1.0390778E+001,-1.7973613E+000,-4.5615305E+000,-7.3317175E-001, 2.7876761E-004, 0.0000000E+000, 0.0000000E+000, 3.2357984E+000, 3.2989930E+000, 5.4052977E-004, 5.4052977E-004
 4.0003719E+000, 1.3694532E+001,-2.3981214E+000,-1.0496139E+001,-7.1830568E-001, 5.4112569E-004, 0.0000000E+000, 0.0000000E+000, 4.3756891E-002, 8.2506965E-002, 6.5869921E-004, 6.5869921E-004
 6.0003896E+000, 1.4909850E+001,-2.7360282E+000,-1.1087445E+001,-6.9643459E-001, 6.4040753E-004, 0.0000000E+000, 0.0000000E+000, 3.4946493E-001, 3.9058290E-001, 7.1282461E-004, 7.1282461E-004
 8.0001154E+000, 1.6028650E+001,-2.8881839E+000,-1.2367056E+001,-6.7726719E-001, 7.4173514E-004, 0.0000000E+000, 0.0000000E+000, 5.3168382E-002, 9.6884634E-002, 7.6581873E-004, 7.6581873E-004
 1.0000187E+001, 1.5211757E+001,-2.7267683E+000,-1.1714083E+001,-6.5363369E-001, 7.1251532E-004, 0.0000000E+000, 0.0000000E+000, 7.6850657E-002, 1.1798486E-001, 7.3320325E-004, 7.3320325E-004
 1.2000101E+001, 1.6794665E+001,-3.1106398E+000,-1.2936996E+001,-6.6519064E-001, 8.2264043E-004, 0.0000000E+000, 0.0000000E+000, 4.6609288E-002, 8.2661633E-002, 8.0408129E-004, 8.0408129E-004
 1.4000037E+001, 1.6540827E+001,-3.0429536E+000,-1.2816609E+001,-6.3508650E-001, 8.1004388E-004, 0.0000000E+000, 0.0000000E+000,-3.5081681E-003, 4.6987613E-002, 7.8731486E-004, 7.8731486E-004
 1.6000204E+001, 1.5375956E+001,-2.9146165E+000,-1.2252560E+001,-6.0324708E-001, 7.6767916E-004, 0.0000000E+000, 0.0000000E+000,-4.3267115E-001,-3.9369973E-001, 7.4224365E-004, 7.4224365E-004
 1.8000546E+001, 1.6224871E+001,-2.9476196E+000,-1.2433625E+001,-5.9649199E-001, 8.2216757E-004, 0.0000000E+000, 0.0000000E+000, 2.0712729E-001, 2.4795711E-001, 7.7083155E-004, 7.7083155E-004
 2.0000380E+001, 1.5354003E+001,-2.8276603E+000,-1.1971840E+001,-5.8353213E-001, 7.8316897E-004, 0.0000000E+000, 0.0000000E+000,-7.0422150E-002,-2.8245846E-002, 7.3545981E-004, 7.3545981E-004
 2.2000525E+001, 1.6350737E+001,-2.9991638E+000,-1.2502466E+001,-5.9136462E-001, 8.4802959E-004, 0.0000000E+000, 0.0000000E+000, 2.1422514E-001, 2.5859086E-001, 7.7920316E-004, 7.7920316E-004
 2.4000195E+001, 1.5580324E+001,-2.9256851E+000,-1.2582197E+001,-5.6359102E-001, 7.9492349E-004, 0.0000000E+000, 0.0000000E+000,-5.3275552E-001,-4.9035448E-001, 7.4736314E-004, 7.4736314E-004
 2.6000572E+001, 1.5978808E+001,-2.8852269E+000,-1.2357520E+001,-5.6669258E-001, 8.3805887E-004, 0.0000000E+000, 0.0000000E+000, 1.3236750E-001, 1.7020628E-001, 7.6205134E-004, 7.6205134E-004
 2.8000093E+001, 1.6408890E+001,-3.0140857E+000,-1.2147638E+001,-5.7373712E-001, 8.7399604E-004, 0.0000000E+000, 0.0000000E+000, 6.2583866E-001, 6.7430253E-001, 7.8755281E-004, 7.8755281E-004
 3.0000153E+001, 1.6448769E+001,-3.0423910E+000,-1.3279975E+001,-5.6714563E-001, 8.5501009E-004, 0.0000000E+000, 0.0000000E+000,-4.8006443E-001,-4.3988714E-001, 7.8669803E-004, 7.8669803E-004
 3.2000202E+001, 1.7032003E+001,-3.1333491E+000,-1.2846019E+001,-5.6757126E-001, 9.0212408E-004, 0.0000000E+000, 0.0000000E+000, 4.4092546E-001, 4.8596560E-001, 8.1080763E-004, 8.1080763E-004
 3.4000347E+001, 1.6564426E+001,-3.1720306E+000,-1.2611373E+001,-5.6084957E-001, 8.7906373E-004, 0.0000000E+000, 0.0000000E+000, 1.7164382E-001, 2.2105269E-001, 7.8824900E-004, 7.8824900E-004
 3.6000248E+001, 1.7854602E+001,-3.2760316E+000,-1.4015814E+001,-5.8945372E-001, 1.0011421E-003, 0.0000000E+000, 0.0000000E+000,-6.1435389E-002,-2.5696217E-002, 8.5963462E-004, 8.5963462E-004
 3.8000366E+001, 1.7487995E+001,-3.2215873E+000,-1.4249840E+001,-5.7027850E-001, 9.1754282E-004, 0.0000000E+000, 0.0000000E+000,-6.0087887E-001,-5.5279339E-001, 8.3299523E-004, 8.3299523E-004
 4.0000366E+001, 1.7693068E+001,-3.2879619E+000,-1.3589029E+001,-5.7093808E-001, 9.7819074E-004, 0.0000000E+000, 0.0000000E+000, 2.0023753E-001, 2.4611723E-001, 8.5257168E-004, 8.5257168E-004
 4.2000526E+001, 1.6892764E+001,-3.1806614E+000,-1.2534985E+001,-5.6396508E-001, 9.1367925E-004, 0.0000000E+000, 0.0000000E+000, 5.7215839E-001, 6.1406612E-001, 7.9226745E-004, 7.9226745E-004
 4.4000076E+001, 1.6999576E+001,-3.0230121E+000,-1.4267001E+001,-5.5837096E-001, 9.1203233E-004, 0.0000000E+000, 0.0000000E+000,-8.8375990E-001,-8.4789586E-001, 8.1661989E-004, 8.1661989E-004
 4.6000271E+001, 1.7575463E+001,-3.2350092E+000,-1.3179659E+001,-5.6769700E-001, 9.6853160E-004, 0.0000000E+000, 0.0000000E+000, 5.5112103E-001, 5.9406587E-001, 8.3845344E-004, 8.3845344E-004
 4.8000507E+001, 1.7323402E+001,-3.1910165E+000,-1.3392422E+001,-5.5622196E-001, 9.7005134E-004, 0.0000000E+000, 0.0000000E+000, 1.3635038E-001, 1.8471241E-001, 8.3292574E-004, 8.3292574E-004
 5.0000168E+001, 1.7247963E+001,-3.2716323E+000,-1.3629843E+001,-5.4860628E-001, 9.5035003E-004, 0.0000000E+000, 0.0000000E+000,-2.4779667E-001,-2.0116874E-001, 8.1842228E-004, 8.1842228E-004
 5.2000317E+001, 1.7237739E+001,-3.1568223E+000,-1.3423475E+001,-5.3668881E-001, 9.6307998E-004, 0.0000000E+000, 0.0000000E+000, 7.7744637E-002, 1.2171620E-001, 8.2750732E-004, 8.2750732E-004
 5.4000397E+001, 1.7665806E+001,-3.3379222E+000,-1.3877591E+001,-5.5835686E-001, 9.8192412E-004, 0.0000000E+000, 0.0000000E+000,-1.4811358E-001,-1.0708207E-001, 8.4092358E-004, 8.4092358E-004
 5.6000282E+001, 1.7092711E+001,-3.1632873E+000,-1.3029563E+001,-5.3601020E-001, 9.2813316E-004, 0.0000000E+000, 0.0000000E+000, 3.1545888E-001, 3.6477859E-001, 8.1373604E-004, 8.1373604E-004
 5.8000050E+001, 1.7714701E+001,-3.2678946E+000,-1.3552550E+001,-5.3850445E-001, 9.6732641E-004, 0.0000000E+000, 0.0000000E+000, 3.1246545E-001, 3.5671931E-001, 8.4065157E-004, 8.4065157E-004
 6.0000000E+001, 1.7138742E+001,-3.1518474E+000,-1.4012719E+001,-5.4846416E-001, 9.3024651E-004, 0.0000000E+000, 0.0000000E+000,-6.1214957E-001,-5.7335880E-001, 8.1972216E-004, 8.1972216E-004
