s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.8133663E-005, 6.1808249E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8133657E-005, 0.0000000E+000, 0.0000000E+000
 2.0002120E+000, 1.2988296E+001,-1.9420094E+000,-7.4314512E+000,-6.8296246E-001,-2.6789189E-005, 0.0000000E+000, 0.0000000E+000, 2.8854785E+000, 2.9318460E+000, 6.9963300E-004, 6.9963300E-004
 4.0007515E+000, 1.8592596E+001,-2.9910224E+000,-1.4366289E+001,-7.8336121E-001, 2.6552658E-005, 0.0000000E+000, 0.0000000E+000, 5.0269660E-001, 4.5195032E-001, 8.7796232E-004, 8.7796232E-004
 6.0000467E+000, 1.9039620E+001,-2.9754849E+000,-1.5141329E+001,-7.9496037E-001, 5.9835901E-005, 0.0000000E+000, 0.0000000E+000, 2.0180461E-001, 1.2790641E-001, 9.0621756E-004, 9.0621756E-004
 8.0001183E+000, 1.9049031E+001,-3.1198167E+000,-1.4897783E+001,-7.5031073E-001, 2.6814616E-005, 0.0000000E+000, 0.0000000E+000, 3.0348404E-001, 2.8114701E-001, 9.1404627E-004, 9.1404627E-004
 1.0000821E+001, 1.9985733E+001,-3.2602453E+000,-1.6201705E+001,-7.7569004E-001,-7.0367900E-005, 0.0000000E+000, 0.0000000E+000,-1.9566107E-001,-2.5197806E-001, 9.6255026E-004, 9.6255026E-004
 1.2000927E+001, 2.0417796E+001,-3.2324093E+000,-1.7026637E+001,-7.8356803E-001,-8.9774576E-005, 0.0000000E+000, 0.0000000E+000,-5.4397436E-001,-6.2490767E-001, 9.7521700E-004, 9.7521700E-004
 1.4000173E+001, 2.0274725E+001,-3.1830911E+000,-1.6465999E+001,-7.7203306E-001,-4.9467548E-005, 0.0000000E+000, 0.0000000E+000,-9.8802994E-002,-1.4644698E-001, 9.6656161E-004, 9.6656161E-004
 1.6000376E+001, 1.9872335E+001,-3.1826479E+000,-1.6053459E+001,-7.5738090E-001,-1.7717799E-005, 0.0000000E+000, 0.0000000E+000,-7.3635244E-002,-1.2117066E-001, 9.6555953E-004, 9.6555953E-004
 1.8000086E+001, 2.1298044E+001,-3.3813190E+000,-1.6447532E+001,-7.6910506E-001,-9.0990578E-006, 0.0000000E+000, 0.0000000E+000, 7.3671492E-001, 7.0007858E-001, 1.0028394E-003, 1.0028394E-003
 2.0000420E+001, 2.0776172E+001,-3.3219770E+000,-1.7338769E+001,-7.6482447E-001,-1.1046686E-004, 0.0000000E+000, 0.0000000E+000,-5.9637608E-001,-6.4950934E-001, 1.0058006E-003, 1.0058006E-003
 2.2000164E+001, 2.0988338E+001,-3.3268940E+000,-1.6212008E+001,-7.7180149E-001,-1.1720766E-004, 0.0000000E+000, 0.0000000E+000, 7.2925022E-001, 6.7751774E-001, 9.8598370E-004, 9.8598370E-004
 2.4000172E+001, 2.1054106E+001,-3.2065171E+000,-1.7500034E+001,-7.6770488E-001,-1.2758520E-004, 0.0000000E+000, 0.0000000E+000,-3.6165450E-001,-4.2027692E-001, 9.9616935E-004, 9.9616935E-004
 2.6001013E+001, 2.0786019E+001,-3.3106554E+000,-1.7298301E+001,-7.7071009E-001,-7.0206780E-005, 0.0000000E+000, 0.0000000E+000,-5.2663897E-001,-5.9371713E-001, 1.0076681E-003, 1.0076681E-003
 2.8000080E+001, 2.1256558E+001,-3.2675579E+000,-1.6490447E+001,-7.7108039E-001,-1.0419151E-004, 0.0000000E+000, 0.0000000E+000, 7.9206413E-001, 7.2736843E-001, 1.0066064E-003, 1.0066064E-003
 3.0000019E+001, 2.1169834E+001,-3.2290400E+000,-1.7545422E+001,-7.7572304E-001,-9.2776646E-005, 0.0000000E+000, 0.0000000E+000,-3.0123022E-001,-3.8044369E-001, 1.0215718E-003, 1.0215718E-003
 3.2000645E+001, 2.1231343E+001,-3.2207770E+000,-1.7048649E+001,-7.6789835E-001,-1.8164531E-004, 0.0000000E+000, 0.0000000E+000, 2.7154171E-001, 1.9383681E-001, 1.0073984E-003, 1.0073984E-003
