s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.6514267E-005, 9.5653984E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6514171E-005, 0.0000000E+000, 0.0000000E+000
 2.0002306E+000, 1.3609986E+001,-1.5042704E+000,-8.0361212E+000,-4.6896199E-001, 4.5897846E-003, 0.0000000E+000, 0.0000000E+000, 3.4926119E+000, 3.6052220E+000, 7.0297467E-004, 7.0297467E-004
 4.0006356E+000, 2.1793874E+001,-2.8274057E+000,-1.8845037E+001,-5.8515189E-001, 9.1071156E-003, 0.0000000E+000, 0.0000000E+000,-2.9484682E-001,-4.5461335E-001, 1.0454284E-003, 1.0454284E-003
 6.0010252E+000, 2.2117940E+001,-2.8339992E+000,-1.8589158E+001,-5.7214689E-001, 9.5207089E-003, 0.0000000E+000, 0.0000000E+000, 2.1213778E-001, 1.3215693E-001, 1.0546269E-003, 1.0546269E-003
 8.0010977E+000, 2.2336095E+001,-2.8578933E+000,-1.9073871E+001,-5.8017551E-001, 9.7047825E-003, 0.0000000E+000, 0.0000000E+000, 3.0960948E-002,-1.6614021E-001, 1.0547968E-003, 1.0547968E-003
 1.0001178E+001, 2.1841867E+001,-2.7872975E+000,-1.8742785E+001,-5.8026623E-001, 9.5436580E-003, 0.0000000E+000, 0.0000000E+000,-7.8755026E-002,-2.5893778E-001, 1.0547999E-003, 1.0547999E-003
 1.2000095E+001, 2.2334447E+001,-2.8864651E+000,-1.8950729E+001,-5.7427337E-001, 9.7026785E-003, 0.0000000E+000, 0.0000000E+000, 7.6065558E-002,-6.7317352E-002, 1.0548000E-003, 1.0548000E-003
 1.4000409E+001, 2.2019320E+001,-2.8261548E+000,-1.8872312E+001,-5.9876805E-001, 9.7483613E-003, 0.0000000E+000, 0.0000000E+000,-4.6856117E-002,-2.6816660E-001, 1.0548000E-003, 1.0548000E-003
 1.6001179E+001, 2.2154006E+001,-2.8740777E+000,-1.8636332E+001,-5.7294358E-001, 9.7898955E-003, 0.0000000E+000, 0.0000000E+000, 2.4534547E-001, 8.0442332E-002, 1.0548000E-003, 1.0548000E-003
 1.8000818E+001, 2.2169263E+001,-2.8396380E+000,-1.8608326E+001,-5.7805652E-001, 9.7079797E-003, 0.0000000E+000, 0.0000000E+000, 2.7943961E-001, 1.5295098E-001, 1.0548000E-003, 1.0548000E-003
 2.0001921E+001, 2.1937425E+001,-2.8596496E+000,-1.9046321E+001,-5.7987394E-001, 9.5696569E-003, 0.0000000E+000, 0.0000000E+000,-4.4919927E-001,-5.3885024E-001, 1.0548000E-003, 1.0548000E-003
 2.2000275E+001, 2.2213087E+001,-2.8951842E+000,-1.8782938E+001,-5.7361019E-001, 9.6946522E-003, 0.0000000E+000, 0.0000000E+000, 9.0217669E-002,-2.8950806E-002, 1.0548000E-003, 1.0548000E-003
 2.4000584E+001, 2.2134784E+001,-2.8124269E+000,-1.8892440E+001,-5.7938209E-001, 9.6274283E-003, 0.0000000E+000, 0.0000000E+000, 1.7484105E-002,-1.3983833E-001, 1.0548000E-003, 1.0548000E-003
 2.6000017E+001, 2.2048698E+001,-2.8088706E+000,-1.8992188E+001,-5.9290625E-001, 9.7074766E-003, 0.0000000E+000, 0.0000000E+000,-1.9106922E-001,-3.3555912E-001, 1.0548000E-003, 1.0548000E-003
 2.8001617E+001, 2.2212917E+001,-2.8958423E+000,-1.8361389E+001,-5.7621447E-001, 9.7411394E-003, 0.0000000E+000, 0.0000000E+000, 4.9720626E-001, 3.8921240E-001, 1.0548000E-003, 1.0548000E-003
 3.0000063E+001, 2.2019591E+001,-2.7682911E+000,-1.8943743E+001,-5.8199249E-001, 9.6375345E-003, 0.0000000E+000, 0.0000000E+000,-1.5052265E-001,-2.6479771E-001, 1.0548000E-003, 1.0548000E-003
 3.2000626E+001, 2.2227240E+001,-2.8559201E+000,-1.9123513E+001,-5.8984257E-001, 9.7818097E-003, 0.0000000E+000, 0.0000000E+000,-1.7926425E-001,-3.3225467E-001, 1.0548000E-003, 1.0548000E-003
 3.4000267E+001, 2.1850090E+001,-2.7977259E+000,-1.8968323E+001,-5.8141522E-001, 9.6630122E-003, 0.0000000E+000, 0.0000000E+000,-3.4380117E-001,-4.8771048E-001, 1.0548000E-003, 1.0548000E-003
 3.6001369E+001, 2.2269338E+001,-2.8500904E+000,-1.8532487E+001,-5.7561771E-001, 9.8190493E-003, 0.0000000E+000, 0.0000000E+000, 4.4932168E-001, 3.2096254E-001, 1.0548000E-003, 1.0548000E-003
 3.8000355E+001, 2.2190994E+001,-2.8291366E+000,-1.9042023E+001,-5.8780780E-001, 9.7154792E-003, 0.0000000E+000, 0.0000000E+000,-6.8076209E-002,-2.5825837E-001, 1.0548000E-003, 1.0548000E-003
 4.0000546E+001, 2.1924001E+001,-2.8694434E+000,-1.9141532E+001,-5.8225084E-001, 9.6495514E-003, 0.0000000E+000, 0.0000000E+000,-5.2332879E-001,-6.5957593E-001, 1.0548000E-003, 1.0548000E-003
