s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2672076E-002, 8.5051182E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2672067E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0003965E+001, 3.2629579E+002, 0.0000000E+000,-1.1137668E+002, 1.4323901E+001, 3.2008201E+000, 3.3912743E+000, 0.0000000E+000, 0.0000000E+000, 2.3463008E+002, 2.3583511E+002, 0.0000000E+000, 1.0986925E-002, 0.0000000E+000
 6.0010551E+001, 5.9842426E+002, 0.0000000E+000,-1.8471179E+002, 1.6606912E+001,-8.1338190E+000, 6.3007264E+000, 0.0000000E+000, 0.0000000E+000, 4.2639452E+002, 4.2848629E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 9.0011871E+001, 5.2208039E+002, 0.0000000E+000,-2.3208589E+002,-1.4167129E+002,-2.0852465E+001, 4.6250086E+000, 0.0000000E+000, 0.0000000E+000, 1.2471449E+002, 1.3209576E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.2000001E+002, 6.1897168E+002, 0.0000000E+000,-2.4731919E+002,-3.6195702E+002,-1.3510837E+001, 4.2471583E+000, 0.0000000E+000, 0.0000000E+000,-7.1316592E+000, 4.3179390E-001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.5001764E+002, 6.1680685E+002, 0.0000000E+000,-2.4469233E+002,-3.6758718E+002,-7.1131856E+000, 5.5166854E+000, 0.0000000E+000, 0.0000000E+000,-4.7178063E+000, 2.9308317E+000, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.8000235E+002, 5.5757345E+002, 0.0000000E+000,-2.2068237E+002,-3.0667204E+002,-4.4275387E+000, 5.9361132E+000, 0.0000000E+000, 0.0000000E+000, 2.4647180E+001, 3.1727627E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.1001546E+002, 5.9908014E+002, 0.0000000E+000,-2.2469476E+002,-3.9482998E+002,-1.5556156E+000, 5.9156064E+000, 0.0000000E+000, 0.0000000E+000,-2.3453880E+001,-1.6084610E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.4000945E+002, 6.0769865E+002, 0.0000000E+000,-2.2170027E+002,-3.1311530E+002,-1.5799677E-001, 6.0931511E+000, 0.0000000E+000, 0.0000000E+000, 7.0454794E+001, 7.8818239E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
