s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0040403E+001, 3.2147517E+002
 6.0101925E+001, 6.2462721E+002
 9.0005785E+001, 5.0222505E+002
 1.2005472E+002, 5.2114373E+002
 1.5007641E+002, 5.0835650E+002
 1.8006305E+002, 5.3533005E+002
 2.1001139E+002, 4.6751736E+002
 2.4002764E+002, 5.0141805E+002
 2.7001919E+002, 5.2334909E+002
 3.0003114E+002, 4.5818561E+002
 3.3003866E+002, 5.6530622E+002
 3.6004160E+002, 5.1976416E+002
 3.9000668E+002, 4.6553295E+002
 4.2000188E+002, 5.3173095E+002
 4.5002741E+002, 5.1666818E+002
 4.8001899E+002, 4.4810369E+002
 5.1006328E+002, 5.1432818E+002
 5.4000108E+002, 4.9086095E+002
 5.7001440E+002, 4.6376615E+002
 6.0003655E+002, 5.2628445E+002
 6.3002017E+002, 4.8261347E+002
 6.6000972E+002, 5.0447644E+002
 6.9001396E+002, 5.9210703E+002
 7.2001206E+002, 4.9057505E+002
 7.5002780E+002, 5.5655998E+002
 7.8005791E+002, 5.4932052E+002
 8.1005384E+002, 4.9886284E+002
 8.4000141E+002, 5.6140007E+002
 8.7000370E+002, 4.9480243E+002
 9.0000807E+002, 5.2684095E+002
 9.3001833E+002, 5.3613011E+002
 9.6000073E+002, 4.9756401E+002
 9.9003388E+002, 5.1834049E+002
 1.0200101E+003, 5.6090066E+002
 1.0500679E+003, 5.2213780E+002
 1.0800332E+003, 5.6622625E+002
 1.1100231E+003, 4.8430200E+002
 1.1400403E+003, 5.6777899E+002
 1.1700501E+003, 5.4157045E+002
 1.2000030E+003, 5.1618459E+002
 1.2300391E+003, 6.0255275E+002
 1.2600334E+003, 5.4385301E+002
 1.2900057E+003, 5.8186201E+002
 1.3200123E+003, 5.7124963E+002
 1.3500292E+003, 5.7270653E+002
 1.3800418E+003, 5.6960393E+002
 1.4100440E+003, 6.2110401E+002
 1.4400494E+003, 5.7872131E+002
 1.4700535E+003, 6.1656383E+002
 1.5000153E+003, 6.0217501E+002
 1.5300242E+003, 5.9465791E+002
 1.5600300E+003, 6.2072625E+002
 1.5900051E+003, 5.1073298E+002
 1.6200315E+003, 5.5493260E+002
 1.6500267E+003, 6.0900178E+002
 1.6800331E+003, 5.0649088E+002
 1.7100499E+003, 5.7155322E+002
 1.7400501E+003, 5.1838608E+002
 1.7700346E+003, 6.2605572E+002
 1.8000000E+003, 5.5697914E+002
