s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4017300E-002, 7.0268062E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4017293E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0042776E+001, 3.1702627E+002, 0.0000000E+000,-1.2814090E+002, 1.4612417E+001, 3.1583380E+000, 3.5783616E+000, 0.0000000E+000, 0.0000000E+000, 2.0820351E+002, 2.1023449E+002, 0.0000000E+000, 1.1022266E-002, 0.0000000E+000
 6.0045094E+001, 6.2808415E+002, 0.0000000E+000,-2.0226872E+002, 2.2596260E+001,-7.9659707E+000, 6.7665651E+000, 0.0000000E+000, 0.0000000E+000, 4.4588793E+002, 4.4721228E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 9.0017708E+001, 5.2958261E+002, 0.0000000E+000,-2.0783747E+002,-9.9272649E+001,-1.8390428E+001, 4.6335439E+000, 0.0000000E+000, 0.0000000E+000, 2.0419990E+002, 2.0871561E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.2003107E+002, 5.5014917E+002, 0.0000000E+000,-2.2039518E+002,-4.3074767E+002,-1.5086678E+001, 4.3339548E+000, 0.0000000E+000, 0.0000000E+000,-1.1650294E+002,-1.1174641E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.5003117E+002, 6.6288575E+002, 0.0000000E+000,-2.3317705E+002,-3.6901767E+002,-9.6782814E+000, 5.3834563E+000, 0.0000000E+000, 0.0000000E+000, 5.1228549E+001, 5.6396200E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.8002945E+002, 5.8212051E+002, 0.0000000E+000,-2.1951799E+002,-3.0910423E+002,-7.5570714E+000, 5.7602687E+000, 0.0000000E+000, 0.0000000E+000, 4.4952980E+001, 5.1701484E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.1000925E+002, 5.4968132E+002, 0.0000000E+000,-2.0715501E+002,-3.9807551E+002,-6.2431345E+000, 6.2749788E+000, 0.0000000E+000, 0.0000000E+000,-6.0098085E+001,-5.5517354E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.4001761E+002, 6.2067391E+002, 0.0000000E+000,-2.2167997E+002,-3.7770004E+002,-1.0384820E+000, 6.2157558E+000, 0.0000000E+000, 0.0000000E+000, 2.1535985E+001, 2.6471172E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.7002365E+002, 5.9075695E+002, 0.0000000E+000,-2.1615882E+002,-3.5416748E+002, 2.0554396E+000, 6.1922481E+000, 0.0000000E+000, 0.0000000E+000, 2.1151274E+001, 2.8678342E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.0001401E+002, 5.7998601E+002, 0.0000000E+000,-2.0157031E+002,-3.8560060E+002, 2.3979704E+000, 6.9220442E+000, 0.0000000E+000, 0.0000000E+000,-2.1660438E+000, 2.1351230E+000, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.3000012E+002, 6.3749906E+002, 0.0000000E+000,-2.0845934E+002,-4.2418563E+002, 4.1665457E+000, 6.2808432E+000, 0.0000000E+000, 0.0000000E+000, 9.2003500E+000, 1.5301483E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
