s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4261011E-002,-3.7866717E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4261049E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0040403E+001, 3.2147547E+002, 0.0000000E+000,-1.2867047E+002, 1.2235888E+001, 2.6087884E+000, 3.0152471E+000, 0.0000000E+000, 0.0000000E+000, 2.0570711E+002, 2.1066493E+002, 0.0000000E+000, 1.1081750E-002, 0.0000000E+000
 6.0101925E+001, 6.2463506E+002, 0.0000000E+000,-2.0907874E+002, 2.0967634E+001,-9.6213069E+000, 5.6324129E+000, 0.0000000E+000, 0.0000000E+000, 4.3185260E+002, 4.3253505E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 9.0005783E+001, 5.1202000E+002, 0.0000000E+000,-2.1798878E+002,-6.1849448E+001,-1.7814205E+001, 4.5631021E+000, 0.0000000E+000, 0.0000000E+000, 2.1621649E+002, 2.1893066E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.2005472E+002, 5.4826541E+002, 0.0000000E+000,-2.1426516E+002,-3.9125277E+002,-1.6075287E+001, 3.7382570E+000, 0.0000000E+000, 0.0000000E+000,-7.1051394E+001,-6.9589541E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.5007642E+002, 5.7105537E+002, 0.0000000E+000,-2.1622479E+002,-3.1715403E+002,-1.2696151E+001, 4.3682761E+000, 0.0000000E+000, 0.0000000E+000, 2.8790185E+001, 2.9348683E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 1.8006305E+002, 6.6159375E+002, 0.0000000E+000,-2.3556150E+002,-3.9249210E+002,-5.8178634E+000, 5.0988943E+000, 0.0000000E+000, 0.0000000E+000, 3.1800480E+001, 3.2821181E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.1001140E+002, 5.4613123E+002, 0.0000000E+000,-2.0084858E+002,-3.3819374E+002,-4.6476974E+000, 5.2857305E+000, 0.0000000E+000, 0.0000000E+000, 5.4180303E+000, 7.7269489E+000, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.4002763E+002, 5.7275240E+002, 0.0000000E+000,-2.0438610E+002,-4.2501309E+002,-3.2357329E+000, 5.6507051E+000, 0.0000000E+000, 0.0000000E+000,-5.3790061E+001,-5.4231816E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 2.7001920E+002, 6.5255608E+002, 0.0000000E+000,-2.2706911E+002,-3.7949893E+002, 1.5294658E+000, 5.8827334E+000, 0.0000000E+000, 0.0000000E+000, 5.1446821E+001, 5.3400237E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.0003113E+002, 5.3210740E+002, 0.0000000E+000,-1.8927699E+002,-3.5786322E+002, 1.7530587E+000, 5.9521429E+000, 0.0000000E+000, 0.0000000E+000,-8.6263214E+000,-7.3276132E+000, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.3003867E+002, 6.4257862E+002, 0.0000000E+000,-2.1543540E+002,-4.0792167E+002, 2.1619603E+000, 6.3932530E+000, 0.0000000E+000, 0.0000000E+000, 2.6648659E+001, 2.7776761E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.6004160E+002, 6.4439405E+002, 0.0000000E+000,-2.2470533E+002,-3.5604975E+002, 5.9638900E+000, 6.2654039E+000, 0.0000000E+000, 0.0000000E+000, 7.3711578E+001, 7.5868259E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 3.9000668E+002, 5.1059708E+002, 0.0000000E+000,-1.7685604E+002,-4.5083543E+002, 2.1951334E+000, 6.4628343E+000, 0.0000000E+000, 0.0000000E+000,-1.0963327E+002,-1.0843642E+002, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 4.2000189E+002, 6.4812300E+002, 0.0000000E+000,-2.1361116E+002,-4.1549951E+002, 5.2226889E+000, 6.5164594E+000, 0.0000000E+000, 0.0000000E+000, 2.9686449E+001, 3.0751475E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 4.5002740E+002, 6.1759543E+002, 0.0000000E+000,-1.9341183E+002,-3.5885228E+002, 8.0370906E+000, 6.2196418E+000, 0.0000000E+000, 0.0000000E+000, 7.8632836E+001, 7.9588058E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 4.8001898E+002, 4.9976291E+002, 0.0000000E+000,-1.8450673E+002,-4.1900865E+002, 6.3085838E+000, 6.4242288E+000, 0.0000000E+000, 0.0000000E+000,-9.2366587E+001,-9.1019661E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 5.1006329E+002, 6.8338938E+002, 0.0000000E+000,-2.0695409E+002,-4.7197934E+002, 1.0451371E+001, 6.8733994E+000, 0.0000000E+000, 0.0000000E+000, 2.1148727E+001, 2.1780728E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 5.4000110E+002, 6.1342656E+002, 0.0000000E+000,-1.9940905E+002,-3.7881406E+002, 9.7233635E+000, 6.8940940E+000, 0.0000000E+000, 0.0000000E+000, 5.0040926E+001, 5.1820915E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 5.7001440E+002, 5.2744546E+002, 0.0000000E+000,-1.8088364E+002,-4.3200189E+002, 9.7699759E+000, 6.8818617E+000, 0.0000000E+000, 0.0000000E+000,-6.9006369E+001,-6.8788239E+001, 0.0000000E+000, 1.3131769E-002, 0.0000000E+000
 6.0003656E+002, 6.7208251E+002, 0.0000000E+000,-2.1086564E+002,-4.4389532E+002, 1.1615186E+001, 7.2183124E+000, 0.0000000E+000, 0.0000000E+000, 3.4611980E+001, 3.6155051E+001, 0.0000000E+000, 1.3131965E-002, 0.0000000E+000
 6.3002014E+002, 6.0288930E+002, 0.0000000E+000,-1.9037459E+002,-3.7181657E+002, 1.3345655E+001, 7.6037620E+000, 0.0000000E+000, 0.0000000E+000, 6.0049429E+001, 6.1647555E+001, 0.0000000E+000, 1.5874123E-002, 0.0000000E+000
 6.6000970E+002, 6.4523241E+002, 0.0000000E+000,-2.0561068E+002,-4.9492210E+002, 1.2617172E+001, 6.9849097E+000, 0.0000000E+000, 0.0000000E+000,-3.6000662E+001,-3.5698291E+001, 0.0000000E+000, 1.6414711E-002, 0.0000000E+000
 6.9001398E+002, 8.0097638E+002, 0.0000000E+000,-2.4246944E+002,-5.2336276E+002, 1.5262653E+001, 7.4351854E+000, 0.0000000E+000, 0.0000000E+000, 5.5025720E+001, 5.7842024E+001, 0.0000000E+000, 1.6414711E-002, 0.0000000E+000
