s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0003965E+001, 3.2629576E+002
 6.0010552E+001, 5.9842354E+002
 9.0011869E+001, 5.1758246E+002
 1.2000001E+002, 5.7634003E+002
 1.5001765E+002, 5.4919252E+002
 1.8000236E+002, 4.9093139E+002
 2.1001545E+002, 5.2630221E+002
 2.4000944E+002, 5.3102583E+002
 2.7001023E+002, 5.0388043E+002
 3.0001006E+002, 5.3088823E+002
 3.3000503E+002, 4.8972542E+002
 3.6000068E+002, 5.3551704E+002
 3.9001109E+002, 5.0472834E+002
 4.2001019E+002, 5.0871467E+002
 4.5001436E+002, 5.2416431E+002
 4.8001014E+002, 4.9415831E+002
 5.1000293E+002, 4.8250108E+002
 5.4001506E+002, 5.0832133E+002
 5.7000802E+002, 5.3085298E+002
 6.0000762E+002, 4.9828210E+002
 6.3000754E+002, 5.2828079E+002
 6.6000526E+002, 5.5087103E+002
 6.9000087E+002, 5.7673329E+002
 7.2000638E+002, 5.4199741E+002
 7.5000048E+002, 5.3972837E+002
 7.8000653E+002, 5.4027401E+002
 8.1000672E+002, 5.3654154E+002
 8.4001288E+002, 5.4932967E+002
 8.7001495E+002, 5.9181186E+002
 9.0001046E+002, 5.7010040E+002
 9.3000631E+002, 5.4869647E+002
 9.6000550E+002, 5.5984940E+002
 9.9000947E+002, 5.5865866E+002
 1.0200049E+003, 5.6804600E+002
 1.0500108E+003, 5.4552821E+002
 1.0800041E+003, 5.7239092E+002
 1.1100099E+003, 5.5675885E+002
 1.1400074E+003, 5.2091673E+002
 1.1700139E+003, 5.8239644E+002
 1.2000151E+003, 5.5238764E+002
 1.2300064E+003, 5.6387844E+002
 1.2600012E+003, 5.9408849E+002
 1.2900116E+003, 6.0462851E+002
 1.3200067E+003, 5.9270045E+002
 1.3500060E+003, 5.9953256E+002
 1.3800009E+003, 5.9002264E+002
 1.4100139E+003, 5.7462566E+002
 1.4400136E+003, 5.9756100E+002
 1.4700108E+003, 6.1869428E+002
 1.5000075E+003, 6.0701786E+002
 1.5300032E+003, 5.8026753E+002
 1.5600151E+003, 5.9894845E+002
 1.5900008E+003, 6.0187720E+002
 1.6200028E+003, 6.0092126E+002
 1.6500096E+003, 6.1453393E+002
 1.6800059E+003, 6.1065704E+002
 1.7100136E+003, 5.6440658E+002
 1.7400031E+003, 5.9694412E+002
 1.7700001E+003, 6.0507324E+002
 1.8000000E+003, 6.2869848E+002
