s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0042777E+001, 3.1702610E+002
 6.0045095E+001, 6.2808208E+002
 9.0017706E+001, 4.9841654E+002
 1.2003107E+002, 5.1089253E+002
 1.5003117E+002, 6.2060400E+002
 1.8002946E+002, 5.4340421E+002
 2.1000924E+002, 5.2022539E+002
 2.4001760E+002, 5.5739968E+002
 2.7002366E+002, 4.9038664E+002
 3.0001400E+002, 5.0929144E+002
 3.3000011E+002, 5.5275095E+002
 3.6002098E+002, 4.7801081E+002
 3.9002428E+002, 5.5444762E+002
 4.2001449E+002, 5.5728632E+002
 4.5003213E+002, 4.8044723E+002
 4.8000914E+002, 5.2935130E+002
 5.1001668E+002, 5.3639360E+002
 5.4002659E+002, 4.9416402E+002
 5.7000864E+002, 5.1502454E+002
 6.0000282E+002, 5.0102349E+002
 6.3001846E+002, 5.2061216E+002
 6.6002180E+002, 5.6615705E+002
 6.9001040E+002, 5.3502886E+002
 7.2001982E+002, 5.2582516E+002
 7.5001407E+002, 5.6824110E+002
 7.8000300E+002, 5.6975067E+002
 8.1000390E+002, 5.7167188E+002
 8.4003155E+002, 5.7113935E+002
 8.7000006E+002, 5.7362521E+002
 9.0003589E+002, 5.7424291E+002
 9.3002287E+002, 5.5310033E+002
 9.6000203E+002, 5.5202353E+002
 9.9001739E+002, 5.5329860E+002
 1.0200046E+003, 5.5349825E+002
 1.0500205E+003, 5.7094327E+002
 1.0800067E+003, 5.3361579E+002
 1.1100058E+003, 5.6964227E+002
 1.1400220E+003, 5.6271387E+002
 1.1700009E+003, 5.7429508E+002
 1.2000046E+003, 5.4697909E+002
 1.2300264E+003, 6.0257442E+002
 1.2600047E+003, 5.8995747E+002
 1.2900216E+003, 5.9451639E+002
 1.3200009E+003, 6.4154440E+002
 1.3500018E+003, 6.0196477E+002
 1.3800185E+003, 6.1261421E+002
 1.4100061E+003, 6.1904546E+002
 1.4400072E+003, 6.0844586E+002
 1.4700280E+003, 5.9683887E+002
 1.5000192E+003, 6.3338255E+002
 1.5300135E+003, 5.9239824E+002
 1.5600066E+003, 5.8507473E+002
 1.5900147E+003, 6.3756403E+002
 1.6200162E+003, 6.0126737E+002
 1.6500139E+003, 6.1419886E+002
 1.6800009E+003, 6.0290641E+002
 1.7100082E+003, 6.1857089E+002
 1.7400061E+003, 5.8611229E+002
 1.7700027E+003, 6.2792439E+002
 1.8000000E+003, 6.0627165E+002
