s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 1.9999928E+001, 1.8199934E-002, 1.6000000E+001, 1.6000000E+001,-4.1576141E-003
 2.3045655E-002, 0.0000000E+000, 1.9999992E+001, 1.8199993E-002, 1.6000000E+001, 1.6000000E+001,-4.1255064E-003
 4.6091309E-002, 9.4968197E-006, 1.9998998E+001, 1.8199088E-002, 1.6733493E+001, 1.6734252E+001,-4.0943725E-003
 6.9136964E-002, 9.4968197E-006, 1.9998998E+001, 1.8199088E-002, 1.6733493E+001, 1.6734252E+001,-4.0637162E-003
 9.2182618E-002, 9.7931512E-006, 1.9994715E+001, 1.8195191E-002, 1.7450443E+001, 1.7451903E+001,-4.0324176E-003
 1.1522827E-001, 9.7931512E-006, 1.9994715E+001, 1.8195191E-002, 1.7450443E+001, 1.7451903E+001,-3.9993138E-003
 1.3827393E-001, 1.0067564E-005, 1.9990905E+001, 1.8191724E-002, 1.8151888E+001, 1.8153806E+001,-3.9626335E-003
 1.6131958E-001, 1.0067564E-005, 1.9990905E+001, 1.8191724E-002, 1.8151888E+001, 1.8153806E+001,-3.9193920E-003
 1.8436524E-001, 1.0357393E-005, 1.9987349E+001, 1.8188487E-002, 1.8838445E+001, 1.8840688E+001,-3.8660671E-003
 2.0741089E-001, 1.0357393E-005, 1.9987349E+001, 1.8188487E-002, 1.8838445E+001, 1.8840688E+001,-3.8004579E-003
 2.3045655E-001, 1.0627923E-005, 1.9983967E+001, 1.8185410E-002, 1.9510798E+001, 1.9513298E+001,-3.7235940E-003
 2.5350220E-001, 1.0627923E-005, 1.9983967E+001, 1.8185410E-002, 1.9510798E+001, 1.9513298E+001,-3.6404423E-003
 2.7654785E-001, 1.0929360E-005, 1.9980663E+001, 1.8182403E-002, 2.0169555E+001, 2.0171974E+001,-3.5588574E-003
 2.9959351E-001, 1.0929360E-005, 1.9980663E+001, 1.8182403E-002, 2.0169555E+001, 2.0171974E+001,-3.4871786E-003
 3.2263916E-001, 1.1226033E-005, 1.9977408E+001, 1.8179441E-002, 2.0815340E+001, 2.0817490E+001,-3.4315464E-003
 3.4568482E-001, 1.1226033E-005, 1.9977408E+001, 1.8179441E-002, 2.0815340E+001, 2.0817490E+001,-3.3940649E-003
 3.6873047E-001, 1.1565204E-005, 1.9974180E+001, 1.8176504E-002, 2.1448741E+001, 2.1450946E+001,-3.3724460E-003
 3.9177613E-001, 1.1565204E-005, 1.9974180E+001, 1.8176504E-002, 2.1448741E+001, 2.1450946E+001,-3.3610813E-003
 4.1482178E-001, 1.1975871E-005, 1.9970986E+001, 1.8173597E-002, 2.2070331E+001, 2.2072755E+001,-3.3529430E-003
 4.3786744E-001, 1.1975871E-005, 1.9970986E+001, 1.8173597E-002, 2.2070331E+001, 2.2072755E+001,-3.3415327E-003
 4.6091309E-001, 1.2475490E-005, 1.9967850E+001, 1.8170743E-002, 2.2680663E+001, 2.2683525E+001,-3.3222543E-003
 4.8395875E-001, 1.2475490E-005, 1.9967850E+001, 1.8170743E-002, 2.2680663E+001, 2.2683525E+001,-3.2929458E-003
 5.0700440E-001, 1.3134786E-005, 1.9964770E+001, 1.8167940E-002, 2.3280245E+001, 2.3283738E+001,-3.2536481E-003
 5.3005005E-001, 1.3134786E-005, 1.9964770E+001, 1.8167940E-002, 2.3280245E+001, 2.3283738E+001,-3.2059081E-003
 5.5309571E-001, 1.3933457E-005, 1.9961765E+001, 1.8165206E-002, 2.3869563E+001, 2.3873826E+001,-3.1519540E-003
 5.7614136E-001, 1.3933457E-005, 1.9961765E+001, 1.8165206E-002, 2.3869563E+001, 2.3873826E+001,-3.0940066E-003
 5.9918702E-001, 1.4963307E-005, 1.9958840E+001, 1.8162544E-002, 2.4449068E+001, 2.4454148E+001,-3.0338472E-003
 6.2223267E-001, 1.4963307E-005, 1.9958840E+001, 1.8162544E-002, 2.4449068E+001, 2.4454148E+001,-2.9726496E-003
 6.4527833E-001, 1.6226658E-005, 1.9956018E+001, 1.8159976E-002, 2.5019196E+001, 2.5025124E+001,-2.9110032E-003
 6.6832398E-001, 1.6226658E-005, 1.9956018E+001, 1.8159976E-002, 2.5019196E+001, 2.5025124E+001,-2.8490409E-003
 6.9136964E-001, 1.7742248E-005, 1.9953319E+001, 1.8157521E-002, 2.5580354E+001, 2.5587188E+001,-2.7865899E-003
 7.1441529E-001, 1.7742248E-005, 1.9953319E+001, 1.8157521E-002, 2.5580354E+001, 2.5587188E+001,-2.7233069E-003
 7.3746095E-001, 1.9557885E-005, 1.9950750E+001, 1.8155183E-002, 2.6132932E+001, 2.6140886E+001,-2.6587700E-003
 7.6050660E-001, 1.9557885E-005, 1.9950750E+001, 1.8155183E-002, 2.6132932E+001, 2.6140886E+001,-2.5925403E-003
 7.8355226E-001, 2.1658270E-005, 1.9948336E+001, 1.8152985E-002, 2.6677297E+001, 2.6686571E+001,-2.5241866E-003
 8.0659791E-001, 2.1658270E-005, 1.9948336E+001, 1.8152985E-002, 2.6677297E+001, 2.6686571E+001,-2.4533023E-003
 8.2964356E-001, 2.4101923E-005, 1.9946092E+001, 1.8150944E-002, 2.7213795E+001, 2.7224474E+001,-2.3795056E-003
 8.5268922E-001, 2.4101923E-005, 1.9946092E+001, 1.8150944E-002, 2.7213795E+001, 2.7224474E+001,-2.3024434E-003
 8.7573487E-001, 2.6871390E-005, 1.9944033E+001, 1.8149070E-002, 2.7742751E+001, 2.7754933E+001,-2.2217857E-003
 8.9878053E-001, 2.6871390E-005, 1.9944033E+001, 1.8149070E-002, 2.7742751E+001, 2.7754933E+001,-2.1372428E-003
 9.2182618E-001, 3.0058968E-005, 1.9942287E+001, 1.8147481E-002, 2.8264460E+001, 2.8278280E+001,-2.0485647E-003
 9.4487184E-001, 3.0058968E-005, 1.9942287E+001, 1.8147481E-002, 2.8264460E+001, 2.8278280E+001,-1.9555841E-003
 9.6791749E-001, 3.3637451E-005, 1.9940590E+001, 1.8145937E-002, 2.8779197E+001, 2.8794824E+001,-1.8582277E-003
 9.9096315E-001, 3.3637451E-005, 1.9940590E+001, 1.8145937E-002, 2.8779197E+001, 2.8794824E+001,-1.7565039E-003
 1.0140088E+000, 3.7686330E-005, 1.9939052E+001, 1.8144537E-002, 2.9287203E+001, 2.9304800E+001,-1.6504782E-003
 1.0370545E+000, 3.7686330E-005, 1.9939052E+001, 1.8144537E-002, 2.9287203E+001, 2.9304800E+001,-1.5401195E-003
 1.0601001E+000, 4.2173276E-005, 1.9937679E+001, 1.8143288E-002, 2.9788720E+001, 2.9808468E+001,-1.4252649E-003
 1.0831458E+000, 4.2173276E-005, 1.9937679E+001, 1.8143288E-002, 2.9788720E+001, 2.9808468E+001,-1.3055944E-003
 1.1061914E+000, 4.7208068E-005, 1.9936452E+001, 1.8142171E-002, 3.0283960E+001, 3.0306631E+001,-1.1806957E-003
 1.1292371E+000, 4.7208068E-005, 1.9936452E+001, 1.8142171E-002, 3.0283960E+001, 3.0306631E+001,-1.0501080E-003
 1.1522827E+000, 5.2767424E-005, 1.9938303E+001, 1.8143856E-002, 3.0773142E+001, 3.0799344E+001,-9.1323845E-004
 1.1753284E+000, 5.2767424E-005, 1.9938303E+001, 1.8143856E-002, 3.0773142E+001, 3.0799344E+001,-7.6948073E-004
 1.1983740E+000, 5.9004493E-005, 1.9937410E+001, 1.8143043E-002, 3.1256564E+001, 3.1285440E+001,-6.1795666E-004
 1.2214197E+000, 5.9004493E-005, 1.9937410E+001, 1.8143043E-002, 3.1256564E+001, 3.1285440E+001,-4.5761819E-004
 1.2444653E+000, 6.5872695E-005, 1.9936696E+001, 1.8142393E-002, 3.1734301E+001, 3.1766325E+001,-2.8753165E-004
 1.2675110E+000, 6.5872695E-005, 1.9936696E+001, 1.8142393E-002, 3.1734301E+001, 3.1766325E+001,-1.0693310E-004
 1.2905567E+000, 7.3537644E-005, 1.9936144E+001, 1.8141891E-002, 3.2206498E+001, 3.2242307E+001, 8.4547461E-005
 1.3136023E+000, 7.3537644E-005, 1.9936144E+001, 1.8141891E-002, 3.2206498E+001, 3.2242307E+001, 2.8695197E-004
 1.3366480E+000, 8.1898699E-005, 1.9935826E+001, 1.8141602E-002, 3.2673362E+001, 3.2713734E+001, 5.0028340E-004
 1.3596936E+000, 8.1898699E-005, 1.9935826E+001, 1.8141602E-002, 3.2673362E+001, 3.2713734E+001, 7.2491183E-004
 1.3827393E+000, 9.1196775E-005, 1.9944310E+001, 1.8149323E-002, 3.3135025E+001, 3.3180902E+001, 9.6186810E-004
 1.4057849E+000, 9.1196775E-005, 1.9944310E+001, 1.8149323E-002, 3.3135025E+001, 3.3180902E+001, 1.2128801E-003
 1.4288306E+000, 1.0134208E-004, 1.9944424E+001, 1.8149425E-002, 3.3591901E+001, 3.3644725E+001, 1.4799577E-003
 1.4518762E+000, 1.0134208E-004, 1.9944424E+001, 1.8149425E-002, 3.3591901E+001, 3.3644725E+001, 1.7649875E-003
 1.4749219E+000, 1.1252019E-004, 1.9944800E+001, 1.8149768E-002, 3.4043829E+001, 3.4105068E+001, 2.0695342E-003
 1.4979675E+000, 1.1252019E-004, 1.9944800E+001, 1.8149768E-002, 3.4043829E+001, 3.4105068E+001, 2.3948097E-003
 1.5210132E+000, 1.2465511E-004, 1.9945526E+001, 1.8150429E-002, 3.4490975E+001, 3.4562764E+001, 2.7420010E-003
 1.5440589E+000, 1.2465511E-004, 1.9945526E+001, 1.8150429E-002, 3.4490975E+001, 3.4562764E+001, 3.1126659E-003
 1.5671045E+000, 1.3800244E-004, 1.9946635E+001, 1.8151438E-002, 3.4933461E+001, 3.5017714E+001, 3.5090008E-003
 1.5901502E+000, 1.3800244E-004, 1.9946635E+001, 1.8151438E-002, 3.4933461E+001, 3.5017714E+001, 3.9335786E-003
 1.6131958E+000, 1.5235575E-004, 1.9964639E+001, 1.8167822E-002, 3.5371378E+001, 3.5470444E+001, 4.3890459E-003
 1.6362415E+000, 1.5235575E-004, 1.9964639E+001, 1.8167822E-002, 3.5371378E+001, 3.5470444E+001, 4.8774827E-003
 1.6592871E+000, 1.6791892E-004, 1.9966526E+001, 1.8169539E-002, 3.5805428E+001, 3.5922004E+001, 5.4001082E-003
 1.6823328E+000, 1.6791892E-004, 1.9966526E+001, 1.8169539E-002, 3.5805428E+001, 3.5922004E+001, 5.9574201E-003
