s,m/s
Time,"w"
 1.1066596E+000, 3.4853368E+000
 1.1089775E+000, 3.4765156E+000
 1.1112954E+000, 3.4692114E+000
 1.1136133E+000, 3.4689888E+000
 1.1159312E+000, 3.4777872E+000
 1.1182491E+000, 3.4825974E+000
 1.1205670E+000, 3.4848674E+000
 1.1228849E+000, 3.4845757E+000
 1.1252028E+000, 3.4788272E+000
 1.1275206E+000, 3.4685122E+000
 1.1298385E+000, 3.4505177E+000
 1.1321564E+000, 3.4350632E+000
 1.1344743E+000, 3.4155138E+000
 1.1367922E+000, 3.3960512E+000
 1.1391101E+000, 3.3630825E+000
 1.1414280E+000, 3.3245954E+000
 1.1437459E+000, 3.2775892E+000
 1.1460638E+000, 3.2280788E+000
 1.1483817E+000, 3.1903060E+000
 1.1506996E+000, 3.1589004E+000
 1.1530175E+000, 3.1524163E+000
 1.1553354E+000, 3.1679456E+000
 1.1576533E+000, 3.2062277E+000
 1.1599712E+000, 3.2617743E+000
 1.1622891E+000, 3.3218356E+000
 1.1646070E+000, 3.3765773E+000
 1.1669249E+000, 3.4113086E+000
 1.1692427E+000, 3.4223810E+000
 1.1715606E+000, 3.4037090E+000
 1.1738785E+000, 3.3546774E+000
 1.1761964E+000, 3.2849433E+000
 1.1785143E+000, 3.2080755E+000
 1.1808322E+000, 3.1369828E+000
 1.1831501E+000, 3.0829592E+000
 1.1854680E+000, 3.0540611E+000
 1.1877859E+000, 3.0600240E+000
 1.1901038E+000, 3.0923360E+000
 1.1924217E+000, 3.1454128E+000
 1.1947396E+000, 3.2115011E+000
 1.1967746E+000, 3.2773036E+000
 1.1988097E+000, 3.3404857E+000
 1.2008447E+000, 3.4006700E+000
 1.2028798E+000, 3.4488560E+000
 1.2049149E+000, 3.4854750E+000
 1.2069499E+000, 3.5037084E+000
 1.2089850E+000, 3.5081012E+000
 1.2110200E+000, 3.5039365E+000
 1.2130551E+000, 3.4887321E+000
 1.2150901E+000, 3.4610137E+000
 1.2171252E+000, 3.4276125E+000
 1.2191602E+000, 3.3915645E+000
 1.2211953E+000, 3.3514557E+000
 1.2232303E+000, 3.3104541E+000
 1.2252654E+000, 3.2693817E+000
 1.2275039E+000, 3.2284914E+000
 1.2297425E+000, 3.1879501E+000
 1.2319811E+000, 3.1533766E+000
 1.2342196E+000, 3.1253718E+000
 1.2364582E+000, 3.1063026E+000
 1.2386967E+000, 3.0908409E+000
 1.2409353E+000, 3.0824541E+000
 1.2431739E+000, 3.0774270E+000
 1.2454124E+000, 3.0767324E+000
 1.2476510E+000, 3.0766875E+000
 1.2498895E+000, 3.0700901E+000
 1.2521281E+000, 3.0587905E+000
 1.2543666E+000, 3.0436478E+000
 1.2566052E+000, 3.0280187E+000
 1.2588438E+000, 3.0110742E+000
 1.2610823E+000, 2.9948727E+000
 1.2633209E+000, 2.9796258E+000
 1.2655594E+000, 2.9692535E+000
 1.2677980E+000, 2.9651682E+000
 1.2700366E+000, 2.9668272E+000
 1.2722751E+000, 2.9759379E+000
 1.2745137E+000, 2.9879894E+000
 1.2767522E+000, 3.0015593E+000
 1.2789908E+000, 3.0169576E+000
 1.2812294E+000, 3.0343832E+000
 1.2834679E+000, 3.0525128E+000
 1.2857065E+000, 3.0703659E+000
 1.2879450E+000, 3.0862053E+000
