s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 1.9999928E+001, 3.9919855E-002, 1.6000000E+001, 1.6000000E+001,-4.1576141E-003
 2.3045655E-002, 0.0000000E+000, 1.9999992E+001, 3.9919985E-002, 1.6000000E+001, 1.6000000E+001,-4.1255064E-003
 4.6091309E-002, 2.7895629E-005, 1.9999855E+001, 3.9919710E-002, 1.6101551E+001, 1.6102612E+001,-4.0943706E-003
 6.9136964E-002, 2.7895629E-005, 1.9999855E+001, 3.9919710E-002, 1.6101551E+001, 1.6102612E+001,-4.0632440E-003
 9.2182618E-002, 2.7751277E-005, 1.9999887E+001, 3.9919774E-002, 1.6203131E+001, 1.6204910E+001,-4.0288170E-003
 1.1522827E-001, 2.7751277E-005, 1.9999887E+001, 3.9919774E-002, 1.6203131E+001, 1.6204910E+001,-3.9851496E-003
 1.3827393E-001, 2.7887384E-005, 2.0001455E+001, 3.9922904E-002, 1.6305557E+001, 1.6307043E+001,-3.9232684E-003
 1.6131958E-001, 2.7887384E-005, 2.0001455E+001, 3.9922904E-002, 1.6305557E+001, 1.6307043E+001,-3.8324243E-003
 1.8436524E-001, 2.7851259E-005, 2.0003467E+001, 3.9926920E-002, 1.6408137E+001, 1.6410107E+001,-3.7041891E-003
 2.0741089E-001, 2.7851259E-005, 2.0003467E+001, 3.9926920E-002, 1.6408137E+001, 1.6410107E+001,-3.5381332E-003
 2.3045655E-001, 2.7875610E-005, 2.0010533E+001, 3.9941023E-002, 1.6510828E+001, 1.6515055E+001,-3.3457923E-003
 2.5350220E-001, 2.7875610E-005, 2.0010533E+001, 3.9941023E-002, 1.6510828E+001, 1.6515055E+001,-3.1498781E-003
 2.7654785E-001, 2.7968105E-005, 2.0013423E+001, 3.9946792E-002, 1.6613848E+001, 1.6620996E+001,-2.9785238E-003
 2.9959351E-001, 2.7968105E-005, 2.0013423E+001, 3.9946792E-002, 1.6613848E+001, 1.6620996E+001,-2.8563606E-003
 3.2263916E-001, 2.8303015E-005, 2.0016612E+001, 3.9953157E-002, 1.6717024E+001, 1.6729294E+001,-2.7965081E-003
 3.4568482E-001, 2.8303015E-005, 2.0016612E+001, 3.9953157E-002, 1.6717024E+001, 1.6729294E+001,-2.7967054E-003
 3.6873047E-001, 2.9346351E-005, 2.0019953E+001, 3.9959826E-002, 1.6820238E+001, 1.6838387E+001,-2.8407726E-003
 3.9177613E-001, 2.9346351E-005, 2.0019953E+001, 3.9959826E-002, 1.6820238E+001, 1.6838387E+001,-2.9043164E-003
 4.1482178E-001, 3.1176271E-005, 2.0023422E+001, 3.9966750E-002, 1.6923450E+001, 1.6948001E+001,-2.9619560E-003
 4.3786744E-001, 3.1176271E-005, 2.0023422E+001, 3.9966750E-002, 1.6923450E+001, 1.6948001E+001,-2.9935933E-003
 4.6091309E-001, 3.3955629E-005, 2.0033615E+001, 3.9987095E-002, 1.7026617E+001, 1.7058057E+001,-2.9877009E-003
 4.8395875E-001, 3.3955629E-005, 2.0033615E+001, 3.9987095E-002, 1.7026617E+001, 1.7058057E+001,-2.9417308E-003
 5.0700440E-001, 3.7640989E-005, 2.0037396E+001, 3.9994642E-002, 1.7129809E+001, 1.7168482E+001,-2.8600216E-003
 5.3005005E-001, 3.7640989E-005, 2.0037396E+001, 3.9994642E-002, 1.7129809E+001, 1.7168482E+001,-2.7507773E-003
 5.5309571E-001, 4.2070206E-005, 2.0041414E+001, 4.0002663E-002, 1.7233011E+001, 1.7279234E+001,-2.6230371E-003
 5.7614136E-001, 4.2070206E-005, 2.0041414E+001, 4.0002663E-002, 1.7233011E+001, 1.7279234E+001,-2.4845372E-003
 5.9918702E-001, 4.7226385E-005, 2.0045798E+001, 4.0011413E-002, 1.7336313E+001, 1.7390381E+001,-2.3407270E-003
 6.2223267E-001, 4.7226385E-005, 2.0045798E+001, 4.0011413E-002, 1.7336313E+001, 1.7390381E+001,-2.1945807E-003
 6.4527833E-001, 5.3138654E-005, 2.0050648E+001, 4.0021094E-002, 1.7439798E+001, 1.7502341E+001,-2.0469670E-003
 6.6832398E-001, 5.3138654E-005, 2.0050648E+001, 4.0021094E-002, 1.7439798E+001, 1.7502341E+001,-1.8971976E-003
 6.9136964E-001, 5.9926068E-005, 2.0067069E+001, 4.0053870E-002, 1.7543581E+001, 1.7615463E+001,-1.7437486E-003
 7.1441529E-001, 5.9926068E-005, 2.0067069E+001, 4.0053870E-002, 1.7543581E+001, 1.7615463E+001,-1.5847557E-003
 7.3746095E-001, 6.7492148E-005, 2.0073294E+001, 4.0066295E-002, 1.7647869E+001, 1.7730267E+001,-1.4184114E-003
 7.6050660E-001, 6.7492148E-005, 2.0073294E+001, 4.0066295E-002, 1.7647869E+001, 1.7730267E+001,-1.2430414E-003
 7.8355226E-001, 7.6024257E-005, 2.0080398E+001, 4.0080474E-002, 1.7752718E+001, 1.7850889E+001,-1.0571084E-003
 8.0659791E-001, 7.6024257E-005, 2.0080398E+001, 4.0080474E-002, 1.7752718E+001, 1.7850889E+001,-8.5907368E-004
 8.2964356E-001, 8.5615770E-005, 2.0088505E+001, 4.0096656E-002, 1.7858253E+001, 1.7975967E+001,-6.4738587E-004
 8.5268922E-001, 8.5615770E-005, 2.0088505E+001, 4.0096656E-002, 1.7858253E+001, 1.7975967E+001,-4.2038963E-004
 8.7573487E-001, 9.6390790E-005, 2.0097605E+001, 4.0114819E-002, 1.7964502E+001, 1.8104138E+001,-1.7656414E-004
 8.9878053E-001, 9.6390790E-005, 2.0097605E+001, 4.0114819E-002, 1.7964502E+001, 1.8104138E+001, 8.5516250E-005
 9.2182618E-001, 1.0830271E-004, 2.0123835E+001, 4.0167175E-002, 1.8071503E+001, 1.8235575E+001, 3.6726382E-004
 9.4487184E-001, 1.0830271E-004, 2.0123835E+001, 4.0167175E-002, 1.8071503E+001, 1.8235575E+001, 6.7017829E-004
 9.6791749E-001, 1.2147899E-004, 2.0134919E+001, 4.0189298E-002, 1.8179358E+001, 1.8369870E+001, 9.9624298E-004
 9.9096315E-001, 1.2147899E-004, 2.0134919E+001, 4.0189298E-002, 1.8179358E+001, 1.8369870E+001, 1.3478848E-003
 1.0140088E+000, 1.3598026E-004, 2.0146918E+001, 4.0213249E-002, 1.8287952E+001, 1.8505912E+001, 1.7281409E-003
 1.0370545E+000, 1.3598026E-004, 2.0146918E+001, 4.0213249E-002, 1.8287952E+001, 1.8505912E+001, 2.1401366E-003
 1.0601001E+000, 1.5178214E-004, 2.0159711E+001, 4.0238784E-002, 1.8397205E+001, 1.8641854E+001, 2.5873514E-003
 1.0831458E+000, 1.5178214E-004, 2.0159711E+001, 4.0238784E-002, 1.8397205E+001, 1.8641854E+001, 3.0731258E-003
 1.1061914E+000, 1.6896509E-004, 2.0173207E+001, 4.0265721E-002, 1.8507049E+001, 1.8775829E+001, 3.6009579E-003
 1.1292371E+000, 1.6896509E-004, 2.0173207E+001, 4.0265721E-002, 1.8507049E+001, 1.8775829E+001, 4.1743719E-003
 1.1522827E+000, 1.8729521E-004, 2.0213280E+001, 4.0345706E-002, 1.8617350E+001, 1.8905050E+001, 4.7971594E-003
 1.1753284E+000, 1.8729521E-004, 2.0213280E+001, 4.0345706E-002, 1.8617350E+001, 1.8905050E+001, 5.4731088E-003
 1.1983740E+000, 2.0679992E-004, 2.0227615E+001, 4.0374319E-002, 1.8728076E+001, 1.9028654E+001, 6.2059041E-003
 1.2214197E+000, 2.0679992E-004, 2.0227615E+001, 4.0374319E-002, 1.8728076E+001, 1.9028654E+001, 6.9985048E-003
 1.2444653E+000, 2.2750726E-004, 2.0242231E+001, 4.0403493E-002, 1.8839024E+001, 1.9171588E+001, 7.8531654E-003
 1.2675110E+000, 2.2750726E-004, 2.0242231E+001, 4.0403493E-002, 1.8839024E+001, 1.9171588E+001, 8.7711845E-003
 1.2905567E+000, 2.4945426E-004, 2.0256949E+001, 4.0432870E-002, 1.8950016E+001, 1.9319025E+001, 9.7526243E-003
 1.3136023E+000, 2.4945426E-004, 2.0256949E+001, 4.0432870E-002, 1.8950016E+001, 1.9319025E+001, 1.0795502E-002
 1.3366480E+000, 2.7257941E-004, 2.0271582E+001, 4.0462077E-002, 1.9060861E+001, 1.9469382E+001, 1.1923050E-002
 1.3596936E+000, 2.7257941E-004, 2.0271582E+001, 4.0462077E-002, 1.9060861E+001, 1.9469382E+001, 1.3048807E-002
 1.3827393E+000, 2.9678291E-004, 2.0329370E+001, 4.0577422E-002, 1.9171407E+001, 1.9635465E+001, 1.4139668E-002
 1.4057849E+000, 2.9678291E-004, 2.0329370E+001, 4.0577422E-002, 1.9171407E+001, 1.9635465E+001, 1.5187698E-002
 1.4288306E+000, 3.2217392E-004, 2.0343409E+001, 4.0605445E-002, 1.9281664E+001, 1.9804327E+001, 1.6158061E-002
 1.4518762E+000, 3.2217392E-004, 2.0343409E+001, 4.0605445E-002, 1.9281664E+001, 1.9804327E+001, 1.7012148E-002
 1.4749219E+000, 3.4848910E-004, 2.0356940E+001, 4.0632452E-002, 1.9391242E+001, 1.9962662E+001, 1.7557850E-002
 1.4979675E+000, 3.4848910E-004, 2.0356940E+001, 4.0632452E-002, 1.9391242E+001, 1.9962662E+001, 1.7975681E-002
 1.5176501E+000, 3.7304278E-004, 2.0368975E+001, 4.0656474E-002, 1.9492216E+001, 2.0095582E+001, 1.8016121E-002
 1.5373326E+000, 3.7304278E-004, 2.0368975E+001, 4.0656474E-002, 1.9492216E+001, 2.0095582E+001, 1.7736713E-002
 1.5570152E+000, 3.9543365E-004, 2.0381804E+001, 4.0682082E-002, 1.9586372E+001, 2.0209957E+001, 1.6786327E-002
 1.5741693E+000, 3.9543365E-004, 2.0381804E+001, 4.0682082E-002, 1.9586372E+001, 2.0209957E+001, 1.5622877E-002
 1.5913235E+000, 4.1386887E-004, 2.0457965E+001, 4.0834097E-002, 1.9668348E+001, 2.0302361E+001, 1.4141308E-002
 1.6084777E+000, 4.1386887E-004, 2.0457965E+001, 4.0834097E-002, 1.9668348E+001, 2.0302361E+001, 1.1945098E-002
 1.6256318E+000, 4.3064635E-004, 2.0468820E+001, 4.0855765E-002, 1.9750394E+001, 2.0442218E+001, 9.3932607E-003
 1.6427860E+000, 4.3064635E-004, 2.0468820E+001, 4.0855765E-002, 1.9750394E+001, 2.0442218E+001, 6.0595944E-003
 1.6599402E+000, 4.4459161E-004, 2.0479164E+001, 4.0876412E-002, 1.9832137E+001, 2.0590398E+001, 2.3035663E-003
 1.6749397E+000, 4.4459161E-004, 2.0479164E+001, 4.0876412E-002, 1.9832137E+001, 2.0590398E+001,-1.7802807E-003
 1.6899393E+000, 4.5312396E-004, 2.0489383E+001, 4.0896809E-002, 1.9904738E+001, 2.0714469E+001,-6.0894275E-003
 1.7049389E+000, 4.5312396E-004, 2.0489383E+001, 4.0896809E-002, 1.9904738E+001, 2.0714469E+001,-1.0715341E-002
 1.7199384E+000, 4.5902533E-004, 2.0500412E+001, 4.0918822E-002, 1.9978225E+001, 2.0832884E+001,-1.5454533E-002
 1.7349380E+000, 4.5902533E-004, 2.0500412E+001, 4.0918822E-002, 1.9978225E+001, 2.0832884E+001,-2.0176946E-002
 1.7499375E+000, 4.6183420E-004, 2.0594324E+001, 4.1106270E-002, 2.0052561E+001, 2.0946114E+001,-2.4849736E-002
 1.7649371E+000, 4.6183420E-004, 2.0594324E+001, 4.1106270E-002, 2.0052561E+001, 2.0946114E+001,-2.9357974E-002
 1.7799367E+000, 4.6191363E-004, 2.0607033E+001, 4.1131638E-002, 2.0128595E+001, 2.1058162E+001,-3.3741035E-002
 1.7949362E+000, 4.6191363E-004, 2.0607033E+001, 4.1131638E-002, 2.0128595E+001, 2.1058162E+001,-3.8101042E-002
 1.8099358E+000, 4.6025457E-004, 2.0620811E+001, 4.1159140E-002, 2.0206101E+001, 2.1170305E+001,-4.2504065E-002
 1.8249353E+000, 4.6025457E-004, 2.0620811E+001, 4.1159140E-002, 2.0206101E+001, 2.1170305E+001,-4.6984964E-002
