cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.2942784E+003, 2.7985819E+001,-9.5000000E+000, 1.3507436E+003, 3.3438015E+001, 1.2384637E+003, 1.3963661E+002, 9.7440437E+002, 1.7060062E+002, 7.6063026E+002, 1.3580874E+002, 6.3038320E+002, 9.5501836E+001, 5.2000000E+001, 1.0000000E-001, 4.5686566E+000, 1.2045447E+001, 1.0025609E+001, 7.8735631E+000, 0.0000000E+000, 9.8537379E-001
 4.4622642E+000, 1.2942784E+003, 2.7985819E+001,-5.2857143E+000, 1.3507436E+003, 3.3438015E+001, 1.2384637E+003, 1.3963661E+002, 9.7440437E+002, 1.7060062E+002, 7.6063026E+002, 1.3580874E+002, 6.3038320E+002, 9.5501836E+001, 5.6480000E+001, 2.9900000E-001, 4.5686566E+000, 1.2045447E+001, 1.0025609E+001, 7.8735631E+000, 4.5000000E+000, 9.8537379E-001
 8.4245283E+000, 1.2942784E+003, 2.7985819E+001,-1.0714286E+000, 1.3507436E+003, 3.3438015E+001, 1.2384637E+003, 1.3963661E+002, 9.7440437E+002, 1.7060062E+002, 7.6063026E+002, 1.3580874E+002, 6.3038320E+002, 9.5501836E+001, 6.0960000E+001, 4.9800000E-001, 3.4064723E+000, 9.6598558E+000, 8.2086264E+000, 6.5844154E+000, 9.0000000E+000, 9.8537379E-001
 1.2386792E+001, 1.3262273E+003, 3.2278728E+001, 3.1428571E+000, 1.3424591E+003, 3.6817403E+001, 1.2710638E+003, 1.2530655E+002, 1.0389893E+003, 1.6810218E+002, 8.0808007E+002, 1.3521712E+002, 6.5593310E+002, 1.0163958E+002, 6.5440000E+001, 6.9700000E-001, 3.4064723E+000, 9.6598558E+000, 8.2086264E+000, 6.5844154E+000, 1.3500000E+001, 1.0381249E+000
 1.6349057E+001, 1.3262273E+003, 3.2278728E+001, 7.3571429E+000, 1.3424591E+003, 3.6817403E+001, 1.2710638E+003, 1.2530655E+002, 1.0389893E+003, 1.6810218E+002, 8.0808007E+002, 1.3521712E+002, 6.5593310E+002, 1.0163958E+002, 6.9920000E+001, 8.9600000E-001, 3.4064723E+000, 9.6598558E+000, 8.2086264E+000, 6.5844154E+000, 1.8000000E+001, 1.0381249E+000
 2.0311321E+001, 1.3424591E+003, 3.6817403E+001, 1.1571429E+001, 1.1485096E+003, 1.3806666E+002, 8.3622631E+002, 1.7011847E+002, 7.0971499E+002, 1.4086273E+002, 6.2122831E+002, 1.1660770E+002, 5.5432191E+002, 8.7851109E+001, 7.4400000E+001, 1.0950000E+000, 2.5971484E+000, 7.8558140E+000, 6.8021135E+000, 5.5647591E+000, 2.2500000E+001, 1.0652248E+000
 2.4273585E+001, 1.3424591E+003, 3.6817403E+001, 1.5785714E+001, 1.1485096E+003, 1.3806666E+002, 8.3622631E+002, 1.7011847E+002, 7.0971499E+002, 1.4086273E+002, 6.2122831E+002, 1.1660770E+002, 5.5432191E+002, 8.7851109E+001, 7.8880000E+001, 1.2940000E+000, 2.5971484E+000, 7.8558140E+000, 6.8021135E+000, 5.5647591E+000, 2.7000000E+001, 1.0652248E+000
 2.8235849E+001, 1.3424591E+003, 3.6817403E+001, 2.0000000E+001, 1.1485096E+003, 1.3806666E+002, 8.3622631E+002, 1.7011847E+002, 7.0971499E+002, 1.4086273E+002, 6.2122831E+002, 1.1660770E+002, 5.5432191E+002, 8.7851109E+001, 8.3360000E+001, 1.4930000E+000, 2.0178475E+000, 6.4685138E+000, 5.6947913E+000, 4.7438721E+000, 3.1500000E+001, 1.0603076E+000
 3.2198113E+001, 1.3405751E+003, 5.0547632E+001, 2.4214286E+001, 6.8078262E+002, 1.4488058E+002, 4.8688280E+002, 9.8059518E+001, 4.6509525E+002, 7.7777215E+001, 4.5380710E+002, 7.4707488E+001, 4.4458345E+002, 6.7731569E+001, 8.7840000E+001, 1.6920000E+000, 2.0178475E+000, 6.4685138E+000, 5.6947913E+000, 4.7438721E+000, 3.6000000E+001, 1.0603076E+000
