cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 9.8138650E+002, 9.9002922E+002, 8.4319126E-001, 2.5881749E+001, 3.4854079E+001, 7.6762897E-002, 2.3447902E-003, 5.7495892E-002, 6.0661806E-002, 7.8954578E-002, 1.3603647E-001, 5.3783778E-002, 5.8881807E-001, 6.2693518E-002, 9.7072812E-003
 2.2806122E+000, 1.0010222E+003, 1.0113931E+003, 1.2099825E+000, 2.7609457E+001, 3.8881121E+001, 9.9681265E-002, 2.2348228E-003, 5.8341784E-002, 6.0873909E-002, 7.0638544E-002, 1.3741773E-001, 5.3970283E-002, 5.9452279E-001, 6.3241971E-002, 9.8006294E-003
 4.3112245E+000, 1.0168422E+003, 1.0290310E+003, 1.5641181E+000, 2.9825745E+001, 4.3819300E+001, 1.2455176E-001, 2.1507947E-003, 5.9334558E-002, 6.0700774E-002, 6.3482436E-002, 1.3865677E-001, 5.3814000E-002, 5.9988910E-001, 6.3315146E-002, 9.8271641E-003
 6.3418367E+000, 1.0307619E+003, 1.0447549E+003, 1.8984157E+000, 3.3241175E+001, 5.0445173E+001, 1.5043476E-001, 2.1853357E-003, 6.0460570E-002, 6.0133583E-002, 5.7222318E-002, 1.3972817E-001, 5.3307123E-002, 6.0514732E-001, 6.2907063E-002, 9.7859019E-003
 8.3724490E+000, 1.0437601E+003, 1.0595119E+003, 2.2103428E+000, 3.7350387E+001, 5.7754150E+001, 1.7769855E-001, 2.4102402E-003, 6.1676738E-002, 5.9205086E-002, 5.1674538E-002, 1.4060240E-001, 5.2478869E-002, 6.1041032E-001, 6.2059706E-002, 9.6823407E-003
 1.0403061E+001, 1.0565723E+003, 1.0740646E+003, 2.4970180E+000, 4.2044565E+001, 6.5555166E+001, 2.0557421E-001, 2.8701301E-003, 6.2945439E-002, 5.7955954E-002, 4.6684496E-002, 1.4126426E-001, 5.1365479E-002, 6.1575155E-001, 6.0826360E-002, 9.5236744E-003
 1.2433673E+001, 1.0689919E+003, 1.0881987E+003, 2.7597807E+000, 4.5910742E+001, 7.2109857E+001, 2.3402173E-001, 3.6583306E-003, 6.4179422E-002, 5.6450158E-002, 4.2144837E-002, 1.4165077E-001, 5.0024026E-002, 6.2119545E-001, 5.9285566E-002, 9.3200713E-003
 1.4464286E+001, 1.0811872E+003, 1.1021039E+003, 2.9991953E+000, 4.8895433E+001, 7.7349157E+001, 2.6353648E-001, 4.8264783E-003, 6.5341649E-002, 5.4715418E-002, 3.7948775E-002, 1.4173594E-001, 4.8479242E-002, 6.2679960E-001, 5.7475671E-002, 9.0765937E-003
 1.6494898E+001, 1.0932110E+003, 1.1157967E+003, 3.2184636E+000, 5.1476030E+001, 8.1994752E+001, 2.9358594E-001, 6.4059321E-003, 6.6404873E-002, 5.2772406E-002, 3.4047583E-002, 1.4150078E-001, 4.6749566E-002, 6.3258242E-001, 5.5425531E-002, 8.7970516E-003
 1.8525510E+001, 1.1048108E+003, 1.1289688E+003, 3.4180986E+000, 5.3923997E+001, 8.6750056E+001, 3.2697903E-001, 8.4189221E-003, 6.7323715E-002, 5.0666955E-002, 3.0427218E-002, 1.4092342E-001, 4.4875846E-002, 6.3850234E-001, 5.3189590E-002, 8.4886875E-003
 2.0556122E+001, 1.1159382E+003, 1.1415462E+003, 3.6004210E+000, 5.6214741E+001, 9.1740529E+001, 3.6367292E-001, 1.0954397E-002, 6.8057749E-002, 4.8396640E-002, 2.7033707E-002, 1.3994647E-001, 4.2856027E-002, 6.4462867E-001, 5.0770453E-002, 8.1513666E-003
 2.2586735E+001, 1.1258032E+003, 1.1525764E+003, 3.7663855E+000, 5.8870907E+001, 9.7642303E+001, 4.0408373E-001, 1.4114571E-002, 6.8536313E-002, 4.5982800E-002, 2.3856376E-002, 1.3849181E-001, 4.0709247E-002, 6.5097316E-001, 4.8196022E-002, 7.7881923E-003
 2.4617347E+001, 1.1338260E+003, 1.1613788E+003, 3.9164990E+000, 6.1873626E+001, 1.0461957E+002, 4.4865708E-001, 1.7936730E-002, 6.8715253E-002, 4.3457787E-002, 2.0888545E-002, 1.3652736E-001, 3.8464367E-002, 6.5751074E-001, 4.5503312E-002, 7.4039377E-003
 2.6647959E+001, 1.1397084E+003, 1.1675868E+003, 4.0508379E+000, 6.6016886E+001, 1.1367939E+002, 4.9460666E-001, 2.2462543E-002, 6.8597504E-002, 4.0787862E-002, 1.8130708E-002, 1.3402743E-001, 3.6091392E-002, 6.6429688E-001, 4.2659544E-002, 6.9939497E-003
 2.8678571E+001, 1.1428240E+003, 1.1703318E+003, 4.1692290E+000, 7.2578936E+001, 1.2694313E+002, 5.4312810E-001, 2.7715434E-002, 6.8160395E-002, 3.7985063E-002, 1.5589527E-002, 1.3097151E-001, 3.3601077E-002, 6.7131855E-001, 3.9679499E-002, 6.5601112E-003
 3.0709184E+001, 1.1431272E+003, 1.1693462E+003, 4.2694008E+000, 8.2413019E+001, 1.4582886E+002, 6.0350563E-001, 3.3641728E-002, 6.7421127E-002, 3.5064733E-002, 1.3268008E-002, 1.2739666E-001, 3.1007018E-002, 6.7853759E-001, 3.6582691E-002, 6.1055061E-003
 3.2739796E+001, 1.1404388E+003, 1.1643693E+003, 4.3497442E+000, 9.5218523E+001, 1.6854276E+002, 6.7917033E-001, 4.0039064E-002, 6.6395275E-002, 3.2148201E-002, 1.1185943E-002, 1.2343097E-001, 2.8417025E-002, 6.8572287E-001, 3.3497288E-002, 5.6488036E-003
 3.4770408E+001, 1.1351906E+003, 1.1561667E+003, 4.4074858E+000, 1.1010533E+002, 1.9273587E+002, 7.7772964E-001, 4.6710654E-002, 6.5160526E-002, 2.9274917E-002, 9.3381964E-003, 1.1921576E-001, 2.5865978E-002, 6.9276752E-001, 3.0461413E-002, 5.1964750E-003
 3.6801020E+001, 1.1280819E+003, 1.1457870E+003, 4.4520300E+000, 1.2522841E+002, 2.1590323E+002, 8.7586985E-001, 5.3464969E-002, 6.3813413E-002, 2.6456540E-002, 7.7147280E-003, 1.1489378E-001, 2.3364008E-002, 6.9960533E-001, 2.7486280E-002, 4.7513570E-003
 3.8831633E+001, 1.1192394E+003, 1.1336352E+003, 4.4842111E+000, 1.3944656E+002, 2.3710196E+002, 9.6700384E-001, 6.0289206E-002, 6.2398080E-002, 2.3646214E-002, 6.3021793E-003, 1.1048442E-001, 2.0869359E-002, 7.0630185E-001, 2.4523021E-002, 4.3069720E-003
 4.0862245E+001, 1.1078538E+003, 1.1187005E+003, 4.5069570E+000, 1.5244218E+002, 2.5632368E+002, 1.0552612E+000, 6.7261084E-002, 6.0833439E-002, 2.0897968E-002, 5.0800958E-003, 1.0592406E-001, 1.8430251E-002, 7.1282665E-001, 2.1632888E-002, 3.8711215E-003
 4.2892857E+001, 1.0936569E+003, 1.1005313E+003, 4.5229474E+000, 1.6394393E+002, 2.7351954E+002, 1.1252327E+000, 7.4338091E-002, 5.9110854E-002, 1.8252543E-002, 4.0552741E-003, 1.0123666E-001, 1.6082920E-002, 7.1910981E-001, 1.8857579E-002, 3.4497275E-003
 4.4923469E+001, 1.0772757E+003, 1.0800393E+003, 4.5330965E+000, 1.7368267E+002, 2.8826740E+002, 1.1848617E+000, 8.1333970E-002, 5.7283349E-002, 1.5776564E-002, 3.2072511E-003, 9.6553702E-002, 1.3886459E-002, 7.2502407E-001, 1.6266446E-002, 3.0534873E-003
 4.6954082E+001, 1.0585209E+003, 1.0571783E+003, 4.5316441E+000, 1.8207964E+002, 3.0054848E+002, 1.2383192E+000, 8.8282785E-002, 5.5326985E-002, 1.3481197E-002, 2.5088025E-003, 9.1852272E-002, 1.1850853E-002, 7.3058527E-001, 1.3869859E-002, 2.6836015E-003
 4.8984694E+001, 1.0373897E+003, 1.0320514E+003, 4.5203112E+000, 1.8972572E+002, 3.1088328E+002, 1.2886687E+000, 9.5169971E-002, 5.3252086E-002, 1.1366306E-002, 1.9397877E-003, 8.7146503E-002, 9.9759561E-003, 7.3580367E-001, 1.1666662E-002, 2.3400448E-003
 5.1015306E+001, 1.0143924E+003, 1.0050561E+003, 4.4680745E+000, 1.9643083E+002, 3.1955198E+002, 1.3896428E+000, 1.0191446E-001, 5.1087481E-002, 9.4541374E-003, 1.4859510E-003, 8.2495580E-002, 8.2814714E-003, 7.4063638E-001, 9.6806537E-003, 2.0266348E-003
 5.3045918E+001, 9.9044194E+002, 9.7728650E+002, 4.4406485E+000, 2.0136172E+002, 3.2588744E+002, 1.4209914E+000, 1.0832478E-001, 4.8910478E-002, 7.7827737E-003, 1.1292288E-003, 7.8039168E-002, 6.8010651E-003, 7.4498925E-001, 7.9499994E-003, 1.7498526E-003
 5.5076531E+001, 9.6603846E+002, 9.4968345E+002, 4.4149880E+000, 2.0362860E+002, 3.2861969E+002, 1.4443387E+000, 1.1438287E-001, 4.6753966E-002, 6.3246248E-003, 8.5145075E-004, 7.3798184E-002, 5.5101331E-003, 7.4890509E-001, 6.4440009E-003, 1.5056716E-003
 5.7107143E+001, 9.4006133E+002, 9.2119756E+002, 4.3848754E+000, 2.0375832E+002, 3.2788286E+002, 1.4646273E+000, 1.2022451E-001, 4.4548719E-002, 5.0761994E-003, 6.3490399E-004, 6.9674648E-002, 4.4057391E-003, 7.5244272E-001, 5.1583448E-003, 1.2926264E-003
 5.9137755E+001, 9.1382735E+002, 8.9298924E+002, 4.3552476E+000, 2.0258817E+002, 3.2505083E+002, 1.4790556E+000, 1.2572671E-001, 4.2373317E-002, 4.0235150E-003, 4.7083110E-004, 6.5764105E-002, 3.4752646E-003, 7.5558868E-001, 4.0777670E-003, 1.1095324E-003
