s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 3.9920000E-002, 1.6000000E+001, 1.6000000E+001, 5.1036158E-003
 4.6091309E-002, 0.0000000E+000, 2.0000000E+001, 3.9920000E-002, 1.6000000E+001, 1.6000000E+001, 5.0659852E-003
 9.2182618E-002, 2.9044439E-005, 1.9999732E+001, 3.9919465E-002, 1.6202606E+001, 1.6204450E+001, 5.0319197E-003
 1.3827393E-001, 2.9044439E-005, 1.9999732E+001, 3.9919465E-002, 1.6202606E+001, 1.6204450E+001, 5.2419417E-003
 1.8436524E-001, 2.8957947E-005, 2.0000083E+001, 3.9920165E-002, 1.6404786E+001, 1.6407772E+001, 5.3623876E-003
 2.3045655E-001, 2.8957947E-005, 2.0000083E+001, 3.9920165E-002, 1.6404786E+001, 1.6407772E+001, 5.4436209E-003
 2.7654785E-001, 2.9028913E-005, 2.0004031E+001, 3.9928045E-002, 1.6608711E+001, 1.6610777E+001, 5.5134068E-003
 3.2263916E-001, 2.9028913E-005, 2.0004031E+001, 3.9928045E-002, 1.6608711E+001, 1.6610777E+001, 5.5994990E-003
 3.6873047E-001, 3.0033531E-005, 2.0011014E+001, 3.9941985E-002, 1.6814511E+001, 1.6822547E+001, 5.7014213E-003
 4.1482178E-001, 3.0033531E-005, 2.0011014E+001, 3.9941985E-002, 1.6814511E+001, 1.6822547E+001, 5.8506006E-003
 4.6091309E-001, 3.4576938E-005, 2.0019856E+001, 3.9959633E-002, 1.7021449E+001, 1.7039998E+001, 6.0226049E-003
 5.0700440E-001, 3.4576938E-005, 2.0019856E+001, 3.9959633E-002, 1.7021449E+001, 1.7039998E+001, 6.2806545E-003
 5.5309571E-001, 4.4351654E-005, 2.0029991E+001, 3.9979862E-002, 1.7228933E+001, 1.7258057E+001, 6.5502245E-003
 5.9918702E-001, 4.4351654E-005, 2.0029991E+001, 3.9979862E-002, 1.7228933E+001, 1.7258057E+001, 6.9332142E-003
 6.4527833E-001, 5.8958628E-005, 2.0041810E+001, 4.0003452E-002, 1.7437066E+001, 1.7481320E+001, 7.3224985E-003
 6.9136964E-001, 5.8958628E-005, 2.0041810E+001, 4.0003452E-002, 1.7437066E+001, 1.7481320E+001, 7.8614769E-003
 7.3746095E-001, 7.7289924E-005, 2.0056017E+001, 4.0031809E-002, 1.7646425E+001, 1.7705724E+001, 8.3966339E-003
 7.8355226E-001, 7.7289924E-005, 2.0056017E+001, 4.0031809E-002, 1.7646425E+001, 1.7705724E+001, 9.1327769E-003
 8.2964356E-001, 9.8651315E-005, 2.0073431E+001, 4.0066569E-002, 1.7857847E+001, 1.7934492E+001, 9.8604778E-003
