cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 9.9407292E+002, 1.0031068E+003, 3.9164839E-001, 4.7388461E+001, 4.9945392E+001, 5.0424335E-002, 1.8171747E-003, 5.3129577E-002, 6.4992952E-002, 2.1283270E-001, 1.7334630E-001, 6.4992952E-002, 4.2865491E-001, 0.0000000E+000,-4.0000000E+000, 3.4347806E+001, 2.4428199E+001, 0.0000000E+000, 6.5488477E-001, 1.6155494E+001, 1.7837612E+000,-4.0000000E+000, 1.2529207E+003, 1.0776925E+003, 9.5081228E+002, 7.9283012E+002, 6.6093205E+002, 3.4317919E+001, 2.0106844E+002, 1.9976019E+002, 1.6537740E+002, 1.2124582E+002
 3.0000000E+000, 1.0482597E+003, 1.0591712E+003, 3.9164839E-001, 5.3218763E+001, 5.6484481E+001, 5.0424335E-002, 1.7941068E-003, 5.5514513E-002, 6.7042182E-002, 1.8248635E-001, 1.8024951E-001, 6.7042182E-002, 4.4587116E-001, 0.0000000E+000,-3.0000000E+000, 3.4347806E+001, 2.4428199E+001, 2.5423729E+000, 6.9038286E-001, 1.8462585E+001, 1.6031681E+000,-2.0000000E+000, 1.0445734E+003, 1.2664293E+003, 1.1284467E+003, 8.9919574E+002, 7.1643759E+002, 3.7400537E+001, 1.2413273E+002, 1.9309537E+002, 1.9337048E+002, 1.4119589E+002
 5.0000000E+000, 1.1022710E+003, 1.1155885E+003, 1.2755665E+000, 6.1716324E+001, 6.6186950E+001, 1.0545432E-001, 1.8357249E-003, 5.8440964E-002, 6.7763384E-002, 1.5339686E-001, 1.8691164E-001, 6.7763384E-002, 4.6388804E-001, 0.0000000E+000,-2.0000000E+000, 3.1208174E+001, 2.2817386E+001, 5.0847458E+000, 7.3817780E-001, 2.0770544E+001, 1.3097033E+000,-2.0000000E-002, 1.0445734E+003, 1.2664293E+003, 1.1284467E+003, 8.9919574E+002, 7.1643759E+002, 3.7400537E+001, 1.2413273E+002, 1.9309537E+002, 1.9337048E+002, 1.4119589E+002
 7.0000000E+000, 1.1485608E+003, 1.1642912E+003, 1.6926038E+000, 7.2081481E+001, 7.8115135E+001, 1.3347848E-001, 2.0832585E-003, 6.1506736E-002, 6.6882980E-002, 1.2994637E-001, 1.9224371E-001, 6.6882980E-002, 4.8045397E-001, 0.0000000E+000,-1.0000000E+000, 3.1208174E+001, 2.2817386E+001, 7.6271186E+000, 7.7663299E-001, 2.3079112E+001, 1.1620367E+000, 2.0000000E+000, 1.2563178E+003, 1.0709531E+003, 9.4815096E+002, 8.1464322E+002, 6.8068516E+002, 3.2612159E+001, 1.9809425E+002, 2.0861499E+002, 1.8435979E+002, 1.3828658E+002
 9.0000000E+000, 1.1884284E+003, 1.2065320E+003, 2.0820913E+000, 8.2795795E+001, 9.0511953E+001, 1.6286237E-001, 2.7618321E-003, 6.4444257E-002, 6.4932118E-002, 1.1078144E-001, 1.9624337E-001, 6.4932118E-002, 4.9590486E-001, 0.0000000E+000,-2.0000000E-002, 3.1208174E+001, 2.2817386E+001, 1.0169492E+001, 7.7762537E-001, 2.5388123E+001, 9.5811186E-001, 4.0000000E+000, 1.3983312E+003, 7.2520245E+002, 7.1122419E+002, 6.6069816E+002, 5.9798164E+002, 2.5646236E+001, 1.5441686E+002, 1.6135192E+002, 1.4339937E+002, 1.2068846E+002
 1.1000000E+001, 1.2219523E+003, 1.2422770E+003, 2.4330979E+000, 9.0698531E+001, 9.9785592E+001, 1.9261892E-001, 4.0417095E-003, 6.6988281E-002, 6.2411232E-002, 9.4940841E-002, 1.9888099E-001, 6.2411232E-002, 5.1032572E-001, 0.0000000E+000, 1.0000000E+000, 3.1165238E+001, 2.2801867E+001, 1.2711864E+001, 7.6907619E-001, 2.7697465E+001, 8.5619352E-001, 6.0000000E+000, 1.2500512E+003, 4.9818005E+002, 5.2111117E+002, 5.2222573E+002, 5.0669929E+002, 8.9027969E+001, 9.1940133E+001, 1.0314617E+002, 1.0210404E+002, 9.2024797E+001
 1.3000000E+001, 1.2490548E+003, 1.2713009E+003, 2.7469497E+000, 9.4265569E+001, 1.0420553E+002, 2.2453419E-001, 6.0624149E-003, 6.8981743E-002, 5.9647488E-002, 8.1519669E-002, 2.0017083E-001, 5.9647488E-002, 5.2397037E-001, 0.0000000E+000, 2.0000000E+000, 3.1165238E+001, 2.2801867E+001, 1.5254237E+001, 7.6589394E-001, 3.0007063E+001, 7.1836542E-001, 8.0000000E+000, 9.0759576E+002, 3.8528364E+002, 4.0516477E+002, 4.2094014E+002, 4.2718987E+002, 7.6488036E+001, 5.6645069E+001, 6.0198150E+001, 6.5170846E+001, 6.4237668E+001
 1.5000000E+001, 1.2702246E+003, 1.2940475E+003, 3.0217070E+000, 9.4880546E+001, 1.0538324E+002, 2.5629753E-001, 8.8304180E-003, 7.0394659E-002, 5.6804578E-002, 6.9946575E-002, 2.0021742E-001, 5.6804578E-002, 5.3700177E-001, 0.0000000E+000, 3.0000000E+000, 3.4493743E+001, 2.4547459E+001, 1.7796610E+001, 7.6632736E-001, 3.2316861E+001, 6.0813043E-001, 1.0000000E+001, 6.2474752E+002, 3.3462271E+002, 3.4550788E+002, 3.5738582E+002, 3.6892523E+002, 4.5424537E+001, 3.9212371E+001, 3.9812446E+001, 3.9990998E+001, 4.3142560E+001
 1.7000000E+001, 1.2866912E+003, 1.3117527E+003, 3.2642501E+000, 9.5092222E+001, 1.0625352E+002, 2.8922638E-001, 1.2216011E-002, 7.1308780E-002, 5.3961725E-002, 5.9745451E-002, 1.9926407E-001, 5.3961725E-002, 5.4954224E-001, 0.0000000E+000, 4.0000000E+000, 3.4493743E+001, 2.4547459E+001, 2.0338983E+001, 7.6434404E-001, 3.4626819E+001, 5.5210931E-001, 1.2000000E+001, 4.3476228E+002, 3.0851571E+002, 3.1466371E+002, 3.2002873E+002, 3.2998839E+002, 2.0328627E+001, 2.4685086E+001, 2.8640218E+001, 2.6608566E+001, 2.9249150E+001
