cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 6.7097433E+002, 6.6860975E+002,-6.8016390E-002, 3.2999709E+001, 3.9002262E+001, 8.1033499E-002, 3.0294509E-003, 3.9834155E-002, 7.3831695E-002, 3.4874570E-001, 8.8972717E-002, 4.6092132E-002, 3.8014002E-001, 5.6473271E-002, 6.3478446E-003
 3.0000000E+000, 7.1020898E+002, 7.0893956E+002, 2.3966461E-002, 2.9124159E+001, 3.6067817E+001, 1.0699489E-001, 3.1512760E-003, 4.2447763E-002, 7.8598435E-002, 3.0675423E-001, 9.4759467E-002, 4.9067888E-002, 4.0461633E-001, 6.2396761E-002, 7.0139921E-003
 5.0000000E+000, 7.8570194E+002, 7.8603970E+002, 3.4177770E-001, 4.5817337E+001, 5.7318393E+001, 1.1170577E-001, 2.8724160E-003, 4.7337941E-002, 8.6324025E-002, 2.3631813E-001, 1.0481620E-001, 5.3889911E-002, 4.4579528E-001, 7.3372627E-002, 8.2540410E-003
 7.0000000E+000, 8.0741043E+002, 8.0830450E+002, 7.2432892E-001, 5.5331188E+001, 6.9244903E+001, 1.4224834E-001, 2.7541991E-003, 4.8856154E-002, 8.8005318E-002, 2.1803312E-001, 1.0748079E-001, 5.4938709E-002, 4.5683109E-001, 7.6175815E-002, 8.5747675E-003
 9.0000000E+000, 8.7025947E+002, 8.7322592E+002, 1.1057716E+000, 8.3827660E+001, 1.0666232E+002, 1.8136744E-001, 3.2651205E-003, 5.3746814E-002, 9.0016699E-002, 1.7115676E-001, 1.1391291E-001, 5.6189345E-002, 4.8799869E-001, 8.1420370E-002, 9.1999858E-003
 1.1000000E+001, 9.1002255E+002, 9.1437041E+002, 1.4640315E+000, 9.5969157E+001, 1.2519598E+002, 2.2427341E-001, 4.4120504E-003, 5.7162078E-002, 8.9038242E-002, 1.4604566E-001, 1.1690209E-001, 5.5573284E-002, 5.0732056E-001, 8.2288807E-002, 9.3350507E-003
 1.3000000E+001, 9.4788794E+002, 9.5341388E+002, 1.7914421E+000, 1.0660149E+002, 1.4374029E+002, 2.7196223E-001, 6.0980814E-003, 6.0432303E-002, 8.6840346E-002, 1.2522372E-001, 1.1897269E-001, 5.4195265E-002, 5.2516732E-001, 8.1607798E-002, 9.3013265E-003
 1.5000000E+001, 9.8295125E+002, 9.8967379E+002, 2.0859871E+000, 1.1336251E+002, 1.5853679E+002, 3.2350055E-001, 8.3288800E-003, 6.3407493E-002, 8.3800848E-002, 1.0792373E-001, 1.2020793E-001, 5.2291637E-002, 5.4166200E-001, 7.9773091E-002, 9.1397407E-003
 1.7000000E+001, 1.0128207E+003, 1.0203093E+003, 2.3491916E+000, 1.1592069E+002, 1.6917668E+002, 3.7482124E-001, 1.1152170E-002, 6.5895711E-002, 8.0290742E-002, 9.3508685E-002, 1.2064345E-001, 5.0094525E-002, 5.5685869E-001, 7.7212592E-002, 8.8944841E-003
 1.9000000E+001, 1.0387463E+003, 1.0465351E+003, 2.5835190E+000, 1.1859839E+002, 1.8050548E+002, 4.2958241E-001, 1.4362075E-002, 6.7934662E-002, 7.6601701E-002, 8.1299034E-002, 1.2050057E-001, 4.7786174E-002, 5.7083608E-001, 7.4280865E-002, 8.6042180E-003
 2.1000000E+001, 1.0607460E+003, 1.0685585E+003, 2.7928589E+000, 1.2049600E+002, 1.9081125E+002, 4.8789637E-001, 1.7879315E-002, 6.9537678E-002, 7.2893373E-002, 7.0815116E-002, 1.1989344E-001, 4.5466348E-002, 5.8372602E-001, 7.1186567E-002, 8.2916395E-003
 2.3000000E+001, 1.0790775E+003, 1.0868919E+003, 2.9816593E+000, 1.2109204E+002, 1.9903047E+002, 5.4577668E-001, 2.1711794E-002, 7.0760925E-002, 6.9149277E-002, 6.1698214E-002, 1.1887073E-001, 4.3124670E-002, 5.9580419E-001, 6.7936599E-002, 7.9580964E-003
 2.5000000E+001, 1.0939095E+003, 1.1014176E+003, 3.1534351E+000, 1.2191160E+002, 2.0741373E+002, 5.9498879E-001, 2.5885248E-002, 7.1653640E-002, 6.5311289E-002, 5.3752918E-002, 1.1744768E-001, 4.0724749E-002, 6.0728371E-001, 6.4489466E-002, 7.5995848E-003
 2.7000000E+001, 1.1047515E+003, 1.1112714E+003, 3.3055572E+000, 1.2333199E+002, 2.1721933E+002, 6.4493203E-001, 3.0591368E-002, 7.2098432E-002, 6.1408685E-002, 4.6758216E-002, 1.1552344E-001, 3.8285038E-002, 6.1835978E-001, 6.0894454E-002, 7.2203633E-003
 2.9000000E+001, 1.1105794E+003, 1.1150852E+003, 3.4337145E+000, 1.2666519E+002, 2.2965450E+002, 7.0698184E-001, 3.6048495E-002, 7.2022752E-002, 5.7349790E-002, 4.0625195E-002, 1.1296775E-001, 3.5748336E-002, 6.2927920E-001, 5.7066682E-002, 6.8105781E-003
 3.1000000E+001, 1.1124474E+003, 1.1138196E+003, 3.5407663E+000, 1.3230355E+002, 2.4543951E+002, 7.7563055E-001, 4.1801232E-002, 7.1553700E-002, 5.3406787E-002, 3.5324249E-002, 1.1007843E-001, 3.3284589E-002, 6.3958899E-001, 5.3306136E-002, 6.4038061E-003
 3.3000000E+001, 1.1111400E+003, 1.1087550E+003, 3.6309815E+000, 1.3752180E+002, 2.6082450E+002, 8.4762094E-001, 4.7677869E-002, 7.0796586E-002, 4.9633588E-002, 3.0668851E-002, 1.0699706E-001, 3.0927352E-002, 6.4929720E-001, 4.9681087E-002, 6.0085097E-003
 3.5000000E+001, 1.1095653E+003, 1.1051074E+003, 3.7084192E+000, 1.4013500E+002, 2.6847641E+002, 9.1074124E-001, 5.0640668E-002, 7.0332279E-002, 4.7806618E-002, 2.8549155E-002, 1.0540474E-001, 2.9786116E-002, 6.5394622E-001, 4.7916408E-002, 5.8150868E-003
 3.7000000E+001, 1.1009941E+003, 1.0903253E+003, 3.7701026E+000, 1.5026073E+002, 2.9086611E+002, 9.7631667E-001, 5.9687195E-002, 6.8656287E-002, 4.2427092E-002, 2.2963790E-002, 1.0039805E-001, 2.6426148E-002, 6.6729015E-001, 4.2662973E-002, 5.2360269E-003
